Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","465,215,448.62","7.08","465,215,448.62","22,554,670.00","S68891068","TW0002330008","6889106","20.63","Taiwan","Taiwan Stock Exchange","USD","28.60","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","422,851,699.77","6.43","422,851,699.77","5,298,400.00","-","KYG875721634","BMMV2K8","79.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","395,405,128.80","6.02","395,405,128.80","1,739,880.00","01609W102","US01609W1027","BP41ZD1","227.26","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","316,030,340.92","4.81","316,030,340.92","4,379,056.00","S67717207","KR7005930003","6771720","72.17","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"1299","AIA GROUP LTD","Financials","Equity","137,666,430.68","2.09","137,666,430.68","11,169,600.00","-","HK0000069689","B4TX8S1","12.33","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","128,035,218.25","1.95","128,035,218.25","3,293,600.00","-","KYG596691041","BGJW376","38.87","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","74,538,535.83","1.13","74,538,535.83","89,500,390.00","-","CNE1000002H1","B0LMTQ3","0.83","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","72,596,333.91","1.10","72,596,333.91","2,639,176.00","S60996261","INE002A01018","6099626","27.51","India","National Stock Exchange Of India","USD","72.51","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","67,106,279.04","1.02","67,106,279.04","5,549,000.00","-","CNE1000003X6","B01FLR7","12.09","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","65,813,574.40","1.00","65,813,574.40","801,920.00","47215P106","US47215P1066","BMM27D9","82.07","China","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","60,171,770.12","0.92","60,171,770.12","503,348.00","S64502677","KR7000660001","6450267","119.54","Korea (South)","Korea Exchange (Stock Market)","USD","1,129.30","KRW","-"
"INFY","INFOSYS LTD","Information Technology","Equity","57,946,399.50","0.88","57,946,399.50","3,144,672.00","S62051222","INE009A01021","6205122","18.43","India","National Stock Exchange Of India","USD","72.51","INR","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","55,757,445.85","0.85","55,757,445.85","935,153.00","S62673595","HK0388045442","6267359","59.62","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","54,955,841.86","0.84","54,955,841.86","1,573,410.00","S61719001","INE001A01036","6171900","34.93","India","National Stock Exchange Of India","USD","72.51","INR","-"
