Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","2,256,318.12","2.45","2,256,318.12","43,778.00","458140100","US4581401001","2463247","51.54","United States","NASDAQ","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,480,051.50","1.61","1,480,051.50","3,975.00","461202103","US4612021034","2459020","372.34","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","1,469,677.28","1.60","1,469,677.28","7,526.00","87612E106","US87612E1064","2259101","195.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,462,891.16","1.59","1,462,891.16","11,342.00","037833100","US0378331005","2046251","128.98","United States","NASDAQ","USD","1.00","USD","-"
"RIO","RIO TINTO PLC","Materials","Equity","1,439,110.32","1.56","1,439,110.32","17,225.00","S07188758","GB0007188757","0718875","83.55","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","1,365,464.44","1.48","1,365,464.44","13,939.00","038222105","US0382221051","2046552","97.96","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1,313,395.65","1.43","1,313,395.65","16,695.00","595112103","US5951121038","2588184","78.67","United States","NASDAQ","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","1,274,791.51","1.38","1,274,791.51","3,763.00","036752103","US0367521038","BSPHGL4","338.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","1,149,684.48","1.25","1,149,684.48","2,226.00","512807108","US5128071082","2502247","516.48","United States","NASDAQ","USD","1.00","USD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","1,118,177.77","1.21","1,118,177.77","1,431,000.00","-","CNE1000002H1","B0LMTQ3","0.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","963,039.97","1.05","963,039.97","51,357.00","S62051222","INE009A01021","6205122","18.75","India","National Stock Exchange Of India","USD","73.39","INR","-"
"BHP","BHP GROUP PLC","Materials","Equity","912,954.49","0.99","912,954.49","31,270.00","-","GB00BH0P3Z91","BH0P3Z9","29.20","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"FDX","FEDEX CORP","Industrials","Equity","910,100.10","0.99","910,100.10","3,710.00","31428X106","US31428X1063","2142784","245.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","850,171.94","0.92","850,171.94","1,961.00","444859102","US4448591028","2445063","433.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","816,442.74","0.89","816,442.74","8,586.00","743315103","US7433151039","2705024","95.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","799,642.80","0.87","799,642.80","1,590.00","75886F107","US75886F1075","2730190","502.92","United States","NASDAQ","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","781,116.15","0.85","781,116.15","2,226.00","S71103881","CH0012032048","7110388","350.91","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","670,879.30","0.73","670,879.30","1,855.00","550021109","US5500211090","B23FN39","361.66","United States","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY LTD","Information Technology","Equity","643,086.63","0.70","643,086.63","4,929.00","-","CH0102993182","B62B7C3","130.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","632,865.58","0.69","632,865.58","7,897.00","192446102","US1924461023","2257019","80.14","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","623,856.64","0.68","623,856.64","2,332.00","09062X103","US09062X1037","2455965","267.52","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","622,456.38","0.68","622,456.38","2,862.00","594918104","US5949181045","2588173","217.49","United States","NASDAQ","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","611,275.50","0.66","611,275.50","4,770.00","00846U101","US00846U1016","2520153","128.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","607,322.76","0.66","607,322.76","2,332.00","871607107","US8716071076","2867719","260.43","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","606,257.46","0.66","606,257.46","4,293.00","285512109","US2855121099","2310194","141.22","United States","NASDAQ","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","595,027.29","0.65","595,027.29","2,067.00","922475108","US9224751084","BFH3N85","287.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","585,362.74","0.64","585,362.74","4,346.00","127387108","US1273871087","2302232","134.69","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","563,083.13","0.61","563,083.13","10,441.00","278642103","US2786421030","2293819","53.93","United States","NASDAQ","USD","1.00","USD","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","562,603.32","0.61","562,603.32","4,363,186.00","-","-","-","12.89","Hong Kong","-","USD","7.76","HKD","-"
