Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","553,445,653.63","3.90","553,445,653.63","4,103,549.00","037833100","US0378331005","2046251","134.87","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","386,077,529.05","2.72","386,077,529.05","1,722,407.00","594918104","US5949181045","2588173","224.15","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","338,903,796.00","2.39","338,903,796.00","102,018.00","023135106","US0231351067","2000019","3,322.00","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","159,419,467.62","1.12","159,419,467.62","575,979.00","30303M102","US30303M1027","B7TL820","276.78","United States","NASDAQ","USD","1.00","USD","-"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","133,140,482.55","0.94","133,140,482.55","3,339,365.00","46429B598","US46429B5984","B6XGR72","39.87","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","126,951,444.48","0.90","126,951,444.48","72,184.00","02079K107","US02079K1079","BYY88Y7","1,758.72","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","126,101,702.40","0.89","126,101,702.40","71,740.00","02079K305","US02079K3059","BYVY8G0","1,757.76","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","119,284,802.91","0.84","119,284,802.91","179,109.00","88160R101","US88160R1014","B616C79","665.99","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","108,809,786.48","0.77","108,809,786.48","5,937,000.00","S68891068","TW0002330008","6889106","18.33","Taiwan","Taiwan Stock Exchange","USD","28.10","TWD","Nov 10, 1994"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","107,345,439.78","0.76","107,345,439.78","454,353.00","01609W102","US01609W1027","BP41ZD1","236.26","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","97,596,207.24","0.69","97,596,207.24","633,166.00","478160104","US4781601046","2475833","154.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","94,735,441.48","0.67","94,735,441.48","1,384,700.00","-","KYG875721634","BMMV2K8","68.42","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","90,225,092.43","0.64","90,225,092.43","721,743.00","46625H100","US46625H1005","2190385","125.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","85,218,720.47","0.60","85,218,720.47","397,531.00","92826C839","US92826C8394","B2PZN04","214.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","82,241,689.32","0.58","82,241,689.32","594,146.00","742718109","US7427181091","2704407","138.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","81,441,463.10","0.57","81,441,463.10","1,136,020.00","S67717207","KR7005930003","6771720","71.69","Korea (South)","Korea Exchange (Stock Market)","USD","1,092.20","KRW","-"
