Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","94,885,467.61","2.49","94,885,467.61","2,319,371.00","46429B598","US46429B5984","B6XGR72","40.91","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","71,174,843.17","1.87","71,174,843.17","3,627,000.00","S68891068","TW0002330008","6889106","19.62","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","65,255,410.53","1.71","65,255,410.53","848,200.00","-","KYG875721634","BMMV2K8","76.93","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","63,588,543.75","1.67","63,588,543.75","279,375.00","01609W102","US01609W1027","BP41ZD1","227.61","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","53,478,379.66","1.40","53,478,379.66","706,344.00","S67717207","KR7005930003","6771720","75.71","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.70","KRW","-"
"NESN","NESTLE SA","Consumer Staples","Equity","48,820,438.82","1.28","48,820,438.82","420,735.00","S71238703","CH0038863350","7123870","116.04","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","35,452,500.82","0.93","35,452,500.82","103,117.00","S71103881","CH0012032048","7110388","343.81","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","31,066,708.90","0.82","31,066,708.90","62,794.00","-","NL0010273215","B929F46","494.74","Netherlands","Euronext Amsterdam","USD","0.81","EUR","-"
"NOVN","NOVARTIS AG","Health Care","Equity","30,704,103.75","0.81","30,704,103.75","327,059.00","S71030654","CH0012005267","7103065","93.88","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","25,127,771.18","0.66","25,127,771.18","40,734.00","S40614125","FR0000121014","4061412","616.87","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","23,769,164.38","0.62","23,769,164.38","392,669.00","-","GB00B10RZP78","B10RZP7","60.53","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","23,463,830.16","0.62","23,463,830.16","310,300.00","S69006435","JP3633400001","6900643","75.62","Japan","Tokyo Stock Exchange","USD","103.39","JPY","-"
"1299","AIA GROUP LTD","Financials","Equity","21,898,220.14","0.57","21,898,220.14","1,784,400.00","-","HK0000069689","B4TX8S1","12.27","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","21,314,649.06","0.56","21,314,649.06","533,100.00","-","KYG596691041","BGJW376","39.98","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SAP","SAP","Information Technology","Equity","19,926,359.11","0.52","19,926,359.11","153,824.00","S48462881","DE0007164600","4846288","129.54","Germany","Xetra","USD","0.81","EUR","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","19,770,239.47","0.52","19,770,239.47","194,216.00","S09895293","GB0009895292","0989529","101.80","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"6758","SONY CORP","Consumer Discretionary","Equity","18,553,834.99","0.49","18,553,834.99","185,700.00","S68215060","JP3435000009","6821506","99.91","Japan","Tokyo Stock Exchange","USD","103.39","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","18,150,033.85","0.48","18,150,033.85","231,100.00","S67706200","JP3436100006","6770620","78.54","Japan","Tokyo Stock Exchange","USD","103.39","JPY","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","17,535,928.44","0.46","17,535,928.44","208,354.00","780087102","CA7800871021","2754383","84.16","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","17,489,861.09","0.46","17,489,861.09","253,467.00","-","DK0060534915","BHC8X90","69.00","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.06","DKK","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","17,355,849.16","0.46","17,355,849.16","16,017.00","82509L107","CA82509L1076","BX865C7","1,083.59","Canada","Toronto Stock Exchange","USD","1.27","CAD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","16,913,392.45","0.44","16,913,392.45","2,999,228.00","S05405287","GB0005405286","0540528","5.64","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 01, 1998"
"FP","TOTAL","Energy","Equity","16,826,668.08","0.44","16,826,668.08","369,758.00","-","FR0000120271","B15C557","45.51","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","16,781,166.67","0.44","16,781,166.67","112,113.00","S57279739","DE0007236101","5727973","149.68","Germany","Xetra","USD","0.81","EUR","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","16,711,004.85","0.44","16,711,004.85","259,384.00","S62150354","AU000000CBA7","6215035","64.43","Australia","Asx - All Markets","USD","1.29","AUD","-"
"SAN","SANOFI SA","Health Care","Equity","16,152,447.40","0.42","16,152,447.40","167,525.00","S56717358","FR0000120578","5671735","96.42","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
