Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","1,949,879.84","25.23","1,949,879.84","1,172.00","58733R102","US58733R1023","B23X1H3","1,663.72","United States","NASDAQ","USD","1.00","USD","-"
"GLOB","GLOBANT SA","Information Technology","Equity","1,665,674.40","21.55","1,665,674.40","7,683.00","-","LU0974299876","BP40HF4","216.80","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GGAL","GRUPO FINANCIERO GALICIA ADR REPTG","Financials","Equity","327,119.10","4.23","327,119.10","37,730.00","399909100","US3999091008","2613570","8.67","Argentina","NASDAQ","USD","1.00","USD","-"
"YPF","YPF SOCIEDAD ANONIMA ADR EACH REPR","Energy","Equity","310,734.26","4.02","310,734.26","63,286.00","984245100","US9842451000","2985945","4.91","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","291,478.84","3.77","291,478.84","14,997.00","784730103","CA7847301032","BF7MPL9","19.44","Canada","Toronto Stock Exchange","USD","1.29","CAD","-"
"ANDINA.B","EMBOTELLADORA ANDINA SERIES B SA","Consumer Staples","Equity","291,160.03","3.77","291,160.03","112,658.00","S23114549","CLP3697S1034","2311454","2.58","Chile","Santiago Stock Exchange","USD","710.40","CLP","-"
"YRI","YAMANA GOLD INC","Materials","Equity","290,845.20","3.76","290,845.20","51,480.00","98462Y100","CA98462Y1007","2219279","5.65","Canada","Toronto Stock Exchange","USD","1.29","CAD","-"
"CCU","COMPANIA CERVECERIAS UNIDAS SA","Consumer Staples","Equity","286,106.40","3.70","286,106.40","38,039.00","S21961891","CLP249051044","2196189","7.52","Chile","Santiago Stock Exchange","USD","710.40","CLP","-"
"CENCOSUD","CENCOSUD SA","Consumer Staples","Equity","268,969.27","3.48","268,969.27","152,983.00","-","CL0000000100","B00R3L2","1.76","Chile","Santiago Stock Exchange","USD","710.40","CLP","-"
"BMA","BANCO MACRO ADR REPRESENTING TEN S","Financials","Equity","248,093.00","3.21","248,093.00","16,006.00","05961W105","US05961W1053","B0Y62M9","15.50","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGRO","ADECOAGRO SA","Consumer Staples","Equity","238,504.53","3.09","238,504.53","38,039.00","-","LU0584671464","B65BNQ6","6.27","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAM","PAMPA ENERGIA ADR REPSG SA","Utilities","Equity","232,552.89","3.01","232,552.89","17,631.00","697660207","US6976602077","B41HK52","13.19","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DESP","DESPEGAR COM CORP","Consumer Discretionary","Equity","226,401.60","2.93","226,401.60","18,680.00","-","VGG273581030","BDFS4G3","12.12","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARCO","ARCOS DORADOS HOLDINGS INC CLASS A","Consumer Discretionary","Equity","219,219.36","2.84","219,219.36","44,922.00","-","VGG0457F1071","B529PQ0","4.88","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEO","TELECOM ARGENTINA ADR REPRESENTING","Communication","Equity","205,329.32","2.66","205,329.32","31,444.00","879273209","US8792732096","2878829","6.53","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGS","TRANSPORTADORA DE GAS DEL SUR ADR","Energy","Equity","135,224.82","1.75","135,224.82","25,323.00","893870204","US8938702045","2902944","5.34","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOMA","LOMA NEGRA INDUSTRIAL ARGENTINA SO","Materials","Equity","133,008.48","1.72","133,008.48","21,384.00","54150E104","US54150E1047","BYP6YP3","6.22","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CEPU","CENTRAL PUERTO ADR REPRESENTING S","Utilities","Equity","92,860.04","1.20","92,860.04","35,308.00","155038201","US1550382014","BDVP1Y5","2.63","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBAR","BANCO BBVA ARGENTINA ADR SA","Financials","Equity","81,035.04","1.05","81,035.04","25,644.00","058934100","US0589341009","BKT4TC7","3.16","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRESY","CRESUD ADR REPTG","Real Estate","Equity","51,007.64","0.66","51,007.64","11,699.00","226406106","US2264061068","2226893","4.36","Argentina","NASDAQ","USD","1.00","USD","-"
"CAAP","CORPORACION AMERICA AIRPORTS SA","Industrials","Equity","45,468.72","0.59","45,468.72","11,482.00","-","LU1756447840","BD45SN0","3.96","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SUPV","GRUPO SUPERVIELLE ADR REPRESENTING","Financials","Equity","44,906.15","0.58","44,906.15","22,795.00","40054A108","US40054A1088","BYZJRN1","1.97","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
