Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"700","TENCENT HOLDINGS LTD","Communication","Equity","538,941,598.73","17.61","538,941,598.73","5,672,900.00","-","KYG875721634","BMMV2K8","95.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","421,514,145.55","13.77","421,514,145.55","18,672,343.00","S68891068","TW0002330008","6889106","22.57","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","Nov 10, 1994"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","375,458,994.24","12.27","375,458,994.24","5,064,399.00","S67717207","KR7005930003","6771720","74.14","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","216,001,568.55","7.06","216,001,568.55","4,120,400.00","-","KYG596691041","BGJW376","52.42","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1299","AIA GROUP LTD","Financials","Equity","154,500,789.43","5.05","154,500,789.43","11,929,800.00","-","HK0000069689","B4TX8S1","12.95","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","74,498,537.49","2.43","74,498,537.49","97,065,960.00","-","CNE1000002H1","B0LMTQ3","0.77","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","73,758,036.22","2.41","73,758,036.22","1,102,800.00","S62673595","HK0388045442","6267359","66.88","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","63,528,610.49","2.08","63,528,610.49","5,448,000.00","-","CNE1000003X6","B01FLR7","11.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"000660","SK HYNIX INC","Information Technology","Equity","59,499,017.46","1.94","59,499,017.46","532,897.00","S64502677","KR7000660001","6450267","111.65","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","53,803,165.56","1.76","53,803,165.56","813,991.00","S67738120","KR7005931001","6773812","66.10","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","Jun 07, 1993"
"2454","MEDIATEK INC","Information Technology","Equity","53,346,182.56","1.74","53,346,182.56","1,572,112.00","S63724801","TW0002454006","6372480","33.93","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","Jul 23, 2001"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","50,027,535.66","1.63","50,027,535.66","12,340,052.00","S64385644","TW0002317005","6438564","4.05","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","Sep 26, 1991"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","46,448,667.51","1.52","46,448,667.51","3,028,500.00","-","KYG970081173","BL6B9P1","15.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","46,192,812.26","1.51","46,192,812.26","73,836,115.00","-","CNE1000003G1","B1G1QD8","0.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"035420","NAVER CORP","Communication","Equity","45,659,284.98","1.49","45,659,284.98","142,987.00","S65603938","KR7035420009","6560393","319.32","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"1810","XIAOMI CORP","Information Technology","Equity","45,294,593.93","1.48","45,294,593.93","12,933,400.00","-","KYG9830T1067","BG0ZMJ9","3.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"051910","LG CHEM LTD","Materials","Equity","41,370,336.30","1.35","41,370,336.30","46,784.00","S63469134","KR7051910008","6346913","884.28","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","37,426,725.02","1.22","37,426,725.02","54,417.00","S67716456","KR7006400006","6771645","687.78","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","34,756,788.60","1.14","34,756,788.60","1,771,400.00","S61752036","SG1L01001701","6175203","19.62","Singapore","Singapore Exchange","USD","1.33","SGD","Jan 01, 1998"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Equity","31,193,286.48","1.02","31,193,286.48","3,982,074.00","-","SG1S04926220","B0F9V20","7.83","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","30,423,101.23","0.99","30,423,101.23","3,723,000.00","-","CNE1000002M1","B1DYPZ5","8.17","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","29,598,058.15","0.97","29,598,058.15","141,609.00","S64510555","KR7005380001","6451055","209.01","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"068270","CELLTRION INC","Health Care","Equity","29,432,525.57","0.96","29,432,525.57","98,069.00","-","KR7068270008","B0C5YV1","300.12","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"669","TECHTRONIC INDUSTRIES LTD","Industrials","Equity","27,652,649.50","0.90","27,652,649.50","1,696,000.00","-","HK0669013440","B0190C7","16.30","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"U11","UNITED OVERSEAS BANK LTD","Financials","Equity","27,127,529.54","0.89","27,127,529.54","1,515,900.00","S69167815","SG1M31001969","6916781","17.90","Singapore","Singapore Exchange","USD","1.33","SGD","-"
