Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","131,084.64","4.09","131,084.64","387.00","91324P102","US91324P1021","2917766","338.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","119,750.40","3.74","119,750.40","440.00","437076102","US4370761029","2434209","272.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","98,209.95","3.06","98,209.95","3,165.00","060505104","US0605051046","2295677","31.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","92,432.00","2.88","92,432.00","1,696.00","92343V104","US92343V1044","2090571","54.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","83,279.72","2.60","83,279.72","2,918.00","00206R102","US00206R1023","2831811","28.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","66,426.93","2.07","66,426.93","801.00","65339F101","US65339F1012","2328915","82.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","57,248.54","1.79","57,248.54","278.00","907818108","US9078181081","2914734","205.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","51,497.94","1.61","51,497.94","309.00","548661107","US5486611073","2536763","166.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","47,293.50","1.48","47,293.50","1,538.00","949746101","US9497461015","2649100","30.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","39,563.33","1.23","39,563.33","103.00","461202103","US4612021034","2459020","384.11","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","38,429.05","1.20","38,429.05","535.00","126650100","US1266501006","2577609","71.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Discretionary","Equity","38,045.95","1.19","38,045.95","205.00","87612E106","US87612E1064","2259101","185.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","37,002.00","1.15","37,002.00","60.00","16119P108","US16119P1084","BZ6VT82","616.70","United States","NASDAQ","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","34,372.13","1.07","34,372.13","151.00","852234103","US8522341036","BYNZGK1","227.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","31,676.34","0.99","31,676.34","762.00","02209S103","US02209S1033","2692632","41.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA CORP","Health Care","Equity","31,582.45","0.99","31,582.45","145.00","125523100","US1255231003","BHJ0775","217.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","30,706.02","0.96","30,706.02","563.00","808513105","US8085131055","2779397","54.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANTM","ANTHEM INC","Health Care","Equity","30,496.98","0.95","30,496.98","102.00","036752103","US0367521038","BSPHGL4","298.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","29,675.25","0.93","29,675.25","225.00","872590104","US8725901040","B94Q9V0","131.89","United States","NASDAQ","USD","1.00","USD","-"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Real Estate","Equity","28,153.70","0.88","28,153.70","170.00","22822V101","US22822V1017","BTGQCX1","165.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","27,967.68","0.87","27,967.68","312.00","126408103","US1264081035","2160753","89.64","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","27,930.00","0.87","27,930.00","300.00","26441C204","US26441C2044","B7VD3F2","93.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","27,841.45","0.87","27,841.45","145.00","12572Q105","US12572Q1058","2965839","192.01","United States","NASDAQ","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","27,665.71","0.86","27,665.71","551.00","89832Q109","US89832Q1094","BKP7287","50.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","26,019.20","0.81","26,019.20","173.00","693475105","US6934751057","2692665","150.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","25,866.75","0.81","25,866.75","105.00","655844108","US6558441084","2641894","246.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FISV","FISERV INC","Information Technology","Equity","25,854.70","0.81","25,854.70","235.00","337738108","US3377381088","2342034","110.02","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","25,764.48","0.80","25,764.48","432.00","842587107","US8425871071","2829601","59.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","24,603.00","0.77","24,603.00","556.00","902973304","US9029733048","2736035","44.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","24,305.18","0.76","24,305.18","334.00","25746U109","US25746U1097","2542049","72.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","20,733.25","0.65","20,733.25","239.00","743315103","US7433151039","2705024","86.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","20,357.46","0.64","20,357.46","54.00","444859102","US4448591028","2445063","376.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DG","DOLLAR GENERAL CORP","Consumer Discretionary","Equity","20,121.05","0.63","20,121.05","103.00","256677105","US2566771059","B5B1S13","195.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
