Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"IVV","ISHARES CORE S&P ETF","ETFs","Equity","499,053,060.45","40.93","499,053,060.45","1,316,589.00","1,316,589.00","464287200","US4642872000","2593025","379.05","United States","NYSE Arca","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Dec 01, 2009","-"
"IDEV","ISHARES CORE MSCI INT DEVEL ETF","ETFs","Equity","328,795,476.74","26.97","328,795,476.74","5,268,314.00","5,268,314.00","46435G326","US46435G3267","BF0BYP0","62.41","United States","NYSE Arca","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Mar 15, 2017","-"
"IUSB","ISHARES CORE TOTAL USD BOND MARKET","ETFs","Fixed Income","189,234,464.20","15.52","189,234,464.20","3,486,265.00","3,486,265.00","46434V613","US46434V6130","BN90WM7","54.28","United States","NASDAQ","USD","5.83","1.48","1.00","-","0.00","6.12","-","1.42","5.99","1.42","USD","Jun 10, 2014","-"
"IEMG","ISHARES CORE MSCI EMERGING MARKETS","ETFs","Equity","121,792,288.69","9.99","121,792,288.69","1,858,573.00","1,858,573.00","46434G103","US46434G1031","B8NDCB6","65.53","United States","NYSE Arca","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Oct 17, 2012","-"
"IAGG","iShares Core Intl Aggregate Bnd ET","ETFs","Fixed Income","33,367,660.30","2.74","33,367,660.30","596,917.00","596,917.00","46435G672","US46435G6724","BYQKX57","55.90","United States","Cboe BZX formerly known as BATS","USD","7.75","0.70","1.00","-","0.00","7.77","-","0.69","7.76","0.69","USD","Nov 10, 2015","-"
"IJH","ISHARES CORE S&P MID-CAP ETF","ETFs","Equity","31,999,781.52","2.62","31,999,781.52","134,532.00","134,532.00","464287507","US4642875078","2611637","237.86","United States","NYSE Arca","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","May 22, 2000","-"
"IJR","ISHARES CORE S&P SMALL-CAP ETF","ETFs","Equity","14,165,196.00","1.16","14,165,196.00","143,025.00","143,025.00","464287804","US4642878049","2678869","99.04","United States","NYSE Arca","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","May 22, 2000","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,033,000.01","0.08","1,033,000.01","1,033,000.00","1,033,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.12","0.08","1.00","-","0.12","0.13","-","0.08","0.13","0.08","USD","Feb 04, 2009","-"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash and/or Derivatives","Cash Collateral and Margins","49,000.00","0.00","49,000.00","49,000.00","49,000.00","-","-","-","100.00","United States","-","USD","0.00","0.12","1.00","Dec 31, 2049","0.12","0.00","-","0.12","0.00","0.12","USD","Aug 02, 2016","Sep 01, 2016"
"ESH1","S&P500 EMINI MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","755,860.00","4.00","4.00","-","-","-","3,779.30","United States","Index And Options Market","USD","0.00","-","1.00","Mar 19, 2021","0.00","0.00","-","-","0.00","-","USD","Dec 20, 2019","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-165,461.53","-0.01","-165,461.53","-165,462.00","-165,462.00","-","-","-","100.00","United States","-","USD","0.00","0.12","1.00","-","0.00","0.00","-","0.12","0.00","0.12","USD","Jan 01, 1989","-"
