Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PHR","PHREESIA INC","Health Care","Equity","564,383.61","3.37","564,383.61","7,323.00","71944F106","US71944F1066","BKF9DQ8","77.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRM","VROOM INC","Consumer Discretionary","Equity","555,774.57","3.32","555,774.57","11,047.00","92918V109","US92918V1098","BMFZYY5","50.31","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","528,669.65","3.15","528,669.65","3,005.00","05464C101","US05464C1018","BDT5S35","175.93","United States","NASDAQ","USD","1.00","USD","-"
"BILL","BILL COM HOLDINGS INC","Information Technology","Equity","507,817.28","3.03","507,817.28","2,768.00","090043100","US0900431000","BKDS4H5","183.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FRPT","FRESHPET INC","Consumer Staples","Equity","445,949.52","2.66","445,949.52","2,616.00","358039105","US3580391056","BS7K7M9","170.47","United States","NASDAQ","USD","1.00","USD","-"
"TXG","10X GENOMICS INC CLASS A","Health Care","Equity","438,740.40","2.62","438,740.40","2,280.00","88025U109","US88025U1097","BKS3RS7","192.43","United States","NASDAQ","USD","1.00","USD","-"
"FIVN","FIVE9 INC","Information Technology","Equity","417,195.42","2.49","417,195.42","2,283.00","338307101","US3383071012","BKY7X18","182.74","United States","NASDAQ","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","415,057.50","2.48","415,057.50","3,870.00","29362U104","US29362U1043","2599700","107.25","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","395,719.20","2.36","395,719.20","1,020.00","609839105","US6098391054","B01Z7J1","387.96","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","394,560.00","2.35","394,560.00","960.00","09073M104","US09073M1045","BSHZ3Q0","411.00","United States","NASDAQ","USD","1.00","USD","-"
"PENN","PENN NATIONAL GAMING INC","Consumer Discretionary","Equity","391,307.70","2.33","391,307.70","3,395.00","707569109","US7075691094","2682105","115.26","United States","NASDAQ","USD","1.00","USD","-"
"AVLR","AVALARA INC","Information Technology","Equity","359,181.90","2.14","359,181.90","2,130.00","05338G106","US05338G1067","BZ1NVP4","168.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","358,606.80","2.14","358,606.80","2,070.00","40131M109","US40131M1099","BFXC911","173.24","United States","NASDAQ","USD","1.00","USD","-"
"FOXF","FOX FACTORY HOLDING CORP","Consumer Discretionary","Equity","354,383.22","2.11","354,383.22","2,649.00","35138V102","US35138V1026","BCRY5K3","133.78","United States","NASDAQ","USD","1.00","USD","-"
