Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FRTR","FRANCE (REPUBLIC OF)","Treasury","Fixed Income","11,720,125.17","7.49","11,720,125.17","7,195,000.00","-","FR0013234333","BDFFVN0","161.78","France","-","USD","0.82","EUR","Jun 25, 2016"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","3,687,385.72","2.36","3,687,385.72","3,013,678.00","-","-","-","122.36","European Union","-","USD","0.82","EUR","-"
"BGB","BELGIUM (KINGDOM OF) RegS","Treasury","Fixed Income","3,417,371.65","2.18","3,417,371.65","2,335,000.00","-","BE0000346552","BDT7F52","145.29","Belgium","-","USD","0.82","EUR","Mar 05, 2018"
"NETHER","NETHERLANDS (KINGDOM OF)","Treasury","Fixed Income","3,331,677.46","2.13","3,331,677.46","2,357,000.00","-","NL0013552060","BFY1K14","140.77","Netherlands","-","USD","0.82","EUR","May 23, 2019"
"IRISH","IRELAND (REPUBLIC OF) RegS","Treasury","Fixed Income","2,310,419.53","1.48","2,310,419.53","1,595,000.00","-","IE00BFZRQ242","BFZRQ24","143.55","Ireland","-","USD","0.82","EUR","Oct 17, 2018"
"DBR","GERMANY (FEDERAL REPUBLIC OF) RegS","Treasury","Fixed Income","2,297,487.00","1.47","2,297,487.00","1,770,000.00","-","DE0001030708","BN2B7Y4","129.80","Germany","-","USD","0.82","EUR","Jun 19, 2020"
"KFW","KFW MTN RegS","Government Related","Fixed Income","1,928,087.71","1.23","1,928,087.71","1,520,000.00","-","XS2209794408","-","126.85","Germany","-","USD","0.82","EUR","Jul 28, 2020"
"OBL","GERMANY (FEDERAL REPUBLIC OF) RegS","Treasury","Fixed Income","1,661,498.80","1.06","1,661,498.80","1,310,000.00","-","DE0001030716","BK81W86","126.83","Germany","-","USD","0.82","EUR","Jul 10, 2020"
"KFW","KFW MTN RegS","Government Related","Fixed Income","1,582,762.49","1.01","1,582,762.49","1,250,000.00","-","XS1999841445","BK519W2","126.61","Germany","-","USD","0.82","EUR","May 22, 2019"
"SOGRPR","SOCIETE DU GRAND PARIS MTN RegS","Government Related","Fixed Income","1,144,029.78","0.73","1,144,029.78","700,000.00","-","FR0013422383","BKF1Q76","162.18","France","-","USD","0.82","EUR","Jun 03, 2019"
"SOGRPR","SOCIETE DU GRAND PARIS MTN RegS","Government Related","Fixed Income","1,110,230.87","0.71","1,110,230.87","800,000.00","-","FR0013483914","-","137.72","France","-","USD","0.82","EUR","Feb 18, 2020"
