Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"700","TENCENT HOLDINGS LTD","Communication","Equity","20,485,719.26","10.49","20,485,719.26","233,700.00","-","KYG875721634","BMMV2K8","87.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","20,472,464.88","10.48","20,472,464.88","77,112.00","01609W102","US01609W1027","BP41ZD1","265.49","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","7,025,658.89","3.60","7,025,658.89","146,400.00","-","KYG596691041","BGJW376","47.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","3,357,199.44","1.72","3,357,199.44","35,224.00","47215P106","US47215P1066","BMM27D9","95.31","China","NASDAQ","USD","1.00","USD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","3,269,458.25","1.67","3,269,458.25","116,212.00","S60996261","INE002A01018","6099626","28.13","India","National Stock Exchange Of India","USD","73.03","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","3,113,665.39","1.59","3,113,665.39","238,500.00","-","CNE1000003X6","B01FLR7","13.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","3,113,626.87","1.59","3,113,626.87","3,880,370.00","-","CNE1000002H1","B0LMTQ3","0.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","3,017,771.32","1.54","3,017,771.32","52,292.00","62914V106","US62914V1061","BFZX9H8","57.71","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","2,891,815.60","1.48","2,891,815.60","11,084.00","056752108","US0567521085","B0FXT17","260.90","China","NASDAQ","USD","1.00","USD","-"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","2,650,563.84","1.36","2,650,563.84","15,504.00","722304102","US7223041028","BYVW0F7","170.96","China","NASDAQ","USD","1.00","USD","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","2,607,253.27","1.33","2,607,253.27","149,629.00","S21962865","BRVALEACNOR0","2196286","17.42","Brazil","XBSP","USD","5.30","BRL","-"
"INFY","INFOSYS LTD","Information Technology","Equity","2,549,134.26","1.30","2,549,134.26","138,992.00","S62051222","INE009A01021","6205122","18.34","India","National Stock Exchange Of India","USD","73.03","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","2,531,876.87","1.30","2,531,876.87","68,788.00","S61719001","INE001A01036","6171900","36.81","India","National Stock Exchange Of India","USD","73.03","INR","-"
"1810","XIAOMI CORP","Information Technology","Equity","2,410,356.44","1.23","2,410,356.44","584,800.00","-","KYG9830T1067","BG0ZMJ9","4.12","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","1,932,879.24","0.99","1,932,879.24","128,500.00","-","KYG970081173","BL6B9P1","15.04","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NTES","NETEASE ADR INC","Communication","Equity","1,912,469.40","0.98","1,912,469.40","16,932.00","64110W102","US64110W1027","2606440","112.95","China","NASDAQ","USD","1.00","USD","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","1,740,621.23","0.89","1,740,621.23","38,420.00","-","INE467B01029","B01NPJ1","45.31","India","National Stock Exchange Of India","USD","73.03","INR","-"
