Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SGEN","SEAGEN INC","Health Care","Equity","223,013.70","3.06","223,013.70","1,170.00","81181C104","US81181C1045","BLPK4D2","190.61","United States","NASDAQ","USD","1.00","USD","-"
"GMAB","GENMAB","Health Care","Equity","199,141.74","2.73","199,141.74","510.00","S45957396","DK0010272202","4595739","390.47","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.11","DKK","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","190,000.00","2.61","190,000.00","190,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"AMED","AMEDISYS INC","Health Care","Equity","157,869.00","2.17","157,869.00","540.00","023436108","US0234361089","2024332","292.35","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","140,418.00","1.93","140,418.00","174.00","46120E602","US46120E6023","2871301","807.00","United States","NASDAQ","USD","1.00","USD","-"
"PPD","PPD INC","Health Care","Equity","139,260.60","1.91","139,260.60","3,996.00","69355F102","US69355F1021","BL9BT47","34.85","United States","NASDAQ","USD","1.00","USD","-"
"TFX","TELEFLEX INC","Health Care","Equity","136,100.16","1.87","136,100.16","336.00","879369106","US8793691069","2881407","405.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHCG","LHC GROUP INC","Health Care","Equity","128,074.92","1.76","128,074.92","582.00","50187A107","US50187A1079","B06DT50","220.06","United States","NASDAQ","USD","1.00","USD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","123,860.05","1.70","123,860.05","10,500.00","-","KYG970081173","BL6B9P1","11.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"ALC","ALCON AG","Health Care","Equity","118,712.10","1.63","118,712.10","1,830.00","-","CH0432492467","BJXBP41","64.87","Switzerland","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GN","GN STORE NORD","Health Care","Equity","117,726.93","1.61","117,726.93","1,482.00","S45010931","DK0010272632","4501093","79.44","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.11","DKK","-"
"3692","HANSOH PHARMACEUTICAL GROUP LTD","Health Care","Equity","112,995.81","1.55","112,995.81","24,000.00","-","KYG549581067","BJYKB72","4.71","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2359","WUXI APPTEC LTD H","Health Care","Equity","109,667.85","1.50","109,667.85","6,000.00","-","CNE100003F19","BGHH0L6","18.28","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NVRO","NEVRO CORP","Health Care","Equity","107,257.08","1.47","107,257.08","588.00","64157F103","US64157F1030","BS7K7C9","182.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MASI","MASIMO CORP","Health Care","Equity","105,312.24","1.44","105,312.24","396.00","574795100","US5747951003","B1YWR63","265.94","United States","NASDAQ","USD","1.00","USD","-"
"MRSN","MERSANA THERAPEUTICS INC","Health Care","Equity","98,248.80","1.35","98,248.80","3,666.00","59045L106","US59045L1061","BF3NP05","26.80","United States","NASDAQ","USD","1.00","USD","-"
"XLRN","ACCELERON PHARMA INC","Health Care","Equity","96,618.96","1.33","96,618.96","738.00","00434H108","US00434H1086","BDGTXQ8","130.92","United States","NASDAQ","USD","1.00","USD","-"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Health Care","Equity","95,669.25","1.31","95,669.25","641.00","98956P102","US98956P1021","2783815","149.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDOC","TELADOC HEALTH INC","Health Care","Equity","95,241.10","1.31","95,241.10","458.00","87918A105","US87918A1051","BYQRFY1","207.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UCB","UCB SA","Health Care","Equity","94,709.95","1.30","94,709.95","918.00","S55969919","BE0003739530","5596991","103.17","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"TWST","TWIST BIOSCIENCE CORP","Health Care","Equity","93,502.80","1.28","93,502.80","570.00","90184D100","US90184D1000","BGKG6G7","164.04","United States","NASDAQ","USD","1.00","USD","-"
"1951","JINXIN FERTILITY GROUP LTD","Health Care","Equity","92,006.45","1.26","92,006.45","48,000.00","-","KYG5140J1013","BJ9JY53","1.92","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","89,156.61","1.22","89,156.61","78.00","S71568323","CH0012280076","7156832","1,143.03","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","89,138.88","1.22","89,138.88","648.00","02043Q107","US02043Q1076","B00FWN1","137.56","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","87,941.88","1.21","87,941.88","414.00","761152107","US7611521078","2732903","212.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PODD","INSULET CORP","Health Care","Equity","86,446.08","1.19","86,446.08","336.00","45784P101","US45784P1012","B1XGNW4","257.28","United States","NASDAQ","USD","1.00","USD","-"
"ARGX","ARGENX SE ADR","Health Care","Equity","84,456.18","1.16","84,456.18","282.00","04016X101","US04016X1019","BDVLM39","299.49","Belgium","NASDAQ","USD","1.00","USD","-"
"BLI","BERKELEY LIGHTS INC","Health Care","Equity","82,497.24","1.13","82,497.24","798.00","084310101","US0843101017","BL5C535","103.38","United States","NASDAQ","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","Health Care","Equity","80,364.96","1.10","80,364.96","972.00","29261A100","US29261A1007","BYX2YJ7","82.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALLK","ALLAKOS INC","Health Care","Equity","79,401.72","1.09","79,401.72","524.00","01671P100","US01671P1003","BDD19P8","151.53","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK","Health Care","Equity","77,773.62","1.07","77,773.62","468.00","S47418447","DE0006599905","4741844","166.18","Germany","Xetra","USD","0.82","EUR","-"
"HUM","HUMANA INC","Health Care","Equity","77,727.36","1.07","77,727.36","192.00","444859102","US4448591028","2445063","404.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","76,950.00","1.06","76,950.00","648.00","405024100","US4050241003","2401195","118.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHC","SOTERA HEALTH COMPANY","Health Care","Equity","69,963.18","0.96","69,963.18","2,597.00","83601L102","US83601L1026","BNKVRZ7","26.94","United States","NASDAQ","USD","1.00","USD","-"
"NKTX","NKARTA INC","Health Care","Equity","68,478.30","0.94","68,478.30","990.00","65487U108","US65487U1088","BK80YJ8","69.17","United States","NASDAQ","USD","1.00","USD","-"
"KOD","KODIAK SCIENCES INC","Health Care","Equity","64,692.60","0.89","64,692.60","420.00","50015M109","US50015M1099","BFXC933","154.03","United States","NASDAQ","USD","1.00","USD","-"
"GMAB","GENMAB SPONSORED ADR","Health Care","Equity","63,358.20","0.87","63,358.20","1,620.00","372303206","US3723032062","BBC9WC7","39.11","Denmark","NASDAQ","USD","1.00","USD","-"
"PMVP","PMV PHARMACEUTICALS INC","Health Care","Equity","63,039.06","0.86","63,039.06","1,134.00","69353Y103","US69353Y1038","BMW5084","55.59","United States","NASDAQ","USD","1.00","USD","-"
"DEMANT","DEMANT","Health Care","Equity","62,982.21","0.86","62,982.21","1,644.00","-","DK0060738599","BZ01RF1","38.31","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.11","DKK","-"
