Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TSLA","TESLA INC","Consumer Discretionary","Equity","286,083.72","1.84","286,083.72","468.00","88160R101","US88160R1014","B616C79","611.29","United States","NASDAQ","USD","1.00","USD","-"
"3661","ALCHIP TECHNOLOGIES LTD","Information Technology","Equity","284,843.07","1.83","284,843.07","9,000.00","-","KYG022421088","B4TPSL0","31.65","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","280,000.00","1.80","280,000.00","280,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","261,769.25","1.68","261,769.25","455.00","S67716456","KR7006400006","6771645","575.32","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"035720","KAKAO CORP","Communication","Equity","258,494.98","1.66","258,494.98","600.00","S61940375","KR7035720002","6194037","430.82","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","251,729.94","1.62","251,729.94","1,771.00","29355A107","US29355A1079","B65SQW4","142.14","United States","NASDAQ","USD","1.00","USD","-"
"FOUR","SHIFT4 PAYMENTS INC CLASS A","Information Technology","Equity","249,506.28","1.60","249,506.28","3,009.00","82452J109","US82452J1097","BLF0L75","82.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","247,994.46","1.59","247,994.46","1,197.00","852234103","US8522341036","BYNZGK1","207.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSPD","LIGHTSPEED POS SUBORDINATE VOTING","Information Technology","Equity","245,146.91","1.58","245,146.91","4,177.00","53227R106","CA53227R1064","BGHVW01","58.69","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"BILI","BILIBILI AMERICAN DEPOSITARY SHARE","Communication","Equity","236,689.74","1.52","236,689.74","2,331.00","090040106","US0900401060","BFNLRN6","101.54","China","NASDAQ","USD","1.00","USD","-"
"OZON","OZON HOLDINGS ADR PLC","Consumer Discretionary","Equity","226,213.38","1.45","226,213.38","4,299.00","69269L104","US69269L1044","BN10NX3","52.62","Cyprus","NASDAQ","USD","1.00","USD","-"
"UCTT","ULTRA CLEAN HOLDINGS INC","Information Technology","Equity","226,212.35","1.45","226,212.35","4,193.00","90385V107","US90385V1070","B00G0F2","53.95","United States","NASDAQ","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","216,026.06","1.39","216,026.06","4,358.00","83304A106","US83304A1060","BD8DJ71","49.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTCH","FARFETCH CLASS A LTD","Consumer Discretionary","Equity","213,451.56","1.37","213,451.56","4,473.00","30744W107","KY30744W1070","BFD20M9","47.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CREE","CREE INC","Information Technology","Equity","205,319.80","1.32","205,319.80","2,044.00","225447101","US2254471012","2232351","100.45","United States","NASDAQ","USD","1.00","USD","-"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","203,226.60","1.31","203,226.60","645.00","90138F102","US90138F1021","BD6P5Q0","315.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","202,646.60","1.30","202,646.60","1,901.00","29362U104","US29362U1043","2599700","106.60","United States","NASDAQ","USD","1.00","USD","-"
"IPHI","INPHI CORP","Information Technology","Equity","199,386.88","1.28","199,386.88","1,156.00","45772F107","US45772F1075","B5TRVW5","172.48","United States","NASDAQ","USD","1.00","USD","-"
"SOI","SOITEC SA","Information Technology","Equity","198,571.64","1.28","198,571.64","986.00","-","FR0013227113","BZ6T5C2","201.39","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","189,461.70","1.22","189,461.70","135.00","58733R102","US58733R1023","B23X1H3","1,403.42","United States","NASDAQ","USD","1.00","USD","-"
"CHGG","CHEGG INC","Consumer Discretionary","Equity","188,452.92","1.21","188,452.92","2,316.00","163092109","US1630921096","BG6N6K6","81.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROKU","ROKU INC CLASS A","Communication","Equity","188,294.54","1.21","188,294.54","626.00","77543R102","US77543R1023","BZ1LFG7","300.79","United States","NASDAQ","USD","1.00","USD","-"
"LWSA3","LOCAWEB SERVICOS DE INTERNET SA","Information Technology","Equity","186,268.39","1.20","186,268.39","50,302.00","-","BRLWSAACNOR8","BL3W4C9","3.70","Brazil","XBSP","USD","5.80","BRL","-"
