Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"USD CASH","-","Cash","6,501,714.98","19.76","6,501,714.98","6,501,715.00","-","-","-","100.00","United States","-","USD","0.00","0.13","1.00","-","0.00","-","0.13","0.00","0.13","USD","Jan 01, 1989","-"
"TREASURY BILL","-","Cash","2,249,707.81","6.84","2,249,707.81","2,250,000.00","912796C72","US912796C722","BLF8168","99.99","United States","-","USD","0.15","0.09","1.00","Mar 09, 2021","0.16","-","0.09","0.16","0.09","USD","Oct 06, 2020","Oct 06, 2020"
"TRSWAP: MLCX3CRT INDEX","-","Swaps","1,795,358.59","5.46","21,934,925.04","188,412.00","-","-","-","9.53","United States","-","USD","0.00","0.00","1.00","Sep 01, 2021","0.00","-","0.00","0.00","0.00","USD","Sep 01, 2020","Sep 01, 2020"
"NATIXIS (NEW YORK BRANCH)","-","Cash","1,249,749.17","3.80","1,249,749.17","1,250,000.00","63873JQ94","-","-","99.98","United States","-","USD","0.15","0.13","1.00","Mar 09, 2021","0.16","-","0.13","0.16","0.13","USD","Nov 23, 2020","Nov 23, 2020"
"LANDESBANK HESSEN THUERINGEN GIROZ","-","Cash","1,224,354.02","3.72","1,224,354.02","1,225,000.00","51489GR66","-","-","99.95","United States","-","USD","0.23","0.23","1.00","Apr 06, 2021","0.23","-","0.23","0.23","0.23","USD","Jan 05, 2021","Jan 05, 2021"
"SKANDINAVISKA ENSKILDA BANKEN AB","-","Cash","1,199,868.03","3.65","1,199,868.03","1,200,000.00","83050TPJ4","-","-","99.99","Sweden","-","USD","0.10","0.11","1.00","Feb 18, 2021","0.10","-","0.11","0.10","0.11","USD","Nov 17, 2020","Nov 17, 2020"
"NATIONAL GRID PLC","-","Cash","1,199,737.50","3.65","1,199,737.50","1,200,000.00","63627TPG6","-","-","99.98","United Kingdom","-","USD","0.10","0.23","1.00","Feb 16, 2021","0.09","-","0.23","0.09","0.23","USD","Jan 07, 2021","Jan 07, 2021"
"RIDGEFIELD FUNDING COMPANY LLC","-","Cash","1,199,499.60","3.65","1,199,499.60","1,200,000.00","76582JQ31","-","-","99.96","United States","-","USD","0.14","0.30","1.00","Mar 03, 2021","0.14","-","0.30","0.14","0.30","USD","Dec 29, 2020","Dec 29, 2020"
"DUKE ENERGY CORP","-","Cash","1,149,818.88","3.49","1,149,818.88","1,150,000.00","26244HP80","-","-","99.98","United States","-","USD","0.07","0.21","1.00","Feb 08, 2021","0.07","-","0.21","0.07","0.21","USD","Nov 24, 2020","Nov 24, 2020"
"COLLAT CP FLEX CO LLC","-","Cash","1,124,664.75","3.42","1,124,664.75","1,125,000.00","19423JPH4","-","-","99.97","United States","-","USD","0.10","0.30","1.00","Feb 17, 2021","0.10","-","0.30","0.10","0.30","USD","Nov 23, 2020","Nov 23, 2020"
"SUMITOMO MITSUI TRUST BANK LIMITED","-","Cash","1,099,922.02","3.34","1,099,922.02","1,100,000.00","86564YP30","-","-","99.99","Singapore","-","USD","0.06","0.12","1.00","Feb 03, 2021","0.06","-","0.12","0.06","0.12","USD","Oct 13, 2020","Oct 13, 2020"
"CHURCH & DWIGHT CO INC","-","Cash","1,099,759.38","3.34","1,099,759.38","1,100,000.00","17134APG9","-","-","99.98","United States","-","USD","0.10","0.23","1.00","Feb 16, 2021","0.09","-","0.23","0.09","0.23","USD","Nov 30, 2020","Nov 30, 2020"
"MANHATTAN ASSET FUNDING CO LLC","-","Cash","1,099,697.50","3.34","1,099,697.50","1,100,000.00","56274LPS7","-","-","99.97","United States","-","USD","0.12","0.22","1.00","Feb 26, 2021","0.12","-","0.22","0.12","0.22","USD","Nov 30, 2020","Nov 30, 2020"
"SHEFFIELD RECEIVABLES CORP","-","Cash","1,099,318.00","3.34","1,099,318.00","1,100,000.00","82124LQX3","-","-","99.94","United States","-","USD","0.21","0.29","1.00","Mar 31, 2021","0.22","-","0.29","0.22","0.29","USD","Dec 31, 2020","Dec 31, 2020"
"TREASURY BILL","-","Cash","999,936.25","3.04","999,936.25","1,000,000.00","912796B73","US912796B732","BMTVQV0","99.99","United States","-","USD","0.07","0.09","1.00","Feb 09, 2021","0.07","-","0.09","0.07","0.09","USD","Sep 08, 2020","Sep 08, 2020"
"OVERSEA-CHINESE BANKING CORPORATIO","-","Cash","999,817.39","3.04","999,817.39","1,000,000.00","69034APK2","-","-","99.98","Singapore","-","USD","0.10","0.17","1.00","Feb 19, 2021","0.10","-","0.17","0.10","0.17","USD","Oct 27, 2020","Oct 27, 2020"
