Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"CALMONEY","Cash and/or Derivatives","Money Market","10,152,340.91","0.59","10,152,340.91","10,146,253.00","09248U106","US09248U1060","-","1.00","United States","-","USD","0.03","0.05","1.00","-","0.11","0.05","-","0.05","0.05","0.05","USD","Feb 28, 1983","-"
"BAY AREA TOLL AUTH CALIF TOLL","Prerefund/Escrow","Fixed Income","9,507,467.08","0.55","9,507,467.08","8,150,000.00","072024TP7","US072024TP76","-","114.25","United States","-","USD","2.80","0.26","1.00","Apr 01, 2024","5.00","2.79","-","0.26","2.79","0.26","USD","Aug 05, 2014","Aug 05, 2014"
"SAN JOAQUIN HILLS CALIF TRANSN","Transportation","Fixed Income","9,003,673.87","0.52","9,003,673.87","8,000,000.00","798111GJ3","US798111GJ32","-","111.59","United States","-","USD","6.73","4.20","1.00","Jan 15, 2044","5.00","11.53","-","1.83","3.47","1.83","USD","Nov 06, 2014","Nov 06, 2014"
"LOS ANGELES CALIF DEPT WTR & P","Utility","Fixed Income","8,940,690.22","0.52","8,940,690.22","8,000,000.00","544525SF6","US544525SF63","-","110.61","United States","-","USD","3.41","3.64","1.00","Jul 01, 2030","5.00","7.42","-","0.31","2.15","0.31","USD","Dec 05, 2013","Dec 05, 2013"
"CALIFORNIA ST FOR PREVIOUS ISS","State Tax-Backed","Fixed Income","8,773,174.12","0.51","8,773,174.12","7,110,000.00","13063C6B1","US13063C6B19","-","122.66","United States","-","USD","5.42","1.71","1.00","Aug 01, 2028","5.00","6.28","-","0.68","4.79","0.68","USD","Mar 14, 2017","Mar 14, 2017"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","8,434,241.59","0.49","8,434,241.59","7,000,000.00","13063DUD8","US13063DUD82","-","120.23","United States","-","USD","9.89","2.38","1.00","Mar 01, 2036","4.00","11.59","-","1.56","7.67","1.56","USD","Mar 19, 2020","Mar 19, 2020"
"SAN DIEGO CALIF CMNTY COLLEGE","Prerefund/Escrow","Fixed Income","7,728,996.52","0.45","7,728,996.52","6,895,000.00","797272MY4","US797272MY40","-","111.36","United States","-","USD","2.24","0.16","1.00","Aug 01, 2023","5.00","2.24","-","0.16","2.24","0.16","USD","Jul 30, 2013","Jul 30, 2013"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","7,310,393.94","0.43","7,310,393.94","6,550,000.00","13063DFX1","US13063DFX12","-","109.21","United States","-","USD","2.97","3.73","1.00","Oct 01, 2029","5.00","6.84","-","0.42","1.90","0.42","USD","Mar 15, 2018","Mar 15, 2018"
"LOS ANGELES CALIF UNI SCH DIST","School Districts","Fixed Income","7,303,507.53","0.43","7,303,507.53","6,225,000.00","544647BX7","US544647BX71","-","116.40","United States","-","USD","11.73","3.01","1.00","Jul 01, 2044","4.00","14.98","-","2.05","7.82","2.05","USD","Apr 30, 2020","Apr 30, 2020"
"CALIFORNIA ST FOR PREVIOUS ISS","State Tax-Backed","Fixed Income","6,779,240.89","0.40","6,779,240.89","5,460,000.00","13063C5W6","US13063C5W64","-","123.43","United States","-","USD","4.80","0.55","1.00","Aug 01, 2026","5.00","4.79","-","0.55","4.79","0.55","USD","Mar 14, 2017","Mar 14, 2017"
"ORANGE CNTY CALIF WTR DIST REV","Utility","Fixed Income","6,529,327.35","0.38","6,529,327.35","6,300,000.00","684421FB1","US684421FB12","-","103.42","United States","-","USD","2.00","0.56","1.00","Aug 15, 2023","2.00","2.34","-","0.19","1.86","0.19","USD","Jun 27, 2019","Jun 27, 2019"
