Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","42,409,283.03","6.27","42,409,283.03","126,561.00","-","CNE0000018R8","BP3R2F1","335.09","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"000858","WULIANGYE YIBIN LTD A","Consumer Staples","Equity","19,114,837.82","2.83","19,114,837.82","393,014.00","-","CNE000000VQ8","BD5CPG2","48.64","China","Shenzhen Stock Exchange","USD","6.48","CNY","-"
"600036","CHINA MERCHANTS BANK LTD A","Financials","Equity","16,701,259.78","2.47","16,701,259.78","2,080,302.00","-","CNE000001B33","BP3R273","8.03","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","14,334,917.08","2.12","14,334,917.08","234,400.00","-","CNE100003662","BHQPSY7","61.16","China","Shenzhen Stock Exchange","USD","6.48","CNY","-"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Financials","Equity","14,177,044.43","2.10","14,177,044.43","1,084,123.00","-","CNE000001R84","BP3R284","13.08","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"601888","CHINA TOURISM GROUP DUTY FREE CORP","Consumer Discretionary","Equity","9,354,690.92","1.38","9,354,690.92","197,141.00","-","CNE100000G29","BP3R466","47.45","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"600276","JIANGSU HENGRUI MEDICINE LTD A","Health Care","Equity","9,135,575.78","1.35","9,135,575.78","532,052.00","-","CNE0000014W7","BP3R369","17.17","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"603288","FOSHAN HAI TIAN FLAVOURING & FOOD","Consumer Staples","Equity","8,771,911.29","1.30","8,771,911.29","273,104.00","-","CNE100001SL2","BTFRHX0","32.12","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"300760","SHENZHEN MINDRAY BIO-MEDICAL ELECT","Health Care","Equity","7,483,298.19","1.11","7,483,298.19","99,534.00","-","CNE100003G67","BHQK864","75.18","China","Shenzhen Stock Exchange","USD","6.48","CNY","-"
"601166","INDUSTRIAL BANK LTD A","Financials","Equity","7,342,815.93","1.09","7,342,815.93","2,080,347.00","-","CNE000001QZ7","BP3R295","3.53","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"002594","BYD LTD A","Consumer Discretionary","Equity","7,285,231.39","1.08","7,285,231.39","181,873.00","-","CNE100001526","BD5CQ69","40.06","China","Shenzhen Stock Exchange","USD","6.48","CNY","-"
"601012","LONGI GREEN ENERGY TECHNOLOGY LTD","Information Technology","Equity","6,852,852.56","1.01","6,852,852.56","380,924.00","-","CNE100001FR6","BRTL411","17.99","China","Shanghai Stock Exchange","USD","6.48","CNY","-"
"000001","PING AN BANK LTD A","Financials","Equity","6,802,147.40","1.01","6,802,147.40","1,963,156.00","-","CNE000000040","BD5CPS4","3.46","China","Shenzhen Stock Exchange","USD","6.48","CNY","-"
