Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"NESN","NESTLE SA","Consumer Staples","Equity","126,648.21","2.07","126,648.21","1,095.00","S71238703","CH0038863350","7123870","115.63","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","95,307.84","1.56","95,307.84","267.00","S71103881","CH0012032048","7110388","356.84","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"ASML","ASML HOLDING NV","Information Technology","Equity","88,078.96","1.44","88,078.96","162.00","-","NL0010273215","B929F46","544.30","Netherlands","Euronext Amsterdam","USD","0.82","EUR"
"NOVN","NOVARTIS AG","Health Care","Equity","78,691.34","1.29","78,691.34","844.00","S71030654","CH0012005267","7103065","93.22","Switzerland","SIX Swiss Exchange","USD","0.89","CHF"
"MC","LVMH","Consumer Discretionary","Equity","66,145.69","1.08","66,145.69","106.00","S40614125","FR0000121014","4061412","626.74","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","59,284.62","0.97","59,284.62","1,000.00","-","GB00B10RZP78","B10RZP7","59.31","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","57,178.25","0.94","57,178.25","806.00","S69006435","JP3633400001","6900643","70.91","Japan","Tokyo Stock Exchange","USD","104.31","JPY"
"1299","AIA GROUP LTD","Financials","Equity","56,381.74","0.92","56,381.74","4,595.00","-","HK0000069689","B4TX8S1","12.27","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD"
"AZN","ASTRAZENECA PLC","Health Care","Equity","52,354.73","0.86","52,354.73","499.00","S09895293","GB0009895292","0989529","104.94","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"SAP","SAP","Information Technology","Equity","52,118.46","0.85","52,118.46","397.00","S48462881","DE0007164600","4846288","131.29","Germany","Xetra","USD","0.82","EUR"
"9984","SOFTBANK GROUP CORP","Communication","Equity","47,326.61","0.78","47,326.61","596.00","S67706200","JP3436100006","6770620","79.43","Japan","Tokyo Stock Exchange","USD","104.31","JPY"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","46,581.86","0.76","46,581.86","655.00","-","DK0060534915","BHC8X90","71.16","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.13","DKK"
"6758","SONY CORP","Consumer Discretionary","Equity","46,120.88","0.76","46,120.88","479.00","S68215060","JP3435000009","6821506","96.20","Japan","Tokyo Stock Exchange","USD","104.31","JPY"
"SIE","SIEMENS N AG","Industrials","Equity","45,733.59","0.75","45,733.59","291.00","S57279739","DE0007236101","5727973","157.25","Germany","Xetra","USD","0.82","EUR"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","43,944.48","0.72","43,944.48","673.00","S62150354","AU000000CBA7","6215035","65.30","Australia","Asx - All Markets","USD","1.30","AUD"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","41,998.88","0.69","41,998.88","7,749.00","S05405287","GB0005405286","0540528","5.42","United Kingdom","London Stock Exchange","USD","0.73","GBP"
"FP","TOTAL","Energy","Equity","41,601.84","0.68","41,601.84","958.00","-","FR0000120271","B15C557","43.42","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR"
"SAN","SANOFI SA","Health Care","Equity","41,298.58","0.68","41,298.58","431.00","S56717358","FR0000120578","5671735","95.88","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR"
"BHP","BHP GROUP LTD","Materials","Equity","38,032.77","0.62","38,032.77","1,120.00","S61446902","AU000000BHP4","6144690","33.96","Australia","Asx - All Markets","USD","1.30","AUD"
