Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EFA","ISHARES MSCI EAFE ETF","Financials","Equity","6,174,381.00","99.93","6,174,381.00","82,380.00","464287465","US4642874659","2801290","74.95","United States","NYSE Arca","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","60,000.00","0.97","60,000.00","60,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","FX","4,506.53","0.07","4,506.53","-79,749,000.00","-","-","-","1.00","United States","-","USD","103.39","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","4,368.71","0.07","4,368.71","4,369.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","Forwards","3,717.95","0.06","3,717.95","-311,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","3,557.20","0.06","3,557.20","800,000.00","-","-","-","1.00","United States","-","USD","0.81","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","1,746.98","0.03","1,746.98","403,000.00","-","-","-","1.00","United States","-","USD","0.81","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","1,520.94","0.02","1,520.94","278,000.00","-","-","-","1.00","United States","-","USD","1.29","USD","-"
"GBP","GBP/USD","Cash and/or Derivatives","FX","1,371.51","0.02","1,371.51","-311,000.00","-","-","-","1.00","United States","-","USD","0.74","USD","-"
"JPY","JPY/USD","Cash and/or Derivatives","Forwards","1,162.19","0.02","1,162.19","-79,749,000.00","-","-","-","1.00","United States","-","USD","103.36","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","788.84","0.01","788.84","259,000.00","-","-","-","1.00","United States","-","USD","0.88","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","765.32","0.01","765.32","138,000.00","-","-","-","1.00","United States","-","USD","1.29","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","FX","711.71","0.01","711.71","-259,000.00","-","-","-","1.00","United States","-","USD","0.88","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","FX","644.48","0.01","644.48","152,000.00","-","-","-","1.00","United States","-","USD","1.29","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","FX","534.24","0.01","534.24","126,000.00","-","-","-","1.00","United States","-","USD","1.29","USD","-"
"CHF","CHF/USD","Cash and/or Derivatives","Forwards","384.31","0.01","384.31","131,000.00","-","-","-","1.00","United States","-","USD","0.88","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","306.71","0.00","306.71","447,000.00","-","-","-","1.00","United States","-","USD","6.06","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","FX","202.33","0.00","202.33","754,000.00","-","-","-","1.00","United States","-","USD","8.21","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","FX","190.68","0.00","190.68","454,000.00","-","-","-","1.00","United States","-","USD","0.81","USD","-"
"ILS","ILS/USD","Cash and/or Derivatives","Forwards","145.37","0.00","145.37","13,000.00","-","-","-","1.00","United States","-","USD","3.19","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","FX","144.90","0.00","144.90","345,000.00","-","-","-","1.00","United States","-","USD","0.81","USD","-"
"DKK","DKK/USD","Cash and/or Derivatives","Forwards","144.81","0.00","144.81","216,000.00","-","-","-","1.00","United States","-","USD","6.05","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","Forwards","131.18","0.00","131.18","76,000.00","-","-","-","1.00","United States","-","USD","8.44","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","Forwards","126.09","0.00","126.09","76,000.00","-","-","-","1.00","United States","-","USD","8.44","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","Forwards","84.39","0.00","84.39","13,000.00","-","-","-","1.00","United States","-","USD","1.38","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","77.72","0.00","77.72","853,000.00","-","-","-","1.00","United States","-","USD","8.21","USD","-"
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","67.71","0.00","67.71","8,000.00","-","-","-","1.00","United States","-","USD","0.81","USD","-"
"NOK","NOK/USD","Cash and/or Derivatives","FX","67.95","0.00","67.95","67,000.00","-","-","-","1.00","United States","-","USD","8.44","USD","-"
"SEK","SEK/USD","Cash and/or Derivatives","Forwards","63.64","0.00","63.64","439,000.00","-","-","-","1.00","United States","-","USD","8.20","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","FX","57.07","0.00","57.07","13,000.00","-","-","-","1.00","United States","-","USD","1.38","USD","-"
"AUD","AUD/USD","Cash and/or Derivatives","Forwards","49.99","0.00","49.99","3,000.00","-","-","-","1.00","United States","-","USD","1.29","USD","-"
"NZD","NZD/USD","Cash and/or Derivatives","Forwards","44.99","0.00","44.99","7,000.00","-","-","-","1.00","United States","-","USD","1.38","USD","-"
