Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ASML","ASML HOLDING NV","Information Technology","Equity","2,466,335.47","2.70","2,466,335.47","4,340.00","-","NL0010273215","B929F46","568.28","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","1,641,102.18","1.79","1,641,102.18","124,600.00","-","HK0000069689","B4TX8S1","13.17","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","1,605,144.14","1.76","1,605,144.14","21,000.00","S69006435","JP3633400001","6900643","76.44","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","1,462,970.79","1.60","1,462,970.79","15,600.00","S67706200","JP3436100006","6770620","93.78","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"6758","SONY CORP","Consumer Discretionary","Equity","1,424,630.68","1.56","1,424,630.68","12,600.00","S68215060","JP3435000009","6821506","113.07","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"SAP","SAP","Information Technology","Equity","1,381,190.54","1.51","1,381,190.54","10,486.00","S48462881","DE0007164600","4846288","131.72","Germany","Xetra","USD","0.83","EUR","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","1,235,866.00","1.35","1,235,866.00","17,346.00","-","DK0060534915","BHC8X90","71.25","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.15","DKK","-"
"6861","KEYENCE CORP","Information Technology","Equity","1,052,053.35","1.15","1,052,053.35","1,900.00","S64909955","JP3236200006","6490995","553.71","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"ALV","ALLIANZ","Financials","Equity","1,003,171.93","1.10","1,003,171.93","4,256.00","S52314853","DE0008404005","5231485","235.71","Germany","Xetra","USD","0.83","EUR","-"
"CSL","CSL LTD","Health Care","Equity","979,379.70","1.07","979,379.70","4,634.00","S61854956","AU000000CSL8","6185495","211.35","Australia","Asx - All Markets","USD","1.29","AUD","-"
"OR","LOREAL SA","Consumer Staples","Equity","969,485.91","1.06","969,485.91","2,562.00","S40578080","FR0000120321","4057808","378.41","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"7974","NINTENDO LTD","Communication","Equity","833,293.49","0.91","833,293.49","1,400.00","S66395500","JP3756600007","6639550","595.21","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","828,034.80","0.91","828,034.80","5,558.00","S48341085","FR0000121972","4834108","148.98","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","815,069.06","0.89","815,069.06","4,900.00","-","FR0000120073","B1YXBJ7","166.34","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","727,475.26","0.80","727,475.26","4,200.00","S68045855","JP3371200001","6804585","173.21","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","664,943.93","0.73","664,943.93","1,932.00","S40319766","DE000A1EWWW0","4031976","344.17","Germany","Xetra","USD","0.83","EUR","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","650,979.59","0.71","650,979.59","13,300.00","-","JP3970300004","BQRRZ00","48.95","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","646,515.53","0.71","646,515.53","1,540.00","S59838169","CH0011075394","5983816","419.82","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","622,861.79","0.68","622,861.79","126,000.00","S63351712","JP3902900004","6335171","4.94","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","616,545.85","0.67","616,545.85","34,216.00","S58423591","DE0005557508","5842359","18.02","Germany","Xetra","USD","0.83","EUR","-"
"PRX","PROSUS NV","Consumer Discretionary","Equity","613,571.29","0.67","613,571.29","4,970.00","-","NL0013654783","BJDS7L3","123.45","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","610,011.00","0.67","610,011.00","2,800.00","S62507249","JP3481800005","6250724","217.86","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"6594","NIDEC CORP","Industrials","Equity","586,919.73","0.64","586,919.73","4,200.00","S66406828","JP3734800000","6640682","139.74","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","568,726.32","0.62","568,726.32","13,552.00","S58895053","DE0006231004","5889505","41.97","Germany","Xetra","USD","0.83","EUR","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","561,285.08","0.61","561,285.08","1,400.00","S68956754","JP3571400005","6895675","400.92","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"ABBN","ABB LTD","Industrials","Equity","549,985.67","0.60","549,985.67","18,830.00","S71088991","CH0012221716","7108899","29.21","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"6954","FANUC CORP","Industrials","Equity","548,740.26","0.60","548,740.26","2,000.00","S63569347","JP3802400006","6356934","274.37","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","545,757.04","0.60","545,757.04","600.00","S63324396","JP3802300008","6332439","909.60","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","537,603.68","0.59","537,603.68","8,100.00","S62673595","HK0388045442","6267359","66.37","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9433","KDDI CORP","Communication","Equity","534,271.65","0.58","534,271.65","16,800.00","S62489901","JP3496400007","6248990","31.80","Japan","Tokyo Stock Exchange","USD","104.59","JPY","-"
