Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","238,294,504.00","9.17","238,294,504.00","1,059,275.00","594918104","US5949181045","2588173","224.96","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","98,126,973.00","3.78","98,126,973.00","354,249.00","30303M102","US30303M1027","B7TL820","277.00","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","78,579,549.87","3.02","78,579,549.87","44,243.00","02079K107","US02079K1079","BYY88Y7","1,776.09","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","78,538,531.08","3.02","78,538,531.08","44,273.00","02079K305","US02079K3059","BYVY8G0","1,773.96","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","72,934,221.48","2.81","72,934,221.48","109,892.00","88160R101","US88160R1014","B616C79","663.69","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","52,821,119.34","2.03","52,821,119.34","248,418.00","92826C839","US92826C8394","B2PZN04","212.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","50,871,013.64","1.96","50,871,013.64","366,823.00","742718109","US7427181091","2704407","138.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","47,622,190.44","1.83","47,622,190.44","266,254.00","254687106","US2546871060","2270726","178.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","46,909,044.00","1.81","46,909,044.00","90,909.00","67066G104","US67066G1040","2379504","516.00","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","45,337,763.52","1.74","45,337,763.52","131,616.00","57636Q104","US57636Q1040","B121557","344.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
