Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BEN","BENDIGO AND ADELAIDE BANK LTD","Financials","Equity","1,270,706.62","4.22","1,270,706.62","175,663.00","S60912805","AU000000BEN6","6091280","7.23","Australia","Asx - All Markets","USD","1.31","AUD","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","1,218,552.47","4.05","1,218,552.47","66,735.00","S60862539","AU000000FMG4","6086253","18.26","Australia","Asx - All Markets","USD","1.31","AUD","-"
"MMS","MCMILLAN SHAKESPEARE LTD","Industrials","Equity","1,131,744.54","3.76","1,131,744.54","118,148.00","-","AU000000MMS5","B00G1Q0","9.58","Australia","Asx - All Markets","USD","1.31","AUD","-"
"303","VTECH HOLDINGS LTD","Information Technology","Equity","1,007,786.25","3.35","1,007,786.25","129,700.00","S69285609","BMG9400S1329","6928560","7.77","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","838,894.90","2.79","838,894.90","13,114.00","S62150354","AU000000CBA7","6215035","63.97","Australia","Asx - All Markets","USD","1.31","AUD","-"
"665","HAITONG INTL SECURITIES GROUP LTD","Financials","Equity","822,914.48","2.73","822,914.48","3,506,000.00","S68989086","BMG4232X1020","6898908","0.23","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"8","PCCW LTD","Communication","Equity","768,648.64","2.55","768,648.64","1,279,000.00","S65740714","HK0008011667","6574071","0.60","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2588","BOC AVIATION LTD","Industrials","Equity","766,329.85","2.55","766,329.85","91,700.00","-","SG9999015267","BYZJV17","8.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"14","HYSAN DEVELOPMENT LTD","Real Estate","Equity","756,823.85","2.51","756,823.85","207,000.00","449162106","HK0014000126","6449629","3.66","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"RIO","RIO TINTO LTD","Materials","Equity","739,809.47","2.46","739,809.47","8,428.00","S62201033","AU000000RIO1","6220103","87.78","Australia","Asx - All Markets","USD","1.31","AUD","Jan 02, 1985"
"PPT","PERPETUAL LTD","Financials","Equity","739,521.42","2.46","739,521.42","27,505.00","S66823949","AU000000PPT9","6682394","26.89","Australia","Asx - All Markets","USD","1.31","AUD","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","715,687.97","2.38","715,687.97","37,700.00","S61752036","SG1L01001701","6175203","18.98","Singapore","Singapore Exchange","USD","1.33","SGD","Jan 01, 1998"
"SPK","SPARK NEW ZEALAND LTD","Communication","Equity","696,428.69","2.31","696,428.69","201,631.00","S68814367","NZTELE0001S4","6881436","3.45","New Zealand","New Zealand Exchange Ltd","USD","1.40","NZD","-"
"683","KERRY PROPERTIES LTD","Real Estate","Equity","667,066.89","2.22","667,066.89","261,500.00","S64863145","BMG524401079","6486314","2.55","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"19","SWIRE PACIFIC LTD A","Real Estate","Equity","662,685.95","2.20","662,685.95","119,500.00","S68677483","HK0019000162","6867748","5.55","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2388","BOC HONG KONG HOLDINGS LTD","Financials","Equity","656,995.38","2.18","656,995.38","214,500.00","S65361123","HK2388011192","6536112","3.06","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Equity","650,117.90","2.16","650,117.90","85,700.00","-","SG1S04926220","B0F9V20","7.59","Singapore","Singapore Exchange","USD","1.33","SGD","-"
"1","CK HUTCHISON HOLDINGS LTD","Industrials","Equity","645,443.35","2.14","645,443.35","92,000.00","-","KYG217651051","BW9P816","7.02","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
