Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"EVR","EVRAZ","Materials","Equity","16,716,975.39","2.55","16,716,975.39","2,587,378.00","-","GB00B71N6K86","B71N6K8","6.46","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"NLMK","NOVOLIPETSK STEEL GDR","Materials","Equity","14,734,047.36","2.24","14,734,047.36","503,212.00","67011E204","US67011E2046","B0RTNX3","29.28","Russian Federation","London Stock Exchange","USD","1.00","USD","-"
"ABG","ABSA GROUP LTD","Financials","Equity","13,210,112.48","2.01","13,210,112.48","1,581,740.00","-","ZAE000255915","BFX05H3","8.35","South Africa","Johannesburg Stock Exchange","USD","14.62","ZAR","-"
"IBULHSGFIN","INDIABULLS HOUSING FINANCE LTD","Financials","Equity","13,033,033.21","1.98","13,033,033.21","4,685,299.00","-","INE148I01020","B98CG57","2.78","India","National Stock Exchange Of India","USD","73.55","INR","-"
"NED","NEDBANK GROUP LTD","Financials","Equity","12,649,617.58","1.93","12,649,617.58","1,392,258.00","S5518R104","ZAE000004875","6628008","9.09","South Africa","Johannesburg Stock Exchange","USD","14.62","ZAR","-"
"PTBA","TAMBANG BATUBARA BUKIT ASAM","Energy","Equity","11,753,025.21","1.79","11,753,025.21","59,181,900.00","S65651275","ID1000094006","6565127","0.20","Indonesia","Indonesia Stock Exchange","USD","14,200.00","IDR","-"
"RECLTD","REC LTD","Financials","Equity","11,343,043.52","1.73","11,343,043.52","6,230,838.00","-","INE020B01018","B2Q7WL3","1.82","India","National Stock Exchange Of India","USD","73.55","INR","-"
"MAGN","MAGNITOGORSKIY METALLURGICHESKIY K","Materials","Equity","10,740,146.10","1.64","10,740,146.10","14,213,600.00","-","RU0009084396","B5B1RP0","0.76","Russian Federation","Standard-Classica-Forts","USD","74.01","RUB","-"
"CYRE3","CYRELA BRAZIL REALTY SA","Consumer Discretionary","Equity","10,667,937.18","1.62","10,667,937.18","1,928,100.00","S21898556","BRCYREACNOR7","2189855","5.53","Brazil","XBSP","USD","5.21","BRL","-"
"SANB11","BANCO SANTANDER BRASIL UNITS SA","Financials","Equity","10,569,669.47","1.61","10,569,669.47","1,216,400.00","-","BRSANBCDAM13","B4V5RY4","8.69","Brazil","XBSP","USD","5.21","BRL","-"
"2777","GUANGZHOU R&F PROPERTIES LTD H","Real Estate","Equity","10,401,829.09","1.58","10,401,829.09","8,322,000.00","-","CNE100000569","B19H8Y8","1.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"ALDAR","ALDAR PROPERTIES","Real Estate","Equity","10,382,885.46","1.58","10,382,885.46","11,844,067.00","-","AEA002001013","B0LX3Y2","0.88","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"OIL","OIL INDIA LTD","Energy","Equity","10,096,290.34","1.54","10,096,290.34","6,819,168.00","-","INE274J01014","B409HQ9","1.48","India","National Stock Exchange Of India","USD","73.55","INR","-"
"CHMF","SEVERSTAL","Materials","Equity","10,006,133.80","1.52","10,006,133.80","559,293.00","-","RU0009046510","B5B9C59","17.89","Russian Federation","Standard-Classica-Forts","USD","74.01","RUB","Jan 01, 1970"
"BSMXB","BANCO SANTANDER B SA","Financials","Equity","9,499,939.87","1.45","9,499,939.87","9,413,900.00","-","MX41BS060005","BF1FXN2","1.01","Mexico","Bolsa Mexicana De Valores","USD","19.86","MXN","-"
"KIO","KUMBA IRON ORE LTD","Materials","Equity","9,250,722.24","1.41","9,250,722.24","215,769.00","S4341C103","ZAE000085346","B1G4262","42.87","South Africa","Johannesburg Stock Exchange","USD","14.62","ZAR","-"
