Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SQM.B","SOCIEDAD QUIMICA Y MINERA DE CHILE","Materials","Equity","62,156,660.12","12.20","62,156,660.12","1,096,019.00","S27183011","CLP8716X1082","2718301","56.71","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ENELAM","ENEL AMERICAS SA","Utilities","Equity","51,765,096.88","10.16","51,765,096.88","328,223,947.00","S22994537","CLP371861061","2299453","0.16","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"CHILE","BANCO DE CHILE","Financials","Equity","47,972,455.45","9.42","47,972,455.45","434,069,667.00","S21008453","CLP0939W1081","2100845","0.11","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"COPEC","EMPRESAS COPEC SA","Energy","Equity","44,268,965.59","8.69","44,268,965.59","3,700,820.00","S21960265","CLP7847L1080","2196026","11.96","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"CMPC","EMPRESAS CMPC SA","Materials","Equity","26,148,173.63","5.13","26,148,173.63","8,635,945.00","S21960158","CL0000001314","2196015","3.03","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"BCI","BANCO DE CREDITO E INVERSION","Financials","Equity","24,677,090.63","4.84","24,677,090.63","549,278.00","S20693552","CLP321331116","2069355","44.93","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"BSANTANDER","BANCO SANTANDER CHILE","Financials","Equity","24,096,977.19","4.73","24,096,977.19","428,038,099.00","S20002572","CLP1506A1070","2000257","0.06","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"FALABELLA","FALABELLA SACI SA","Consumer Discretionary","Equity","20,767,937.08","4.08","20,767,937.08","5,381,501.00","S27716729","CLP3880F1085","2771672","3.86","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ENELCHILE","ENEL CHILE SA","Utilities","Equity","20,105,765.89","3.95","20,105,765.89","257,953,230.00","-","CL0002266774","BYMLZD6","0.08","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"CENCOSUD","CENCOSUD SA","Consumer Staples","Equity","19,191,382.54","3.77","19,191,382.54","9,981,728.00","-","CL0000000100","B00R3L2","1.92","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"COLBUN","COLBUN MACHICURA SA","Utilities","Equity","17,033,131.80","3.34","17,033,131.80","89,551,836.00","S23092554","CLP3615W1037","2309255","0.19","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"CCU","COMPANIA CERVECERIAS UNIDAS SA","Consumer Staples","Equity","15,697,292.80","3.08","15,697,292.80","1,746,194.00","S21961891","CLP249051044","2196189","8.99","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ENTEL","EMPRESA NACIONAL DE TELECOMUNICACI","Communication","Equity","11,848,825.04","2.33","11,848,825.04","1,812,958.00","S22976286","CLP371151059","2297628","6.54","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"CAP","CAP SA","Materials","Equity","11,835,677.47","2.32","11,835,677.47","891,418.00","S21743125","CLP256251073","2174312","13.28","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ANDINA.B","EMBOTELLADORA ANDINA SERIES B SA","Consumer Staples","Equity","11,568,464.19","2.27","11,568,464.19","4,432,187.00","S23114549","CLP3697S1034","2311454","2.61","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"PARAUCO","PARQUE ARAUCO SA","Real Estate","Equity","11,382,532.70","2.23","11,382,532.70","7,231,209.00","S26843490","CLP763281068","2684349","1.57","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"AGUAS.A","AGUAS ANDINAS SA","Utilities","Equity","10,940,741.90","2.15","10,940,741.90","36,467,122.00","S23112386","CL0000000035","2311238","0.30","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"AESGENER","AES GENER SA","Utilities","Equity","9,144,100.22","1.79","9,144,100.22","52,197,542.00","-","CL0001880955","B83J214","0.18","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ECL","ENGIE ENERGIA CHILE SA","Utilities","Equity","8,746,262.74","1.72","8,746,262.74","7,169,484.00","-","CL0001583070","BWXTK30","1.22","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ITAUCORP","ITAU CORPBANCA","Financials","Equity","8,253,647.29","1.62","8,253,647.29","2,267,118,861.00","-","CL0002262351","BYT25P4","0.00","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"CONCHATORO","VINA CONCHA Y TORO INC","Consumer Staples","Equity","8,123,120.91","1.59","8,123,120.91","4,977,279.00","S29322203","CLP9796J1008","2932220","1.63","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"SMU","SMU SA","Consumer Staples","Equity","6,023,236.74","1.18","6,023,236.74","39,702,400.00","-","CL0002132620","BSPC6B9","0.15","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"IAM","INVERSIONES AGUAS METROPOLITANAS S","Utilities","Equity","5,788,717.44","1.14","5,788,717.44","7,434,865.00","-","CL0000001256","B0LD0L8","0.78","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
"ILC","INVERSIONES LA CONSTRUCCION SA","Financials","Equity","5,427,592.78","1.07","5,427,592.78","723,906.00","-","CL0001892547","B6ZJ069","7.50","Chile","Santiago Stock Exchange","USD","722.96","CLP","-"
