Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"VNET","21VIANET GROUP ADR REPRESENTING SI","Information Technology","Equity","1,684,338.26","3.14","1,684,338.26","48,554.00","90138A103","US90138A1034","B3Q0VS9","34.69","China","NASDAQ","USD","1.00","USD","-"
"DQ","DAQO NEW ENERGY ADR REPRESENTING","Information Technology","Equity","1,427,231.52","2.66","1,427,231.52","24,882.00","23703Q203","US23703Q2030","B953PM3","57.36","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"354","CHINASOFT INTERNATIONAL LTD","Information Technology","Equity","1,227,132.33","2.29","1,227,132.33","1,100,000.00","-","KYG2110A1114","BC9S4J5","1.12","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3800","GCL-POLY ENERGY HOLDINGS LTD","Information Technology","Equity","1,197,028.57","2.23","1,197,028.57","7,546,000.00","-","KYG3774X1088","B28XTR4","0.16","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2013","WEIMOB INC","Information Technology","Equity","1,147,006.97","2.14","1,147,006.97","638,000.00","-","KYG9T20A1060","BGHWHF4","1.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JKS","JINKOSOLAR HOLDING ADR REP LTD","Information Technology","Equity","1,124,301.64","2.09","1,124,301.64","18,172.00","47759T100","US47759T1007","B64H9N4","61.87","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"1302","LIFETECH SCIENTIFIC CORP","Health Care","Equity","1,010,078.86","1.88","1,010,078.86","1,760,000.00","-","KYG548721177","BV9FKS0","0.57","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"819","TIANNENG POWER INTERNATIONAL LTD","Consumer Discretionary","Equity","848,920.21","1.58","848,920.21","352,000.00","-","KYG8655K1094","B1XDJC7","2.41","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1995","EVER SUNSHINE LIFESTYLE SERVICES G","Industrials","Equity","772,653.58","1.44","772,653.58","352,000.00","-","KYG3313W1087","BGWKSK5","2.20","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1773","TIANLI EDUCATION INTERNATIONAL HOL","Consumer Discretionary","Equity","625,113.98","1.16","625,113.98","594,000.00","-","KYG888461038","BG5KMH7","1.05","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9922","JIUMAOJIU INTERNATIONAL HOLDINGS L","Consumer Discretionary","Equity","563,075.12","1.05","563,075.12","185,000.00","-","KYG5141L1059","BLBFH65","3.04","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"336","HUABAO INTERNATIONAL HOLDINGS LTD","Materials","Equity","545,442.59","1.02","545,442.59","396,000.00","-","BMG4639H1227","B00HLY1","1.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1208","MMG LTD","Materials","Equity","535,455.29","1.00","535,455.29","1,232,000.00","S67287938","HK1208013172","6728793","0.43","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1316","NEXTEER AUTOMOTIVE GROUP LTD","Consumer Discretionary","Equity","472,694.21","0.88","472,694.21","440,000.00","-","KYG6501M1050","BBPD5F0","1.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"81","CHINA OVERSEAS GRAND OCEANS GROUP","Real Estate","Equity","472,126.75","0.88","472,126.75","880,000.00","S68032473","HK0000065737","6803247","0.54","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
