Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","34,974,682.66","20.92","34,974,682.66","520,508.00","-","DK0060534915","BHC8X90","67.19","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"DSV","DSV PANALPINA","Industrials","Equity","13,582,377.51","8.12","13,582,377.51","70,611.00","-","DK0060079531","B1WT5G2","192.35","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","12,841,959.88","7.68","12,841,959.88","68,196.00","S59646513","DK0010268606","5964651","188.31","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"ORSTED","ORSTED","Utilities","Equity","10,232,516.08","6.12","10,232,516.08","63,641.00","-","DK0060094928","BYT16L4","160.78","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"COLO B","COLOPLAST B","Health Care","Equity","7,029,401.99","4.20","7,029,401.99","46,446.00","-","DK0060448595","B8FMRX8","151.35","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"CARL B","CARLSBERG AS CL B","Consumer Staples","Equity","6,412,295.77","3.84","6,412,295.77","41,473.00","S41692195","DK0010181759","4169219","154.61","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"GMAB","GENMAB","Health Care","Equity","6,054,428.92","3.62","6,054,428.92","18,662.00","S45957396","DK0010272202","4595739","324.43","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"MAERSK B","A P MOLLER MAERSK B","Industrials","Equity","5,767,232.23","3.45","5,767,232.23","2,508.00","S42530485","DK0010244508","4253048","2,299.53","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"NZYM B","NOVOZYMES B","Materials","Equity","5,455,697.78","3.26","5,455,697.78","85,102.00","-","DK0060336014","B798FW0","64.11","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"DANSKE","DANSKE BANK","Financials","Equity","5,396,226.98","3.23","5,396,226.98","283,339.00","S45888252","DK0010274414","4588825","19.05","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"PNDORA","PANDORA","Consumer Discretionary","Equity","4,588,877.27","2.74","4,588,877.27","43,406.00","-","DK0060252690","B44XTX8","105.72","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"GN","GN STORE NORD","Health Care","Equity","4,324,237.11","2.59","4,324,237.11","53,699.00","S45010931","DK0010272632","4501093","80.53","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"CHR","CHR HANSEN HOLDING","Materials","Equity","3,786,314.32","2.26","3,786,314.32","43,505.00","-","DK0060227585","B573M11","87.03","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"AMBU B","AMBU CLASS B","Health Care","Equity","3,130,422.69","1.87","3,130,422.69","72,733.00","-","DK0060946788","BD9G333","43.04","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"MAERSK A","A P MOLLER MAERSK","Industrials","Equity","3,005,021.06","1.80","3,005,021.06","1,400.00","S42530592","DK0010244425","4253059","2,146.44","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"RBREW","ROYAL UNIBREW","Consumer Staples","Equity","2,341,023.44","1.40","2,341,023.44","22,137.00","-","DK0060634707","BX8ZX20","105.75","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"SIM","SIMCORP","Information Technology","Equity","2,259,529.78","1.35","2,259,529.78","18,366.00","-","DK0060495240","BBCR9N1","123.03","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
"DEMANT","DEMANT","Health Care","Equity","2,258,411.63","1.35","2,258,411.63","53,198.00","-","DK0060738599","BZ01RF1","42.45","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.30","DKK","-"
