Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,935,447,172.42","6.44","1,935,447,172.42","92,189,000.00","S68891068","TW0002330008","6889106","20.99","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,695,570,542.68","5.64","1,695,570,542.68","21,534,300.00","-","KYG875721634","BMMV2K8","78.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,644,401,665.48","5.47","1,644,401,665.48","7,092,218.00","01609W102","US01609W1027","BP41ZD1","231.86","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,288,099,358.23","4.28","1,288,099,358.23","17,862,118.00","S67717207","KR7005930003","6771720","72.11","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","582,670,859.55","1.94","582,670,859.55","582,670,860.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","487,072,614.05","1.62","487,072,614.05","13,501,500.00","-","KYG596691041","BGJW376","36.08","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","385,951,414.20","1.28","385,951,414.20","1,629,810.00","S66226911","ZAE000015889","6622691","236.81","South Africa","Johannesburg Stock Exchange","USD","14.98","ZAR","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","309,060,874.97","1.03","309,060,874.97","359,611,760.00","-","CNE1000002H1","B0LMTQ3","0.86","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","282,008,706.52","0.94","282,008,706.52","10,252,179.00","S60996261","INE002A01018","6099626","27.51","India","National Stock Exchange Of India","USD","72.51","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","268,571,063.74","0.89","268,571,063.74","22,278,500.00","-","CNE1000003X6","B01FLR7","12.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","264,872,721.12","0.88","264,872,721.12","3,239,637.00","47215P106","US47215P1066","BMM27D9","81.76","China","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","238,571,962.35","0.79","238,571,962.35","2,045,122.00","S64502677","KR7000660001","6450267","116.65","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","234,165,159.70","0.78","234,165,159.70","13,869,709.00","S21962865","BRVALEACNOR0","2196286","16.88","Brazil","XBSP","USD","5.80","BRL","-"
"INFY","INFOSYS LTD","Information Technology","Equity","225,923,372.03","0.75","225,923,372.03","12,260,553.00","S62051222","INE009A01021","6205122","18.43","India","National Stock Exchange Of India","USD","72.51","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","214,831,792.24","0.71","214,831,792.24","6,150,729.00","S61719001","INE001A01036","6171900","34.93","India","National Stock Exchange Of India","USD","72.51","INR","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","209,718,598.06","0.70","209,718,598.06","46,564,873.00","S64385644","TW0002317005","6438564","4.50","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","Sep 26, 1991"
"BIDU","BAIDU ADS REPTG INC CLASS A","Communication","Equity","206,733,489.80","0.69","206,733,489.80","1,009,934.00","056752108","US0567521085","B0FXT17","204.70","China","NASDAQ","USD","1.00","USD","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","201,772,620.30","0.67","201,772,620.30","3,081,185.00","S67738120","KR7005931001","6773812","65.49","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","Jun 07, 1993"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","193,254,003.81","0.64","193,254,003.81","1,469,277.00","722304102","US7223041028","BYVW0F7","131.53","China","NASDAQ","USD","1.00","USD","-"
"2454","MEDIATEK INC","Information Technology","Equity","185,991,520.18","0.62","185,991,520.18","5,639,338.00","S63724801","TW0002454006","6372480","32.98","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","Jul 23, 2001"
"1810","XIAOMI CORP","Information Technology","Equity","173,064,347.84","0.58","173,064,347.84","53,699,000.00","-","KYG9830T1067","BG0ZMJ9","3.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","170,713,224.19","0.57","170,713,224.19","4,807,469.00","62914V106","US62914V1061","BFZX9H8","35.51","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","162,777,903.81","0.54","162,777,903.81","226,334,085.00","-","CNE1000003G1","B1G1QD8","0.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"NTES","NETEASE ADR INC","Communication","Equity","160,585,767.16","0.53","160,585,767.16","1,557,724.00","64110W102","US64110W1027","2606440","103.09","China","NASDAQ","USD","1.00","USD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","149,818,673.93","0.50","149,818,673.93","12,098,500.00","-","KYG970081173","BL6B9P1","12.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"SBER","SBERBANK ROSSII","Financials","Equity","149,576,477.31","0.50","149,576,477.31","38,730,991.00","-","RU0009029540","4767981","3.86","Russian Federation","Standard-Classica-Forts","USD","75.87","RUB","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","146,855,658.96","0.49","146,855,658.96","18,406,455.00","-","INE090A01021","BSZ2BY7","7.98","India","National Stock Exchange Of India","USD","72.51","INR","-"
"035420","NAVER CORP","Communication","Equity","145,237,636.87","0.48","145,237,636.87","441,784.00","S65603938","KR7035420009","6560393","328.75","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","142,693,687.67","0.47","142,693,687.67","3,373,958.00","-","INE467B01029","B01NPJ1","42.29","India","National Stock Exchange Of India","USD","72.51","INR","-"
"GAZP","GAZPROM","Energy","Equity","129,203,273.37","0.43","129,203,273.37","42,852,419.00","-","RU0007661625","B59L4L7","3.02","Russian Federation","Standard-Classica-Forts","USD","75.87","RUB","Jan 01, 1970"
"LKOH","NK LUKOIL","Energy","Equity","128,742,337.62","0.43","128,742,337.62","1,557,694.00","-","RU0009024277","B59SNS8","82.65","Russian Federation","Standard-Classica-Forts","USD","75.87","RUB","Jan 01, 1970"
"051910","LG CHEM LTD","Materials","Equity","121,326,125.23","0.40","121,326,125.23","171,823.00","S63469134","KR7051910008","6346913","706.11","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","118,743,711.72","0.39","118,743,711.72","206,397.00","S67716456","KR7006400006","6771645","575.32","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"1120","AL RAJHI BANK","Financials","Equity","115,395,161.18","0.38","115,395,161.18","4,560,480.00","-","SA0007879113","B12LZH9","25.30","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","113,241,530.96","0.38","113,241,530.96","14,512,467.00","-","CNE1000002M1","B1DYPZ5","7.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"3988","BANK OF CHINA LTD H","Financials","Equity","111,622,616.63","0.37","111,622,616.63","294,101,000.00","-","CNE1000001Z5","B154564","0.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","106,646,742.08","0.35","106,646,742.08","559,982.00","S64510555","KR7005380001","6451055","190.45","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"068270","CELLTRION INC","Health Care","Equity","105,505,016.57","0.35","105,505,016.57","361,223.00","-","KR7068270008","B0C5YV1","292.08","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","100,647,933.88","0.33","100,647,933.88","3,394,605.00","-","SA0007879121","B1324D0","29.65","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","94,978,992.17","0.32","94,978,992.17","2,971,346.00","S62616743","INE030A01027","6261674","31.96","India","National Stock Exchange Of India","USD","72.51","INR","-"
"035720","KAKAO CORP","Communication","Equity","92,932,824.44","0.31","92,932,824.44","215,709.00","S61940375","KR7035720002","6194037","430.82","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","89,773,876.30","0.30","89,773,876.30","290,387.00","-","CNE0000018R8","BP3R2F1","309.15","China","Shanghai Stock Exchange","USD","6.56","CNY","-"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","88,060,668.30","0.29","88,060,668.30","1,507,630.00","98850P109","US98850P1093","BYW4289","58.41","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMXL","AMERICA MOVIL L","Communication","Equity","87,592,261.31","0.29","87,592,261.31","127,245,100.00","S26674705","MXP001691213","2667470","0.69","Mexico","Bolsa Mexicana De Valores","USD","20.73","MXN","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","87,311,590.57","0.29","87,311,590.57","18,057,879.00","-","BRITUBACNPR1","B037HR3","4.84","Brazil","XBSP","USD","5.80","BRL","-"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","80,943,273.10","0.27","80,943,273.10","36,768,100.00","-","ID1000109507","B01C1P6","2.20","Indonesia","Indonesia Stock Exchange","USD","14,445.00","IDR","-"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","79,868,247.69","0.27","79,868,247.69","16,532,137.00","S61481974","QA0006929895","6148197","4.83","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"005490","POSCO","Materials","Equity","79,364,002.47","0.26","79,364,002.47","274,631.00","S66932336","KR7005490008","6693233","288.98","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","78,482,922.73","0.26","78,482,922.73","8,151,090.00","-","INE238A01034","BPFJHC7","9.63","India","National Stock Exchange Of India","USD","72.51","INR","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","76,145,139.58","0.25","76,145,139.58","44,023,000.00","S69166288","TW0002303005","6916628","1.73","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","75,864,306.00","0.25","75,864,306.00","5,501,400.00","647581107","US6475811070","B1CN1G6","13.79","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2222","SAUDI ARABIAN OIL","Energy","Equity","75,351,993.61","0.25","75,351,993.61","8,040,047.00","-","SA14TG012N13","BJTM270","9.37","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","75,194,081.51","0.25","75,194,081.51","16,216,326.00","-","BRBBDCACNPR8","B00FM53","4.64","Brazil","XBSP","USD","5.80","BRL","-"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","74,409,628.74","0.25","74,409,628.74","18,121,227.00","S26845321","BRPETRACNPR6","2684532","4.11","Brazil","XBSP","USD","5.80","BRL","-"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","74,196,162.56","0.25","74,196,162.56","1,424,384.00","874080104","US8740801043","B4MGD82","52.09","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"1180","NATIONAL COMMERCIAL BANK","Financials","Equity","73,441,281.59","0.24","73,441,281.59","5,486,883.00","-","SA13L050IE10","BSHYYN1","13.38","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","73,424,530.78","0.24","73,424,530.78","7,274,000.00","S62607346","TW0002308004","6260734","10.09","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"GMKN","GMK NORILSKIY NIKEL","Materials","Equity","72,391,730.61","0.24","72,391,730.61","238,504.00","-","RU0007288411","B5B1TX2","303.52","Russian Federation","Standard-Classica-Forts","USD","75.87","RUB","Jan 01, 1970"
"7010","SAUDI TELECOM","Communication","Equity","72,219,394.75","0.24","72,219,394.75","2,257,157.00","-","SA0007879543","B12M7Q5","32.00","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"YNDX","YANDEX NV CLASS A","Communication","Equity","71,708,119.09","0.24","71,708,119.09","1,135,784.00","-","NL0009805522","BMSK1G8","63.14","Russian Federation","Standard-Classica-Forts","USD","75.87","RUB","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","71,178,821.66","0.24","71,178,821.66","7,706,701.00","-","BRB3SAACNOR6","BG36ZK1","9.24","Brazil","XBSP","USD","5.80","BRL","-"
"000270","KIA MOTORS CORP","Consumer Discretionary","Equity","70,602,035.26","0.23","70,602,035.26","986,293.00","S64909286","KR7000270009","6490928","71.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","69,964,411.51","0.23","69,964,411.51","978,841.00","-","INE296A01024","BD2N0P2","71.48","India","National Stock Exchange Of India","USD","72.51","INR","-"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","69,509,502.10","0.23","69,509,502.10","1,464,683.00","-","KR7105560007","B3DF0Y6","47.46","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.55","KRW","-"
"TCOM","TRIP COM GROUP ADR LTD","Consumer Discretionary","Equity","67,972,693.96","0.23","67,972,693.96","1,780,322.00","89677Q107","US89677Q1076","BK1K3N2","38.18","China","NASDAQ","USD","1.00","USD","-"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","67,830,438.71","0.23","67,830,438.71","207,587,010.00","S67090993","ID1000118201","6709099","0.33","Indonesia","Indonesia Stock Exchange","USD","14,445.00","IDR","-"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","67,471,902.65","0.22","67,471,902.65","25,721,004.00","S68895267","KW0EQ0100010","6889526","2.62","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
