Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","61,061,591.16","6.42","61,061,591.16","3,038,000.00","S68891068","TW0002330008","6889106","20.10","Taiwan","Taiwan Stock Exchange","USD","28.61","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","55,069,990.15","5.79","55,069,990.15","706,000.00","-","KYG875721634","BMMV2K8","78.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","51,024,706.56","5.36","51,024,706.56","229,098.00","01609W102","US01609W1027","BP41ZD1","222.72","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","37,750,189.55","3.97","37,750,189.55","526,829.00","S67717207","KR7005930003","6771720","71.66","Korea (South)","Korea Exchange (Stock Market)","USD","1,133.20","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","19,362,353.99","2.03","19,362,353.99","523,400.00","-","KYG596691041","BGJW376","36.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","12,152,191.74","1.28","12,152,191.74","14,821,000.00","-","CNE1000002H1","B0LMTQ3","0.82","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","12,023,658.66","1.26","12,023,658.66","438,480.00","S60996261","INE002A01018","6099626","27.42","India","National Stock Exchange Of India","USD","72.62","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","10,837,815.92","1.14","10,837,815.92","901,000.00","-","CNE1000003X6","B01FLR7","12.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","10,506,840.48","1.10","10,506,840.48","133,488.00","47215P106","US47215P1066","BMM27D9","78.71","China","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","10,115,135.90","1.06","10,115,135.90","86,184.00","S64502677","KR7000660001","6450267","117.37","Korea (South)","Korea Exchange (Stock Market)","USD","1,133.20","KRW","-"
