Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TCSG","TCS GROUP HOLDING REPR CLASS A RE","Financials","Equity","1,021,911.28","0.42","1,021,911.28","32,016.00","87238U203","US87238U2033","BK1K310","31.92","Russian Federation","Standard-Classica-Forts","USD","73.86","RUB","-"
"5483","SINO-AMERICAN SILICON PRODUCTS INC","Information Technology","Equity","888,469.75","0.37","888,469.75","146,000.00","S63352785","TW0005483002","6335278","6.09","Taiwan","Gretai Securities Market","USD","28.10","TWD","-"
"VNET","21VIANET GROUP ADR REPRESENTING SI","Information Technology","Equity","828,739.68","0.34","828,739.68","24,932.00","90138A103","US90138A1034","B3Q0VS9","33.24","China","NASDAQ","USD","1.00","USD","-"
"4966","PARADE TECHNOLOGIES LTD","Information Technology","Equity","818,327.40","0.34","818,327.40","21,000.00","-","KYG6892A1085","B6RV676","38.97","Taiwan","Gretai Securities Market","USD","28.10","TWD","-"
"011200","HMM LTD","Industrials","Equity","815,381.80","0.34","815,381.80","64,768.00","S64058696","KR7011200003","6405869","12.59","Korea (South)","Korea Exchange (Stock Market)","USD","1,092.20","KRW","-"
"DQ","DAQO NEW ENERGY ADR REPRESENTING","Information Technology","Equity","728,840.56","0.30","728,840.56","13,064.00","23703Q203","US23703Q2030","B953PM3","55.79","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CROMPTON","CROMPTON GREAVES CONSUMER ELECTRIC","Consumer Discretionary","Equity","695,217.21","0.29","695,217.21","138,276.00","-","INE299U01018","BD87BS8","5.03","India","National Stock Exchange Of India","USD","73.42","INR","-"
"6409","VOLTRONIC POWER TECHNOLOGY CORP","Industrials","Equity","670,131.67","0.28","670,131.67","17,934.00","-","TW0006409006","B96HCH8","37.37","Taiwan","Taiwan Stock Exchange","USD","28.10","TWD","-"
"3800","GCL-POLY ENERGY HOLDINGS LTD","Information Technology","Equity","662,765.91","0.27","662,765.91","3,864,000.00","-","KYG3774X1088","B28XTR4","0.17","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2337","MACRONIX INTERNATIONAL LTD","Information Technology","Equity","653,813.17","0.27","653,813.17","439,000.00","S65741019","TW0002337003","6574101","1.49","Taiwan","Taiwan Stock Exchange","USD","28.10","TWD","-"
