Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","68,404,128.55","1.68","68,404,128.55","3,325,000.00","S68891068","TW0002330008","6889106","20.57","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","Nov 10, 1994"
"7010","SAUDI TELECOM","Communication","Equity","68,046,098.87","1.67","68,046,098.87","2,012,619.00","-","SA0007879543","B12M7Q5","33.81","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","60,866,158.58","1.50","60,866,158.58","3,252,917.00","S62051222","INE009A01021","6205122","18.71","India","National Stock Exchange Of India","USD","73.11","INR","-"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","58,690,586.34","1.44","58,690,586.34","15,019,000.00","S62878418","TW0002412004","6287841","3.91","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"3045","TAIWAN MOBILE LTD","Communication","Equity","57,038,117.27","1.40","57,038,117.27","16,573,000.00","S62904966","TW0003045001","6290496","3.44","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"5880","TAIWAN COOPERATIVE FINANCIAL HOLDI","Financials","Equity","56,046,127.95","1.38","56,046,127.95","75,610,599.00","-","TW0005880009","B73XCZ3","0.74","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"2892","FIRST FINANCIAL HOLDING LTD","Financials","Equity","53,506,956.16","1.32","53,506,956.16","68,770,900.00","S65801193","TW0002892007","6580119","0.78","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","51,365,908.23","1.26","51,365,908.23","226,551.00","01609W102","US01609W1027","BP41ZD1","226.73","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"600900","CHINA YANGTZE POWER LTD A","Utilities","Equity","45,377,188.77","1.12","45,377,188.77","13,886,605.00","-","CNE000001G87","BP3R2M8","3.27","China","Shanghai Stock Exchange","USD","6.56","CNY","-"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","45,188,243.06","1.11","45,188,243.06","763,186.00","98850P109","US98850P1093","BYW4289","59.21","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETISALAT","EMIRATES TELECOM","Communication","Equity","44,434,537.88","1.09","44,434,537.88","7,542,270.00","S63221733","AEE000401019","6322173","5.89","United Arab Emirates","Abu Dhabi Securities Exchange","USD","3.67","AED","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","43,051,378.35","1.06","43,051,378.35","990,496.00","-","INE467B01029","B01NPJ1","43.46","India","National Stock Exchange Of India","USD","73.11","INR","-"
"1120","AL RAJHI BANK","Financials","Equity","40,621,937.18","1.00","40,621,937.18","1,541,989.00","-","SA0007879113","B12LZH9","26.34","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"270","GUANGDONG INVESTMENT LTD","Utilities","Equity","39,713,687.78","0.98","39,713,687.78","24,388,000.00","S69131688","HK0270001396","6913168","1.63","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","39,262,239.01","0.97","39,262,239.01","545,885.00","S67717207","KR7005930003","6771720","71.92","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.75","KRW","-"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","39,217,933.10","0.96","39,217,933.10","1,892,600.00","-","KYG8087W1015","B0MP1B0","20.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","38,944,114.12","0.96","38,944,114.12","2,897,624.00","S62948963","INE860A01027","6294896","13.44","India","National Stock Exchange Of India","USD","73.11","INR","-"
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Industrials","Equity","38,897,894.40","0.96","38,897,894.40","17,616,800.00","S67412064","TH0765010R16","6741206","2.21","Thailand","Stock Exchange Of Thailand","USD","31.25","THB","-"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","38,897,684.08","0.96","38,897,684.08","54,195,000.00","-","CNE1000003G1","B1G1QD8","0.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"MAYBANK","MALAYAN BANKING","Financials","Equity","38,698,100.81","0.95","38,698,100.81","19,449,900.00","S65563256","MYL1155OO000","6556325","1.99","Malaysia","Bursa Malaysia","USD","4.15","MYR","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","38,070,188.19","0.94","38,070,188.19","451,443.00","47215P106","US47215P1066","BMM27D9","84.33","China","NASDAQ","USD","1.00","USD","-"
"3690","MEITUAN","Consumer Discretionary","Equity","37,995,860.80","0.93","37,995,860.80","990,600.00","-","KYG596691041","BGJW376","38.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"4904","FAR EASTONE TELECOMMUNICATIONS LTD","Communication","Equity","37,734,822.84","0.93","37,734,822.84","16,797,000.00","S64218548","TW0004904008","6421854","2.25","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"2880","HUA NAN FINANCIAL HOLDINGS LTD","Financials","Equity","37,278,798.23","0.92","37,278,798.23","57,033,563.00","S64118771","TW0002880002","6411877","0.65","Taiwan","Taiwan Stock Exchange","USD","28.53","TWD","-"
"017670","SK TELECOM LTD","Communication","Equity","36,582,836.32","0.90","36,582,836.32","150,555.00","S62248711","KR7017670001","6224871","242.99","Korea (South)","Korea Exchange (Stock Market)","USD","1,131.75","KRW","-"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","35,526,137.60","0.87","35,526,137.60","6,398,800.00","S64126097","TH0268010R11","6412609","5.55","Thailand","Stock Exchange Of Thailand","USD","31.25","THB","-"
