Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","1,078,412,734.58","1.98","1,078,412,734.58","9,534,368.00","S71238703","CH0038863350","7123870","113.11","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","821,091,216.83","1.51","821,091,216.83","1,408,675.00","-","NL0010273215","B929F46","582.88","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","816,499,363.92","1.50","816,499,363.92","2,325,058.00","S71103881","CH0012032048","7110388","351.17","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","674,800,737.19","1.24","674,800,737.19","7,348,032.00","S71030654","CH0012005267","7103065","91.83","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","592,420,002.54","1.09","592,420,002.54","918,743.00","S40614125","FR0000121014","4061412","644.81","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","544,903,225.78","1.00","544,903,225.78","7,019,064.00","S69006435","JP3633400001","6900643","77.63","Japan","Tokyo Stock Exchange","USD","104.73","JPY","-"
"1299","AIA GROUP LTD","Financials","Equity","534,183,299.15","0.98","534,183,299.15","40,014,200.00","-","HK0000069689","B4TX8S1","13.35","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","493,365,547.86","0.90","493,365,547.86","5,187,000.00","S67706200","JP3436100006","6770620","95.12","Japan","Tokyo Stock Exchange","USD","104.73","JPY","-"
"6758","SONY CORP","Consumer Discretionary","Equity","477,802,501.79","0.88","477,802,501.79","4,173,300.00","S68215060","JP3435000009","6821506","114.49","Japan","Tokyo Stock Exchange","USD","104.73","JPY","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","469,338,676.63","0.86","469,338,676.63","8,701,212.00","-","GB00B10RZP78","B10RZP7","53.94","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"SAP","SAP","Information Technology","Equity","459,082,483.73","0.84","459,082,483.73","3,455,765.00","S48462881","DE0007164600","4846288","132.84","Germany","Xetra","USD","0.82","EUR","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","434,891,783.00","0.80","434,891,783.00","4,342,850.00","S09895293","GB0009895292","0989529","100.14","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","417,936,360.96","0.77","417,936,360.96","5,698,566.00","-","DK0060534915","BHC8X90","73.34","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.13","DKK","-"
"SIE","SIEMENS N AG","Industrials","Equity","406,290,436.18","0.75","406,290,436.18","2,531,687.00","S57279739","DE0007236101","5727973","160.48","Germany","Xetra","USD","0.82","EUR","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","395,817,589.18","0.73","395,817,589.18","5,858,422.00","S62150354","AU000000CBA7","6215035","67.56","Australia","Asx - All Markets","USD","1.29","AUD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","370,132,840.27","0.68","370,132,840.27","67,402,555.00","S05405287","GB0005405286","0540528","5.49","United Kingdom","London Stock Exchange","USD","0.72","GBP","Jan 01, 1998"
"SAN","SANOFI SA","Health Care","Equity","353,967,142.48","0.65","353,967,142.48","3,749,688.00","S56717358","FR0000120578","5671735","94.40","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"FP","TOTAL","Energy","Equity","350,542,007.22","0.64","350,542,007.22","8,341,224.00","-","FR0000120271","B15C557","42.03","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"BHP","BHP GROUP LTD","Materials","Equity","344,132,436.31","0.63","344,132,436.31","9,748,987.00","S61446902","AU000000BHP4","6144690","35.30","Australia","Asx - All Markets","USD","1.29","AUD","Jan 02, 1985"
"ALV","ALLIANZ","Financials","Equity","329,191,093.61","0.60","329,191,093.61","1,380,590.00","S52314853","DE0008404005","5231485","238.44","Germany","Xetra","USD","0.82","EUR","-"
"6861","KEYENCE CORP","Information Technology","Equity","329,097,887.61","0.60","329,097,887.61","603,692.00","S64909955","JP3236200006","6490995","545.14","Japan","Tokyo Stock Exchange","USD","104.73","JPY","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","323,603,391.96","0.59","323,603,391.96","7,735,575.00","S02374007","GB0002374006","0237400","41.83","United Kingdom","London Stock Exchange","USD","0.72","GBP","Jan 01, 1998"
"CSL","CSL LTD","Health Care","Equity","322,948,342.99","0.59","322,948,342.99","1,503,759.00","S61854956","AU000000CSL8","6185495","214.76","Australia","Asx - All Markets","USD","1.29","AUD","-"
"OR","LOREAL SA","Consumer Staples","Equity","312,233,928.37","0.57","312,233,928.37","832,893.00","S40578080","FR0000120321","4057808","374.88","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"RIO","RIO TINTO PLC","Materials","Equity","303,386,048.55","0.56","303,386,048.55","3,713,241.00","S07188758","GB0007188757","0718875","81.70","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"GSK","GLAXOSMITHKLINE PLC","Health Care","Equity","288,034,008.40","0.53","288,034,008.40","16,604,385.00","S09252883","GB0009252882","0925288","17.35","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"BATS","BRITISH AMERICAN TOBACCO PLC","Consumer Staples","Equity","282,625,069.09","0.52","282,625,069.09","7,592,515.00","S02875805","GB0002875804","0287580","37.22","United Kingdom","London Stock Exchange","USD","0.72","GBP","-"
"ENEL","ENEL","Utilities","Equity","276,326,924.28","0.51","276,326,924.28","26,916,450.00","S71445696","IT0003128367","7144569","10.27","Italy","Borsa Italiana","USD","0.82","EUR","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","275,604,805.94","0.51","275,604,805.94","3,993,900.00","S62673595","HK0388045442","6267359","69.01","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","270,364,804.65","0.50","270,364,804.65","1,782,821.00","S48341085","FR0000121972","4834108","151.65","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
