Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","165,974,603.53","1.58","165,974,603.53","2,268,486.00","-","DK0060534915","BHC8X90","73.17","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.13","DKK","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","160,357,112.95","1.52","160,357,112.95","447,735.00","S71103881","CH0012032048","7110388","358.15","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","157,956,602.67","1.50","157,956,602.67","2,848,400.00","S61964086","JP3519400000","6196408","55.45","Japan","Tokyo Stock Exchange","USD","103.91","JPY","-"
"SCMN","SWISSCOM AG","Communication","Equity","151,704,529.24","1.44","151,704,529.24","284,290.00","S55339766","CH0008742519","5533976","533.63","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","149,746,776.16","1.42","149,746,776.16","1,555,689.00","S71030654","CH0012005267","7103065","96.26","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"GIVN","GIVAUDAN SA","Materials","Equity","147,244,286.12","1.40","147,244,286.12","36,809.00","S59806133","CH0010645932","5980613","4,000.23","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"NESN","NESTLE SA","Consumer Staples","Equity","143,114,129.55","1.36","143,114,129.55","1,263,914.00","S71238703","CH0038863350","7123870","113.23","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"COLO B","COLOPLAST B","Health Care","Equity","142,599,218.79","1.36","142,599,218.79","981,718.00","-","DK0060448595","B8FMRX8","145.25","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.13","DKK","-"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","128,410,514.42","1.22","128,410,514.42","122,778.00","S52539731","FR0000052292","5253973","1,045.88","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","114,611,010.64","1.09","114,611,010.64","1,921,337.00","-","GB00B10RZP78","B10RZP7","59.65","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
