Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","420,562,063.66","4.13","420,562,063.66","3,724,242.00","S71238703","CH0038863350","7123870","112.93","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","317,993,620.26","3.12","317,993,620.26","908,230.00","S71103881","CH0012032048","7110388","350.12","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","302,878,484.07","2.97","302,878,484.07","550,216.00","-","NL0010273215","B929F46","550.47","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"MC","LVMH","Consumer Discretionary","Equity","225,717,835.85","2.22","225,717,835.85","358,857.00","S40614125","FR0000121014","4061412","628.99","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","197,270,143.82","1.94","197,270,143.82","15,629,400.00","-","HK0000069689","B4TX8S1","12.62","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"6758","SONY CORP","Consumer Discretionary","Equity","180,131,853.54","1.77","180,131,853.54","1,630,000.00","S68215060","JP3435000009","6821506","110.51","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"SAP","SAP","Information Technology","Equity","178,306,167.83","1.75","178,306,167.83","1,349,793.00","S48462881","DE0007164600","4846288","132.10","Germany","Xetra","USD","0.83","EUR","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","171,026,715.95","1.68","171,026,715.95","1,696,195.00","S09895293","GB0009895292","0989529","100.83","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","159,430,042.66","1.57","159,430,042.66","2,225,979.00","-","DK0060534915","BHC8X90","71.62","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.21","DKK","-"
"6861","KEYENCE CORP","Information Technology","Equity","124,692,295.96","1.22","124,692,295.96","235,448.00","S64909955","JP3236200006","6490995","529.60","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"DGE","DIAGEO PLC","Consumer Staples","Equity","123,455,341.98","1.21","123,455,341.98","3,021,294.00","S02374007","GB0002374006","0237400","40.86","United Kingdom","London Stock Exchange","USD","0.73","GBP","Jan 01, 1998"
"CSL","CSL LTD","Health Care","Equity","122,894,890.61","1.21","122,894,890.61","587,361.00","S61854956","AU000000CSL8","6185495","209.23","Australia","Asx - All Markets","USD","1.32","AUD","-"
"OR","LOREAL SA","Consumer Staples","Equity","116,173,894.91","1.14","116,173,894.91","325,345.00","S40578080","FR0000120321","4057808","357.08","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","99,976,609.85","0.98","99,976,609.85","612,126.00","-","FR0000120073","B1YXBJ7","163.33","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","99,207,494.36","0.97","99,207,494.36","1,505,100.00","S62673595","HK0388045442","6267359","65.91","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"7974","NINTENDO LTD","Communication","Equity","84,641,832.67","0.83","84,641,832.67","144,900.00","S66395500","JP3756600007","6639550","584.14","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","81,189,695.64","0.80","81,189,695.64","246,830.00","S40319766","DE000A1EWWW0","4031976","328.93","Germany","Xetra","USD","0.83","EUR","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","78,273,847.47","0.77","78,273,847.47","1,753,800.00","-","JP3970300004","BQRRZ00","44.63","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","78,154,885.22","0.77","78,154,885.22","457,600.00","S68045855","JP3371200001","6804585","170.79","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
"PRX","PROSUS NV","Consumer Discretionary","Equity","76,158,959.70","0.75","76,158,959.70","630,126.00","-","NL0013654783","BJDS7L3","120.86","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"6594","NIDEC CORP","Industrials","Equity","75,361,506.36","0.74","75,361,506.36","578,000.00","S66406828","JP3734800000","6640682","130.38","Japan","Tokyo Stock Exchange","USD","105.42","JPY","-"
