Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESTE","NESTE","Energy","Equity","4,039,204.10","13.37","4,039,204.10","52,982.00","-","FI0009013296","B06YV46","76.24","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"KNEBV","KONE","Industrials","Equity","3,348,700.45","11.09","3,348,700.45","42,757.00","-","FI0009013403","B09M9D2","78.32","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"NOKIA","NOKIA","Information Technology","Equity","2,930,408.45","9.70","2,930,408.45","706,707.00","S59029413","FI0009000681","5902941","4.15","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","Jan 01, 1998"
"SAMPO","SAMPO","Financials","Equity","2,482,491.89","8.22","2,482,491.89","57,365.00","S52260387","FI0009003305","5226038","43.28","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"FORTUM","FORTUM","Utilities","Equity","1,488,097.19","4.93","1,488,097.19","57,987.00","S55795504","FI0009007132","5579550","25.66","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"STERV","STORA ENSO CLASS R","Materials","Equity","1,467,041.92","4.86","1,467,041.92","74,903.00","S50726736","FI0009005961","5072673","19.59","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"UPM","UPM-KYMMENE","Materials","Equity","1,429,532.52","4.73","1,429,532.52","38,243.00","S50512524","FI0009005987","5051252","37.38","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"ELISA","ELISA","Communication","Equity","1,076,386.33","3.56","1,076,386.33","18,988.00","S57015133","FI0009007884","5701513","56.69","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"KESKOB","KESKO CLASS B","Consumer Staples","Equity","1,065,391.26","3.53","1,065,391.26","40,898.00","S44900058","FI0009000202","4490005","26.05","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"MOCORP","METSO OUTOTEC CORP","Industrials","Equity","1,021,577.65","3.38","1,021,577.65","96,781.00","-","FI0009014575","B1FN8X9","10.56","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"ORNBV","ORION CLASS B","Health Care","Equity","774,163.17","2.56","774,163.17","16,500.00","-","FI0009014377","B17NY40","46.92","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"WRT1V","WARTSILA","Industrials","Equity","770,053.47","2.55","770,053.47","70,620.00","S45251899","FI0009003727","4525189","10.90","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"HUH1V","HUHTAMAKI","Materials","Equity","767,294.19","2.54","767,294.19","14,985.00","S44474765","FI0009000459","4447476","51.20","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"TYRES","NOKIAN RENKAAT","Consumer Discretionary","Equity","762,177.08","2.52","762,177.08","20,787.00","-","FI0009005318","B07G378","36.67","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"VALMT","VALMET","Industrials","Equity","702,998.84","2.33","702,998.84","22,065.00","-","FI4000074984","BH6XZT5","31.86","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
