Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOVN","NOVARTIS AG","Health Care","Equity","188,448,237.65","2.60","188,448,237.65","1,992,536.00","S71030654","CH0012005267","7103065","94.58","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","146,322,319.98","2.02","146,322,319.98","1,903,316.00","S69006435","JP3633400001","6900643","76.88","Japan","Tokyo Stock Exchange","USD","103.13","JPY","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","142,923,663.73","1.97","142,923,663.73","2,359,327.00","-","GB00B10RZP78","B10RZP7","60.58","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","102,209,375.33","1.41","102,209,375.33","1,588,559.00","S62150354","AU000000CBA7","6215035","64.34","Australia","Asx - All Markets","USD","1.30","AUD","-"
"SIE","SIEMENS N AG","Industrials","Equity","99,089,918.62","1.37","99,089,918.62","686,488.00","S57279739","DE0007236101","5727973","144.34","Germany","Xetra","USD","0.81","EUR","-"
"SAN","SANOFI SA","Health Care","Equity","98,573,467.99","1.36","98,573,467.99","1,016,758.00","S56717358","FR0000120578","5671735","96.95","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"FP","TOTAL","Energy","Equity","95,996,756.23","1.32","95,996,756.23","2,261,796.00","-","FR0000120271","B15C557","42.44","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","94,395,857.43","1.30","94,395,857.43","18,276,193.00","S05405287","GB0005405286","0540528","5.16","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 01, 1998"
"ALV","ALLIANZ","Financials","Equity","91,248,926.26","1.26","91,248,926.26","374,360.00","S52314853","DE0008404005","5231485","243.75","Germany","Xetra","USD","0.81","EUR","-"
"BHP","BHP GROUP LTD","Materials","Equity","87,450,338.51","1.21","87,450,338.51","2,643,534.00","S61446902","AU000000BHP4","6144690","33.08","Australia","Asx - All Markets","USD","1.30","AUD","Jan 02, 1985"
