Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BBCA","BANK CENTRAL ASIA","Financials","Equity","69,149,030.22","17.31","69,149,030.22","27,415,958.00","-","ID1000109507","B01C1P6","2.52","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","48,897,915.76","12.24","48,897,915.76","148,863,460.00","S67090993","ID1000118201","6709099","0.33","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"TLKM","TELEKOMUNIKASI INDONESIA","Communication","Equity","30,585,794.38","7.66","30,585,794.38","126,155,190.00","-","ID1000129000","BD4T6W7","0.24","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ASII","ASTRA INTERNATIONAL","Consumer Discretionary","Equity","22,937,858.00","5.74","22,937,858.00","48,332,730.00","-","ID1000122807","B800MQ5","0.47","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Equity","17,380,003.98","4.35","17,380,003.98","35,046,560.00","S66510488","ID1000095003","6651048","0.50","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"UNVR","UNILEVER INDONESIA","Consumer Staples","Equity","13,107,749.84","3.28","13,107,749.84","24,338,020.00","S66871849","ID1000095706","6687184","0.54","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"CPIN","CHAROEN POKPHAND INDONESIA","Consumer Staples","Equity","11,258,173.70","2.82","11,258,173.70","24,645,325.00","S63153449","ID1000117708","6315344","0.46","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BBNI","BANK NEGARA INDONESIA","Financials","Equity","10,964,257.81","2.75","10,964,257.81","24,773,058.00","S67271213","ID1000096605","6727121","0.44","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"SMGR","SEMEN INDONESIA (PERSERO)","Materials","Equity","8,841,561.46","2.21","8,841,561.46","10,028,755.00","S67952366","ID1000106800","6795236","0.88","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"INKP","INDAH KIAT PULP & PAPER","Materials","Equity","8,675,828.12","2.17","8,675,828.12","9,551,900.00","S64624224","ID1000062201","6462422","0.91","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"KLBF","KALBE FARMA","Health Care","Equity","8,084,005.42","2.02","8,084,005.42","71,735,985.00","-","ID1000125107","B7311V6","0.11","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ANTM","ANEKA TAMBANG","Materials","Equity","7,080,229.81","1.77","7,080,229.81","36,746,654.00","S60538592","ID1000106602","6053859","0.19","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"INDF","INDOFOOD SUKSES MAKMUR","Consumer Staples","Equity","7,055,431.50","1.77","7,055,431.50","14,593,330.00","S62839790","ID1000057003","6283979","0.48","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BRPT","BARITO PACIFIC","Materials","Equity","6,531,176.68","1.64","6,531,176.68","91,861,000.00","S60707064","ID1000085707","6070706","0.07","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"INTP","INDOCEMENT TUNGGAL PRAKARSA","Materials","Equity","6,525,425.78","1.63","6,525,425.78","5,864,544.00","S64548613","ID1000061302","6454861","1.11","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ICBP","INDOFOOD CBP SUKSES MAKMUR","Consumer Staples","Equity","5,522,703.63","1.38","5,522,703.63","7,966,854.00","-","ID1000116700","B4LD3M8","0.69","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ADRO","ADARO ENERGY TBK","Energy","Equity","5,184,668.55","1.30","5,184,668.55","51,535,239.00","-","ID1000111305","B3BQFC4","0.10","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"TBIG","TOWER BERSAMA INFRASTRUCTURE","Communication","Equity","5,147,148.06","1.29","5,147,148.06","38,817,500.00","-","ID1000116908","B4MW045","0.13","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"PGAS","PERUSAHAAN GAS NEGARA","Utilities","Equity","4,860,590.36","1.22","4,860,590.36","40,096,307.00","S67197640","ID1000111602","6719764","0.12","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"GGRM","GUDANG GARAM","Consumer Staples","Equity","4,757,569.99","1.19","4,757,569.99","1,625,142.00","S63669998","ID1000068604","6366999","2.93","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"TKIM","PABRIK KERTAS TJIWI KIMIA","Materials","Equity","4,654,191.79","1.17","4,654,191.79","5,354,700.00","S66666777","ID1000060403","6666677","0.87","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"SCMA","SURYA CITRA MEDIA","Communication","Equity","4,415,539.28","1.11","4,415,539.28","25,348,800.00","-","ID1000125305","B8HWJY1","0.17","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"TOWR","SARANA MENARA NUSANTARA","Communication","Equity","3,877,464.91","0.97","3,877,464.91","56,808,900.00","-","ID1000128804","BCDBLX3","0.07","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"MDKA","MERDEKA COPPER GOLD","Materials","Equity","3,844,225.74","0.96","3,844,225.74","23,008,100.00","-","ID1000134406","BZ0W5W7","0.17","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"WSKT","WASKITA KARYA PERSERO CLS A","Industrials","Equity","3,492,071.74","0.87","3,492,071.74","27,439,100.00","-","ID1000126105","B7VW3S2","0.13","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ACES","ACE HARDWARE INDONESIA","Consumer Discretionary","Equity","3,438,851.01","0.86","3,438,851.01","27,797,379.00","-","ID1000125503","B7JW351","0.12","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"CTRA","CIPUTRA DEVELOPMENT","Real Estate","Equity","3,193,740.59","0.80","3,193,740.59","43,611,613.00","S62917679","ID1000115306","6291767","0.07","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ISAT","INDOSAT","Communication","Equity","3,116,388.02","0.78","3,116,388.02","7,723,700.00","-","ID1000097405","B00FYK2","0.40","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BSDE","BUMI SERPONG DAMAI","Real Estate","Equity","3,020,841.98","0.76","3,020,841.98","34,127,022.00","-","ID1000110802","B2RJPM0","0.09","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"UNTR","UNITED TRACTORS","Energy","Equity","3,018,831.23","0.76","3,018,831.23","1,637,796.00","S62308457","ID1000058407","6230845","1.84","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"JSMR","JASA MARGA","Industrials","Equity","3,016,099.94","0.76","3,016,099.94","8,782,908.00","-","ID1000108103","B28T1S7","0.34","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"PTBA","TAMBANG BATUBARA BUKIT ASAM","Energy","Equity","2,950,991.11","0.74","2,950,991.11","14,563,400.00","S65651275","ID1000094006","6565127","0.20","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"EXCL","XL AXIATA","Communication","Equity","2,765,099.54","0.69","2,765,099.54","14,787,500.00","-","ID1000102502","B0LD0W9","0.19","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"PWON","PAKUWON JATI","Real Estate","Equity","2,690,346.99","0.67","2,690,346.99","72,075,677.00","-","ID1000122500","B4KWQ72","0.04","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"PTPP","PP (PERSERO)","Industrials","Equity","2,565,585.61","0.64","2,565,585.61","18,178,822.00","-","ID1000114002","B6277R6","0.14","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BBTN","PT BANK TABUNGAN NEGARA","Financials","Equity","2,517,469.38","0.63","2,517,469.38","19,671,226.00","-","ID1000113707","B548673","0.13","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"SMRA","SUMMARECON AGUNG","Real Estate","Equity","2,440,429.54","0.61","2,440,429.54","43,725,658.00","S65385270","ID1000092406","6538527","0.06","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"WIKA","WIJAYA KARYA","Industrials","Equity","2,438,190.33","0.61","2,438,190.33","16,330,070.00","-","ID1000107600","B28V4M8","0.15","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"LPKR","LIPPO KARAWACI","Real Estate","Equity","2,375,841.60","0.59","2,375,841.60","169,625,442.00","-","ID1000108905","B19HDX2","0.01","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"JPFA","JAPFA COMFEED INDONESIA","Consumer Staples","Equity","2,338,037.68","0.59","2,338,037.68","21,923,000.00","-","ID1000126907","B9DG2Q7","0.11","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ITMG","INDO TAMBANGRAYA MEGAH","Energy","Equity","2,151,401.35","0.54","2,151,401.35","2,245,600.00","-","ID1000108509","B29SK75","0.96","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BTPS","BANK BTPN SYARIAH","Financials","Equity","2,118,868.11","0.53","2,118,868.11","8,278,300.00","-","ID1000142805","BFNBJ41","0.26","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"MEDC","MEDCO ENERGI INTERNASIONAL","Energy","Equity","2,090,981.24","0.52","2,090,981.24","46,681,986.00","S62545116","ID1000053705","6254511","0.04","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"MAPI","MITRA ADIPERKASA","Consumer Discretionary","Equity","2,047,480.48","0.51","2,047,480.48","37,644,200.00","-","ID1000099807","B03VZ37","0.05","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"AKRA","AKR CORPORINDO","Energy","Equity","1,988,750.66","0.50","1,988,750.66","8,580,300.00","S60481561","ID1000106701","6048156","0.23","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"MNCN","MEDIA NUSANTARA CITRA","Communication","Equity","1,984,939.67","0.50","1,984,939.67","23,964,100.00","-","ID1000106206","B1Z5HY9","0.08","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BJBR","BANK PEMBANGUNAN DAERAH JAWA BARAT","Financials","Equity","1,898,235.90","0.48","1,898,235.90","16,583,036.00","-","ID1000115702","B3Z3L12","0.11","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"ERAA","ERAJAYA SWASEMBADA","Information Technology","Equity","1,702,301.46","0.43","1,702,301.46","9,772,600.00","-","ID1000121601","B66D0K4","0.17","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"SIDO","INDUSTRI JAMU DAN FARMASI SIDO MUN","Consumer Staples","Equity","1,683,261.07","0.42","1,683,261.07","30,947,800.00","-","ID1000130305","BH7HMM8","0.05","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"WSBP","WASKITA BETON PRECAST","Materials","Equity","1,681,107.22","0.42","1,681,107.22","77,270,500.00","-","ID1000137706","BD3RRL8","0.02","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"LSIP","PP LONDON SUMATRA INDONESIA","Consumer Staples","Equity","1,639,175.58","0.41","1,639,175.58","18,225,300.00","S65356701","ID1000118409","6535670","0.09","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BJTM","BANK PEMBANGUNAN DAERAH JAWA TIMUR","Financials","Equity","1,464,562.25","0.37","1,464,562.25","24,522,700.00","-","ID1000123904","B8FQLP0","0.06","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"APIC","PACIFIC STRATEGIC FINANCIAL","Financials","Equity","1,457,912.16","0.37","1,457,912.16","26,121,700.00","-","ID1000101009","B07J6R8","0.06","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"PNLF","PANIN FINANCIAL","Financials","Equity","1,411,338.80","0.35","1,411,338.80","82,026,778.00","S66714221","ID1000095607","6671422","0.02","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"LINK","LINK NET","Communication","Equity","1,381,658.66","0.35","1,381,658.66","7,503,100.00","-","ID1000131808","BMS8CQ9","0.18","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"NATO","SURYA PERMATA ANDALAN","Consumer Discretionary","Equity","1,373,710.13","0.34","1,373,710.13","33,896,900.00","-","ID1000148000","BHPG4L0","0.04","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BOGA","BINTANG OTO GLOBAL","Consumer Discretionary","Equity","1,271,232.99","0.32","1,271,232.99","13,293,600.00","-","ID1000138100","BZCCZ47","0.10","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"SMSM","SELAMAT SEMPURNA","Consumer Discretionary","Equity","1,146,747.88","0.29","1,146,747.88","12,851,800.00","S66533340","ID1000095409","6653334","0.09","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"DMAS","PURADELTA LESTARI","Real Estate","Equity","1,071,643.01","0.27","1,071,643.01","65,533,300.00","-","ID1000134109","BXRTT03","0.02","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BRIS","BANK BRISYARIAH","Financials","Equity","753,556.70","0.19","753,556.70","3,322,500.00","-","ID1000142904","BFY6H41","0.23","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"TINS","TIMAH","Materials","Equity","568,096.91","0.14","568,096.91","3,936,100.00","S68757301","ID1000111800","6875730","0.14","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"AALI","ASTRA AGRO LESTARI","Consumer Staples","Equity","340,061.14","0.09","340,061.14","408,800.00","S60924982","ID1000066004","6092498","0.83","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"FREN","SMARTFREN TELECOM","Communication","Equity","323,556.73","0.08","323,556.73","68,951,900.00","-","ID1000122302","B7LLC71","0.00","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"TAMU","PELAYARAN TAMARIN SAMUDRA","Energy","Equity","310,869.18","0.08","310,869.18","87,447,500.00","-","ID1000138803","BF0TC49","0.00","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","260,000.00","0.07","260,000.00","260,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"CARE","METRO HEALTHCARE INDONESIA","Health Care","Equity","233,451.83","0.06","233,451.83","10,945,000.00","-","ID1000154909","BKPX4C3","0.02","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"IDR","IDR CASH","Cash and/or Derivatives","Cash","225,355.30","0.06","225,355.30","3,169,622,238.00","-","-","-","0.01","Indonesia","-","USD","14,065.00","IDR","-"
"TARA","AGUNG SEMESTA SEJAHTERA","Industrials","Equity","108,670.49","0.03","108,670.49","30,569,008.00","-","ID1000132202","BNY7RL7","0.00","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"BLTA","PT BERLIAN LAJU TANKER TBK","Industrials","Equity","74,417.40","0.02","74,417.40","20,933,614.00","-","ID1000099906","B03TB33","0.00","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","25,000.00","0.01","25,000.00","25,000.00","-","-","-","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"SUGI","SUGIH ENERGY","Energy","Equity","28.36","0.00","28.36","39,886,700.00","S65329054","ID1000092000","6532905","0.00","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
"SIAP","SEKAWAN INTIPRATAMA","Materials","Equity","21.74","0.00","21.74","30,572,100.00","-","ID1000112105","B39YV22","0.00","Indonesia","Indonesia Stock Exchange","USD","14,065.00","IDR","-"
