Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"FLTR","FLUTTER ENTERTAINMENT PLC","Consumer Discretionary","Equity","14,361,241.75","23.06","14,361,241.75","72,814.00","-","IE00BWT6H894","BWT6H89","197.23","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"CRG","CRH PLC","Materials","Equity","13,229,398.24","21.24","13,229,398.24","320,968.00","S41822495","IE0001827041","4182249","41.22","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Equity","3,225,358.69","5.18","3,225,358.69","821,216.00","-","IE00BD1RP616","BD1RP61","3.93","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"SK3","SMURFIT KAPPA GROUP PLC","Materials","Equity","2,932,969.27","4.71","2,932,969.27","64,043.00","-","IE00B1RR8406","B1RR828","45.80","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"ICLR","ICON PLC","Health Care","Equity","2,699,549.97","4.33","2,699,549.97","13,949.00","-","IE0005711209","B94G471","193.53","United States","NASDAQ","USD","1.00","USD","-"
"KRZ","KERRY GROUP PLC","Consumer Staples","Equity","2,658,495.40","4.27","2,658,495.40","18,186.00","S45195799","IE0004906560","4519579","146.18","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"GFTU","GRAFTON GROUP UNITS PLC","Industrials","Equity","2,615,943.54","4.20","2,615,943.54","216,180.00","-","IE00B00MZ448","B00MZ44","12.10","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"RYAAY","RYANAIR HOLDINGS ADR REPRESENTING","Industrials","Equity","2,605,854.34","4.18","2,605,854.34","25,013.00","783513203","US7835132033","BYYN585","104.18","Ireland","NASDAQ","USD","1.00","USD","-"
"A5G","AIB GROUP","Financials","Equity","2,554,093.56","4.10","2,554,093.56","1,241,173.00","-","IE00BF0L3536","BF0L353","2.06","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"GL9","GLANBIA PLC","Consumer Staples","Equity","2,502,173.38","4.02","2,502,173.38","201,066.00","S40586299","IE0000669501","4058629","12.44","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","2,222,597.15","3.57","2,222,597.15","29,425.00","S44912350","IE0004927939","4491235","75.53","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"DHG","DALATA HOTEL GROUP PLC","Consumer Discretionary","Equity","1,576,699.72","2.53","1,576,699.72","352,747.00","-","IE00BJMZDW83","BJMZDW8","4.47","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"HBRN","HIBERNIA REIT PLC","Real Estate","Equity","1,480,806.67","2.38","1,480,806.67","1,084,556.00","-","IE00BGHQ1986","BGHQ198","1.37","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"C5H","CAIRN HOMES PLC","Consumer Discretionary","Equity","1,316,482.81","2.11","1,316,482.81","1,146,787.00","-","IE00BWY4ZF18","BF2NP06","1.15","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"GVR","GLENVEAGH PROPERTIES PLC","Consumer Discretionary","Equity","1,228,341.68","1.97","1,228,341.68","1,193,128.00","-","IE00BD6JX574","BD6JX57","1.03","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"IRES","IRISH RESIDENTIAL PROPERTIES PLC","Real Estate","Equity","1,221,346.23","1.96","1,221,346.23","714,342.00","-","IE00BJ34P519","BJ34P51","1.71","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"UPR","UNIPHAR PLC","Health Care","Equity","1,061,357.16","1.70","1,061,357.16","351,852.00","-","IE00BJ5FQX74","BJ5FQX7","3.02","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"T7O","TOTAL PRODUCE PLC","Consumer Staples","Equity","890,115.93","1.43","890,115.93","532,012.00","-","IE00B1HDWM43","B1L9ZC9","1.67","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"OIZ","ORIGIN ENTERPRISES PLC","Consumer Staples","Equity","848,768.89","1.36","848,768.89","202,329.00","-","IE00B1WV4493","B1YC2Y6","4.20","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"IR5B","IRISH CONTINENTAL GROUP UNITS PLC","Industrials","Equity","325,743.87","0.52","325,743.87","63,964.00","-","IE00BLP58571","BLP5857","5.09","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"APGN","APPLEGREEN PLC","Consumer Discretionary","Equity","197,637.88","0.32","197,637.88","29,159.00","-","IE00BXC8D038","BXC8D03","6.78","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"ARD","ARDAGH GROUP SA CLASS A","Materials","Equity","132,876.82","0.21","132,876.82","7,606.00","-","LU1565283667","BYXR9D1","17.47","Luxembourg","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DQ5","CPL RESOURCES PLC","Industrials","Equity","93,571.20","0.15","93,571.20","6,841.00","S57238305","IE0007214426","5723830","13.68","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"EG7","FBD HOLDINGS PLC","Financials","Equity","91,478.42","0.15","91,478.42","9,882.00","S43302314","IE0003290289","4330231","9.26","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","77,110.89","0.12","77,110.89","63,141.00","-","-","-","122.13","European Union","-","USD","0.82","EUR","-"
"FLY","FLY LEASING ADR REP LTD","Industrials","Equity","72,367.02","0.12","72,367.02","9,207.00","34407D109","US34407D1090","B282GD6","7.86","Ireland","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IL0A","PERMANENT TSB GROUP HOLDINGS PLC","Financials","Equity","51,188.73","0.08","51,188.73","53,057.00","-","IE00BWB8X525","BWB8X52","0.96","Ireland","Irish Stock Exchange - All Market","USD","0.82","EUR","-"
