Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WIX","WIX.COM LTD","Information Technology","Equity","12,977,252.24","9.01","12,977,252.24","48,007.00","-","IL0011301780","BFZCHN7","270.32","Israel","NASDAQ","USD","1.00","USD","-"
"NICE","NICE LTD","Information Technology","Equity","11,996,752.81","8.33","11,996,752.81","54,126.00","S66471335","IL0002730112","6647133","221.64","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"CHKP","CHECK POINT SOFTWARE TECHNOLOGIES","Information Technology","Equity","11,220,829.35","7.79","11,220,829.35","96,773.00","M22465104","IL0010824113","2181334","115.95","Israel","NASDAQ","USD","1.00","USD","Jun 28, 1996"
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Health Care","Equity","10,713,908.59","7.44","10,713,908.59","945,623.00","881624209","US8816242098","2883878","11.33","Israel","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LUMI","BANK LEUMI LE ISRAEL","Financials","Equity","8,320,462.66","5.78","8,320,462.66","1,253,585.00","S60764255","IL0006046119","6076425","6.64","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"POLI","BANK HAPOALIM BM","Financials","Equity","7,576,871.67","5.26","7,576,871.67","979,741.00","S60758083","IL0006625771","6075808","7.73","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"CYBR","CYBER ARK SOFTWARE LTD","Information Technology","Equity","4,252,647.42","2.95","4,252,647.42","33,417.00","M2682V108","IL0011334468","BQT3XY6","127.26","Israel","NASDAQ","USD","1.00","USD","-"
"DSCT","ISRAEL DISCOUNT BANK LTD","Financials","Equity","4,215,706.86","2.93","4,215,706.86","1,012,028.00","465074201","IL0006912120","6451271","4.17","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"ICL","ICL GROUP LTD","Materials","Equity","3,544,289.25","2.46","3,544,289.25","607,685.00","S64555303","IL0002810146","6455530","5.83","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"KRNT","KORNIT DIGITAL LTD","Industrials","Equity","3,435,674.45","2.38","3,435,674.45","37,817.00","-","IL0011216723","BWFRFD7","90.85","Israel","NASDAQ","USD","1.00","USD","-"
"MZTF","MIZRAHI TEFAHOT BANK LTD","Financials","Equity","3,204,331.83","2.22","3,204,331.83","121,187.00","S69167039","IL0006954379","6916703","26.44","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"ESLT","ELBIT SYSTEMS LTD","Industrials","Equity","3,198,381.45","2.22","3,198,381.45","23,011.00","S63089130","IL0010811243","6308913","138.99","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"TSEM","TOWER SEMICONDUCTOR LTD","Information Technology","Equity","2,471,776.53","1.72","2,471,776.53","88,783.00","S63206056","IL0010823792","6320605","27.84","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"AZRG","AZRIELI GROUP LTD","Real Estate","Equity","2,323,109.04","1.61","2,323,109.04","36,834.00","-","IL0011194789","B5MN1W0","63.07","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"NVMI","NOVA MEASURING INSTRUMENTS LTD","Information Technology","Equity","2,150,133.56","1.49","2,150,133.56","24,501.00","S65341612","IL0010845571","6534161","87.76","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
"BEZQ","BEZEQ ISRAELI TELECOMMUNICATION CO","Communication","Equity","1,894,133.73","1.31","1,894,133.73","1,799,373.00","S60980323","IL0002300114","6098032","1.05","Israel","Tel Aviv Stock Exchange","USD","3.33","ILS","-"
