Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","32,642,366.01","4.55","32,642,366.01","1,446,000.00","S68891068","TW0002330008","6889106","22.57","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","32,300,964.86","4.50","32,300,964.86","340,000.00","-","KYG875721634","BMMV2K8","95.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","30,498,252.96","4.25","30,498,252.96","116,144.00","01609W102","US01609W1027","BP41ZD1","262.59","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","20,210,214.90","2.81","20,210,214.90","1,131,248.00","S62051222","INE009A01021","6205122","17.87","India","National Stock Exchange Of India","USD","72.97","INR","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","19,273,123.43","2.68","19,273,123.43","10,200,000.00","S69166288","TW0002303005","6916628","1.89","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","-"
"000270","KIA MOTORS CORP","Consumer Discretionary","Equity","17,905,814.30","2.49","17,905,814.30","232,288.00","S64909286","KR7000270009","6490928","77.08","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","15,059,138.56","2.10","15,059,138.56","252,416.00","98850P109","US98850P1093","BYW4289","59.66","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","14,922,281.27","2.08","14,922,281.27","201,280.00","S67717207","KR7005930003","6771720","74.14","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"VIPS","VIPSHOP HOLDINGS SPONSORED ADS REP","Consumer Discretionary","Equity","13,259,197.60","1.85","13,259,197.60","393,448.00","92763W103","US92763W1036","B3N0H17","33.70","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","13,216,860.35","1.84","13,216,860.35","94,248.00","S65207391","KR7066570003","6520739","140.23","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"2331","LI NING LTD","Consumer Discretionary","Equity","12,722,150.56","1.77","12,722,150.56","1,904,000.00","-","KYG5496K1242","B01JCK9","6.68","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","12,590,714.21","1.75","12,590,714.21","959,208.00","S62948963","INE860A01027","6294896","13.13","India","National Stock Exchange Of India","USD","72.97","INR","-"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","10,367,758.48","1.44","10,367,758.48","708,288.00","S37840113","ZAE000083648","B1FFT76","14.64","South Africa","Johannesburg Stock Exchange","USD","14.87","ZAR","-"
"6098","COUNTRY GARDEN SERVICES HOLDINGS L","Industrials","Equity","10,031,583.77","1.40","10,031,583.77","1,181,000.00","-","KYG2453A1085","BDQZP48","8.49","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"268","KINGDEE INT L SOFTWARE GROUP LTD","Information Technology","Equity","9,795,985.76","1.36","9,795,985.76","2,176,000.00","S63275879","KYG525681477","6327587","4.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2333","GREAT WALL MOTOR LTD H","Consumer Discretionary","Equity","8,946,906.76","1.25","8,946,906.76","2,720,000.00","S67182550","CNE100000338","6718255","3.29","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3034","NOVATEK MICROELECTRONICS CORP","Information Technology","Equity","8,451,985.07","1.18","8,451,985.07","494,000.00","S63463335","TW0003034005","6346333","17.11","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","-"
"992","LENOVO GROUP LTD","Information Technology","Equity","8,210,102.68","1.14","8,210,102.68","6,528,000.00","S62180898","HK0992009065","6218089","1.26","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","7,786,808.23","1.08","7,786,808.23","3,916,838.00","S24587719","BRITSAACNPR7","2458771","1.99","Brazil","XBSP","USD","5.33","BRL","-"
"ANG","ANGLOGOLD ASHANTI LTD","Materials","Equity","7,492,355.65","1.04","7,492,355.65","324,360.00","S04255196","ZAE000043485","6565655","23.10","South Africa","Johannesburg Stock Exchange","USD","14.87","ZAR","-"
"GFI","GOLD FIELDS LTD","Materials","Equity","7,454,220.60","1.04","7,454,220.60","782,680.00","S31755101","ZAE000018123","6280215","9.52","South Africa","Johannesburg Stock Exchange","USD","14.87","ZAR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","6,866,128.45","0.96","6,866,128.45","103,088.00","S64109598","INE089A01023","6410959","66.60","India","National Stock Exchange Of India","USD","72.97","INR","-"
"586","CHINA CONCH VENTURE HOLDINGS LTD","Industrials","Equity","6,798,668.80","0.95","6,798,668.80","1,460,000.00","-","KYG2116J1085","BH7HM06","4.66","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"914","ANHUI CONCH CEMENT LTD H","Materials","Equity","6,659,498.99","0.93","6,659,498.99","1,126,000.00","S60803962","CNE1000001W2","6080396","5.91","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"GSX","GSX TECHEDU ADR REPRESENTING CLA","Consumer Discretionary","Equity","6,252,491.20","0.87","6,252,491.20","68,408.00","36257Y109","US36257Y1091","BK1VBN1","91.40","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","6,213,830.30","0.87","6,213,830.30","603,000.00","S60510468","TW0002357001","6051046","10.30","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","6,140,624.41","0.86","6,140,624.41","456,008.00","-","INE669C01036","BWFGD63","13.47","India","National Stock Exchange Of India","USD","72.97","INR","-"
"WIPRO","WIPRO LTD","Information Technology","Equity","6,034,075.92","0.84","6,034,075.92","1,011,432.00","S62060512","INE075A01022","6206051","5.97","India","National Stock Exchange Of India","USD","72.97","INR","-"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","5,087,712.19","0.71","5,087,712.19","106,216.00","S63273270","INE158A01026","6327327","47.90","India","National Stock Exchange Of India","USD","72.97","INR","-"
"4938","PEGATRON CORP","Information Technology","Equity","4,951,018.88","0.69","4,951,018.88","1,768,000.00","-","TW0004938006","B4PLX17","2.80","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","-"
"3323","CHINA NATIONAL BUILDING MATERIAL L","Materials","Equity","4,556,606.99","0.63","4,556,606.99","3,536,000.00","-","CNE1000002N9","B0Y91C1","1.29","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"CIPLA","CIPLA LTD","Health Care","Equity","4,554,399.84","0.63","4,554,399.84","392,224.00","-","INE059A01026","B011108","11.61","India","National Stock Exchange Of India","USD","72.97","INR","-"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","4,525,032.38","0.63","4,525,032.38","136,000.00","-","KR7086790003","B0RNRF5","33.27","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"1050","BANQUE SAUDI FRANSI","Financials","Equity","4,519,918.96","0.63","4,519,918.96","521,696.00","-","SA0007879782","B12LZT1","8.66","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"916","CHINA LONGYUAN POWER GROUP CORP LT","Utilities","Equity","4,483,979.15","0.62","4,483,979.15","2,720,000.00","-","CNE100000HD4","B4Q2TX3","1.65","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","4,462,269.75","0.62","4,462,269.75","5,985,000.00","S67062505","CNE100000593","6706250","0.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BPAC11","BCO BTG PACTUAL UNT SA","Financials","Equity","4,367,411.24","0.61","4,367,411.24","204,000.00","-","BRBPACUNT006","BZBZVC7","21.41","Brazil","XBSP","USD","5.33","BRL","-"
"1066","SHANDONG WEIGAO GROUP MEDICAL POLY","Health Care","Equity","4,333,811.46","0.60","4,333,811.46","2,176,000.00","S67423400","CNE100000171","6742340","1.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","4,074,332.42","0.57","4,074,332.42","78,608.00","S66025180","INE361B01024","6602518","51.83","India","National Stock Exchange Of India","USD","72.97","INR","-"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","4,021,913.25","0.56","4,021,913.25","272,000.00","S64189319","TH0528010R18","6418931","14.79","Thailand","Stock Exchange Of Thailand","USD","30.03","THB","-"
"011780","KUMHO PETRO CHEMICAL LTD","Materials","Equity","3,819,248.81","0.53","3,819,248.81","16,320.00","S64993231","KR7011780004","6499323","234.02","Korea (South)","Korea Exchange (Stock Market)","USD","1,119.55","KRW","-"
"2301","LITE ON TECHNOLOGY CORP","Information Technology","Equity","3,803,108.82","0.53","3,803,108.82","1,904,718.00","S65194813","TW0002301009","6519481","2.00","Taiwan","Taiwan Stock Exchange","USD","28.00","TWD","-"
"285","BYD ELECTRONIC (INTERNATIONAL) LTD","Information Technology","Equity","3,771,670.71","0.53","3,771,670.71","579,000.00","-","HK0285041858","B29SHS5","6.51","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"MARK","MASRAF AL RAYAN","Financials","Equity","3,722,156.77","0.52","3,722,156.77","3,115,488.00","-","QA000A0M8VM3","B0VR7W0","1.19","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"1010","RIYAD BANK","Financials","Equity","3,673,869.31","0.51","3,673,869.31","646,408.00","-","SA0007879048","B12LZW4","5.68","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"RICHTER","GEDEON RICHTER","Health Care","Equity","3,591,500.81","0.50","3,591,500.81","125,800.00","-","HU0000123096","BC9ZH86","28.55","Hungary","Budapest Stock Exchange","USD","297.56","HUF","-"
"998","CHINA CITIC BANK CORP LTD H","Financials","Equity","3,569,815.80","0.50","3,569,815.80","7,752,000.00","-","CNE1000001Q4","B1W0JF2","0.46","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
