Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AOT.R","AIRPORTS OF THAILAND NON-VOTING DR","Industrials","Equity","1,551,522.26","9.85","1,551,522.26","720,300.00","S67412064","TH0765010R16","6741206","2.15","Thailand","Stock Exchange Of Thailand","USD","31.11","THB","-"
"384","CHINA GAS HOLDINGS LTD","Utilities","Equity","1,006,139.83","6.39","1,006,139.83","254,200.00","S64607948","BMG2109G1033","6460794","3.96","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"TRNFP","TRANSNEFT PREF","Energy","Equity","934,046.84","5.93","934,046.84","482.00","-","RU0009091573","B59NHY7","1,937.86","Russian Federation","Standard-Classica-Forts","USD","76.48","RUB","Jan 01, 1970"
"PAC","GRUPO AEROPORTUARIO DEL PACIFICO A","Industrials","Equity","929,549.88","5.90","929,549.88","9,198.00","400506101","US4005061019","B0YFC60","101.06","Mexico","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TENAGA","TENAGA NASIONAL","Utilities","Equity","903,305.44","5.74","903,305.44","348,100.00","S69046126","MYL5347OO009","6904612","2.59","Malaysia","Bursa Malaysia","USD","4.15","MYR","-"
"UGP","ULTRAPAR PARTICIPACOES ADR REPRESE","Energy","Equity","865,436.36","5.49","865,436.36","241,742.00","90400P101","US90400P1012","2496890","3.58","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASR","GRUPO AEROPORTUARIO ADR REPRESENTI","Industrials","Equity","772,079.44","4.90","772,079.44","4,636.00","40051E202","US40051E2028","2639361","166.54","Mexico","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEP","KOREA ELECTRIC POWER ADR REP COR","Utilities","Equity","653,749.64","4.15","653,749.64","64,156.00","500631106","US5006311063","2480495","10.19","Korea (South)","New York Stock Exchange Inc.","USD","1.00","USD","-"
"270","GUANGDONG INVESTMENT LTD","Utilities","Equity","647,809.55","4.11","647,809.55","360,000.00","S69131688","HK0270001396","6913168","1.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"1193","CHINA RESOURCES GAS GROUP LTD","Utilities","Equity","593,516.50","3.77","593,516.50","106,000.00","S65355174","BMG2113B1081","6535517","5.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"ENIA","ENEL AMERICAS ADR REPRESENTING SA","Utilities","Equity","583,788.80","3.71","583,788.80","70,336.00","29274F104","US29274F1049","2314947","8.30","Chile","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","Industrials","Equity","551,510.71","3.50","551,510.71","258,200.00","S28409704","BRCCROACNOR2","2840970","2.14","Brazil","XBSP","USD","5.64","BRL","-"
"135","KUNLUN ENERGY LTD","Utilities","Equity","529,476.96","3.36","529,476.96","498,000.00","S63400782","BMG5320C1082","6340078","1.06","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"2883","CHINA OILFIELD SERVICES LTD H","Energy","Equity","501,354.75","3.18","501,354.75","500,000.00","S65609950","CNE1000002P4","6560995","1.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Industrials","Equity","490,705.40","3.12","490,705.40","9,994.00","400501102","US4005011022","B1JB4F3","49.10","Mexico","NASDAQ","USD","1.00","USD","-"
"144","CHINA MERCHANTS PORT HOLDINGS LTD","Industrials","Equity","458,079.92","2.91","458,079.92","310,000.00","S64161391","HK0144000764","6416139","1.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"152","SHENZHEN INTERNATIONAL HOLDINGS LT","Industrials","Equity","416,991.68","2.65","416,991.68","259,999.00","-","BMG8086V1467","BJVBTY1","1.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"694","BEIJING CAPITAL INTERNATIONAL AIRP","Industrials","Equity","329,990.54","2.10","329,990.54","436,000.00","S62084223","CNE100000221","6208422","0.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
