Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","666,571.33","5.17","666,571.33","33,000.00","S68891068","TW0002330008","6889106","20.20","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","Nov 10, 1994"
"3690","MEITUAN","Consumer Discretionary","Equity","607,777.13","4.71","607,777.13","15,300.00","-","KYG596691041","BGJW376","39.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","520,054.80","4.03","520,054.80","2,292.00","01609W102","US01609W1027","BP41ZD1","226.90","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","365,364.74","2.83","365,364.74","1,866.00","S66226911","ZAE000015889","6622691","195.80","South Africa","Johannesburg Stock Exchange","USD","15.39","ZAR","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","313,964.02","2.43","313,964.02","414,000.00","-","CNE1000002H1","B0LMTQ3","0.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","311,617.33","2.42","311,617.33","25,500.00","-","CNE1000003X6","B01FLR7","12.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","290,669.40","2.25","290,669.40","5,355.00","62914V106","US62914V1061","BFZX9H8","54.28","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","288,691.37","2.24","288,691.37","2,334.00","S64502677","KR7000660001","6450267","123.69","Korea (South)","Korea Exchange (Stock Market)","USD","1,087.40","KRW","-"
"INFY","INFOSYS LTD","Information Technology","Equity","251,881.17","1.95","251,881.17","14,631.00","S62051222","INE009A01021","6205122","17.22","India","National Stock Exchange Of India","USD","73.31","INR","-"
"NTES","NETEASE ADR INC","Communication","Equity","200,394.99","1.55","200,394.99","1,791.00","64110W102","US64110W1027","2606440","111.89","China","NASDAQ","USD","1.00","USD","-"
"2454","MEDIATEK INC","Information Technology","Equity","171,388.73","1.33","171,388.73","6,000.00","S63724801","TW0002454006","6372480","28.56","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","Jul 23, 2001"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","166,047.31","1.29","166,047.31","4,014.00","-","INE467B01029","B01NPJ1","41.37","India","National Stock Exchange Of India","USD","73.31","INR","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","165,322.11","1.28","165,322.11","13,500.00","-","KYG970081173","BL6B9P1","12.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","152,129.85","1.18","152,129.85","237.00","S67716456","KR7006400006","6771645","641.90","Korea (South)","Korea Exchange (Stock Market)","USD","1,087.40","KRW","-"
"035420","NAVER CORP","Communication","Equity","142,167.56","1.10","142,167.56","534.00","S65603938","KR7035420009","6560393","266.23","Korea (South)","Korea Exchange (Stock Market)","USD","1,087.40","KRW","-"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","126,417.21","0.98","126,417.21","20,700.00","-","BRITUBACNPR1","B037HR3","6.11","Brazil","XBSP","USD","5.38","BRL","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","113,120.26","0.88","113,120.26","3,501.00","S62616743","INE030A01027","6261674","32.31","India","National Stock Exchange Of India","USD","73.31","INR","-"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","111,085.32","0.86","111,085.32","16,500.00","-","CNE1000002M1","B1DYPZ5","6.73","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","109,573.25","0.85","109,573.25","3,915.00","-","SA0007879121","B1324D0","27.99","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","105,902.05","0.82","105,902.05","42,300.00","-","ID1000109507","B01C1P6","2.50","Indonesia","Indonesia Stock Exchange","USD","13,910.00","IDR","-"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","101,674.92","0.79","101,674.92","9,000.00","S62607346","TW0002308004","6260734","11.30","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","99,984.37","0.77","99,984.37","8,700.00","-","BRB3SAACNOR6","BG36ZK1","11.49","Brazil","XBSP","USD","5.38","BRL","-"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","99,434.12","0.77","99,434.12","19,200.00","-","BRBBDCACNPR8","B00FM53","5.18","Brazil","XBSP","USD","5.38","BRL","-"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","98,512.39","0.76","98,512.39","19,140.00","S61481974","QA0006929895","6148197","5.15","Qatar","Qatar Exchange","USD","3.64","QAR","-"
"035720","KAKAO CORP","Communication","Equity","91,056.65","0.71","91,056.65","246.00","S61940375","KR7035720002","6194037","370.15","Korea (South)","Korea Exchange (Stock Market)","USD","1,087.40","KRW","-"
"1211","BYD LTD H","Consumer Discretionary","Equity","91,004.06","0.71","91,004.06","3,000.00","S65366510","CNE100000296","6536651","30.33","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","89,550.91","0.69","89,550.91","9,783.00","-","INE238A01034","BPFJHC7","9.15","India","National Stock Exchange Of India","USD","73.31","INR","-"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","86,051.46","0.67","86,051.46","24,000.00","S65318271","KYG3777B1032","6531827","3.59","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","84,235.74","0.65","84,235.74","51,000.00","S69166288","TW0002303005","6916628","1.65","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","81,085.98","0.63","81,085.98","1,170.00","-","INE296A01024","BD2N0P2","69.30","India","National Stock Exchange Of India","USD","73.31","INR","-"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","77,795.22","0.60","77,795.22","27,918.00","S68895267","KW0EQ0100010","6889526","2.79","Kuwait","Kuwait Stock Exchange","USD","0.30","KWD","-"
