Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DNB","DNB","Financials","Equity","3,557,799.78","11.76","3,557,799.78","177,025.00","S42633040","NO0010031479","4263304","20.10","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"EQNR","EQUINOR","Energy","Equity","3,384,801.23","11.19","3,384,801.23","182,630.00","S71336085","NO0010096985","7133608","18.53","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"TEL","TELENOR","Communication","Equity","2,210,499.50","7.31","2,210,499.50","131,080.00","S47324959","NO0010063308","4732495","16.86","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"MOWI","MOWI","Consumer Staples","Equity","1,883,427.55","6.22","1,883,427.55","82,640.00","-","NO0003054108","B02L486","22.79","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"YAR","YARA INTERNATIONAL","Materials","Equity","1,493,376.96","4.94","1,493,376.96","30,431.00","S77512598","NO0010208051","7751259","49.07","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"NHY","NORSK HYDRO","Materials","Equity","1,196,298.97","3.95","1,196,298.97","251,177.00","-","NO0005052605","B11HK39","4.76","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"ORK","ORKLA","Consumer Staples","Equity","1,191,992.85","3.94","1,191,992.85","121,769.00","-","NO0003733800","B1VQF42","9.79","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"TOM","TOMRA SYSTEMS","Industrials","Equity","963,029.24","3.18","963,029.24","20,795.00","S47308754","NO0005668905","4730875","46.31","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"NEL","NEL","Industrials","Equity","936,046.97","3.09","936,046.97","241,934.00","-","NO0010081235","B02NR83","3.87","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"GJF","GJENSIDIGE FORSIKRING","Financials","Equity","909,549.79","3.01","909,549.79","38,213.00","-","NO0010582521","B4PH0C5","23.80","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"SCATC","SCATEC SOLAR","Utilities","Equity","783,438.60","2.59","783,438.60","21,421.00","-","NO0010715139","BQSSWW3","36.57","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"STB","STOREBRAND","Financials","Equity","747,126.90","2.47","747,126.90","90,295.00","S48528327","NO0003053605","4852832","8.27","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"ADE","ADEVINTA","Communication","Equity","732,567.16","2.42","732,567.16","44,559.00","-","NO0010844038","BJ0DP40","16.44","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"ENTRA","ENTRA","Real Estate","Equity","717,076.22","2.37","717,076.22","32,059.00","-","NO0010716418","BRJ2VC4","22.37","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"BAKKA","BAKKAFROST","Consumer Staples","Equity","714,214.94","2.36","714,214.94","9,694.00","-","FO0000000179","B6632T7","73.68","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"SALM","SALMAR","Consumer Staples","Equity","658,422.64","2.18","658,422.64","10,544.00","-","NO0010310956","B1W5NW2","62.45","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"SCHB","SCHIBSTED B","Communication","Equity","641,724.95","2.12","641,724.95","18,895.00","-","NO0010736879","BWVFKQ3","33.96","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
"NOD","NIC SEMICONDUCTOR","Information Technology","Equity","561,570.68","1.86","561,570.68","28,646.00","-","NO0003055501","B00ZG06","19.60","Norway","Oslo Bors Asa","USD","8.50","NOK","-"
