Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SMPH","SM PRIME HOLDINGS INC","Real Estate","Equity","16,175,249.60","11.86","16,175,249.60","21,141,335.00","S68188432","PHY8076N1120","6818843","0.77","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"ALI","AYALA LAND INC","Real Estate","Equity","12,320,470.68","9.04","12,320,470.68","16,735,450.00","S60551124","PHY0488F1004","6055112","0.74","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"SM","SM INVESTMENTS CORP","Industrials","Equity","9,757,208.47","7.16","9,757,208.47","487,106.00","-","PHY806761029","B068DB9","20.03","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"AC","AYALA CORP","Industrials","Equity","8,851,083.61","6.49","8,851,083.61","561,748.00","-","PHY0486V1154","B09JBT3","15.76","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"JGS","JG SUMMIT HOLDINGS INC","Industrials","Equity","7,444,167.91","5.46","7,444,167.91","5,909,571.00","S64664576","PHY444251177","6466457","1.26","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"BPI","BANK OF THE PHILIPPINE ISLANDS","Financials","Equity","6,397,550.71","4.69","6,397,550.71","3,661,955.00","S60749686","PHY0967S1694","6074968","1.75","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"BDO","BDO UNIBANK INC","Financials","Equity","6,310,188.21","4.63","6,310,188.21","2,882,744.00","-","PHY077751022","B5VJH76","2.19","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrials","Equity","6,259,004.32","4.59","6,259,004.32","2,442,323.00","S64558190","PHY411571011","6455819","2.56","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"TEL","PLDT INC","Communication","Equity","5,052,275.33","3.71","5,052,275.33","193,099.00","-","PHY7072Q1032","BDGN274","26.16","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"MBT","METROPOLITAN BANK AND TRUST CO","Financials","Equity","4,472,362.47","3.28","4,472,362.47","4,647,514.00","S65144420","PHY6028G1361","6514442","0.96","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"URC","UNIVERSAL ROBINA CORP","Consumer Staples","Equity","4,336,034.80","3.18","4,336,034.80","1,584,698.00","S69195196","PHY9297P1004","6919519","2.74","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"JFC","JOLLIBEE FOODS CORP","Consumer Discretionary","Equity","4,197,791.38","3.08","4,197,791.38","1,156,961.00","S64744949","PHY4466S1007","6474494","3.63","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"GLO","GLOBE TEL INC","Communication","Equity","3,526,351.06","2.59","3,526,351.06","89,405.00","S62848643","PHY272571498","6284864","39.44","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"MER","MANILA ELECTRIC","Utilities","Equity","3,385,468.25","2.48","3,385,468.25","607,190.00","-","PHY5764J1483","B247XZ6","5.58","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"AEV","ABOITIZ EQUITY VENTURES PHP1 INC","Industrials","Equity","3,096,289.62","2.27","3,096,289.62","4,124,837.00","S60684115","PHY0001Z1040","6068411","0.75","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"GTCAP","GT CAPITAL HOLDINGS INC","Industrials","Equity","2,981,482.91","2.19","2,981,482.91","269,866.00","-","PHY290451046","B77H110","11.05","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"MPI","METRO PACIFIC INV CORP","Financials","Equity","2,960,717.56","2.17","2,960,717.56","38,131,050.00","-","PHY603051020","B1L8838","0.08","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"AGI","ALLIANCE GLOBAL GROUP INC","Industrials","Equity","2,525,330.45","1.85","2,525,330.45","11,493,339.00","S61471058","PHY003341054","6147105","0.22","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"MEG","MEGAWORLD CORP","Real Estate","Equity","2,484,835.17","1.82","2,484,835.17","32,786,960.00","S65636482","PHY594811127","6563648","0.08","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"PGOLD","PURE GOLD PRICE CLUB INC","Consumer Staples","Equity","2,126,471.86","1.56","2,126,471.86","2,574,360.00","-","PHY716171079","B725S29","0.83","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"FGEN","FIRST GEN CORP","Utilities","Equity","1,882,086.88","1.38","1,882,086.88","3,032,947.00","-","PHY2518H1143","B0XNCB0","0.62","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"SECB","SECURITY BANK CORP","Financials","Equity","1,854,690.14","1.36","1,854,690.14","730,190.00","S67923342","PHY7571C1000","6792334","2.54","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"WLCON","WILCON DEPOT INC","Consumer Discretionary","Equity","1,811,150.77","1.33","1,811,150.77","4,905,200.00","-","PHY9584X1055","BYXYHM7","0.37","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"BLOOM","BLOOMBERRY RESORTS CORP","Consumer Discretionary","Equity","1,749,234.53","1.28","1,749,234.53","12,456,865.00","-","PHY0927M1046","B7RLFB0","0.14","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"DMC","DMCI HOLDINGS INC","Industrials","Equity","1,476,408.88","1.08","1,476,408.88","12,654,000.00","S62724836","PHY2088F1004","6272483","0.12","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"AP","ABOITIZ POWER CORP","Utilities","Equity","1,364,559.62","1.00","1,364,559.62","2,788,135.00","-","PHY0005M1090","B1Z9Q99","0.49","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"DNL","D&L INDUSTRIES INC","Materials","Equity","1,360,632.67","1.00","1,360,632.67","8,988,900.00","-","PHY1973T1008","B99R1B2","0.15","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"SCC","SEMIRARA MINING AND POWER","Energy","Equity","1,165,513.68","0.85","1,165,513.68","4,150,000.00","-","PHY7628G1124","BQ13Z04","0.28","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"VLL","VISTA LAND AND LIFESCAPES INC","Real Estate","Equity","1,082,356.26","0.79","1,082,356.26","13,865,900.00","-","PHY9382G1068","B1Z75R4","0.08","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"ACEN","AC ENERGY CORPORATION CORP","Utilities","Equity","1,074,504.76","0.79","1,074,504.76","7,508,354.00","-","PHY1001H1024","BMBZPW4","0.14","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"COSCO","COSCO CAPITAL INC","Consumer Staples","Equity","1,058,557.96","0.78","1,058,557.96","9,838,900.00","-","PHY1765W1054","B99J4M0","0.11","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"FLI","FILINVEST LAND INC","Real Estate","Equity","1,015,034.57","0.74","1,015,034.57","44,684,590.00","S63414460","PHY249161019","6341446","0.02","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"PCOR","PETRON CORP","Energy","Equity","926,023.71","0.68","926,023.71","14,512,200.00","S66841305","PHY6885F1067","6684130","0.06","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"DD","DOUBLEDRAGON PROPERTIES CORP","Real Estate","Equity","904,936.91","0.66","904,936.91","3,370,890.00","-","PHY2105Y1083","BKX3XF1","0.27","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"HOME","ALLHOME CORP","Consumer Discretionary","Equity","838,444.23","0.61","838,444.23","5,279,800.00","-","PHY0040P1094","BHNTWQ2","0.16","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"RLC","ROBINSONS LAND CORP","Real Estate","Equity","663,701.93","0.49","663,701.93","1,815,806.00","S67447227","PHY731961264","6744722","0.37","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"PHP","PHP CASH","Cash and/or Derivatives","Cash","587,466.29","0.43","587,466.29","28,448,055.00","-","-","-","2.07","Philippines","-","USD","48.43","PHP","-"
"MWC","MANILA WATER INC","Utilities","Equity","426,901.48","0.31","426,901.48","1,344,129.00","-","PHY569991086","B0684C7","0.32","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"CEB","CEBU AIR INC","Industrials","Equity","383,399.07","0.28","383,399.07","412,580.00","-","PHY1234G1032","B2NRDY6","0.93","Philippines","Philippine Stock Exchange Inc.","USD","48.43","PHP","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","70,000.00","0.05","70,000.00","70,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","40,000.00","0.03","40,000.00","40,000.00","-","-","-","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"MESM1","MSCI EMER MKT INDEX (ICE) JUN 21","Cash and/or Derivatives","Futures","0.00","0.00","589,365.00","9.00","-","-","-","1,309.70","-","Ice Futures U.S.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-51,519.90","-0.04","-51,519.90","-51,520.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
