Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KGH","KGHM POLSKA MIEDZ SA","Materials","Equity","29,939,113.54","10.45","29,939,113.54","546,973.00","S52632510","PLKGHM000017","5263251","54.74","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","29,067,216.69","10.15","29,067,216.69","3,476,972.00","-","PLPKO0000016","B03NGS5","8.36","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"ALE","ALLEGRO SA","Consumer Discretionary","Equity","20,636,703.92","7.21","20,636,703.92","984,832.00","-","LU2237380790","BMBQDF6","20.95","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"PZU","PZU SA","Financials","Equity","20,002,683.97","6.98","20,002,683.97","2,305,788.00","-","PLPZU0000011","B63DG21","8.67","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"CDR","CD PROJECT SA","Communication","Equity","19,286,608.37","6.73","19,286,608.37","272,578.00","S73022154","PLOPTTC00011","7302215","70.76","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"PKN","POLSKI KONCERN NAFTOWY ORLEN SA","Energy","Equity","13,914,665.33","4.86","13,914,665.33","841,361.00","S58100660","PLPKN0000018","5810066","16.54","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"PGN","POLSKIE GORNICTWO NAFTOWE I GAZOWN","Energy","Equity","13,308,412.80","4.65","13,308,412.80","8,329,434.00","-","PLPGNIG00014","B0L9113","1.60","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"LPP","LPP SA","Consumer Discretionary","Equity","13,072,258.19","4.56","13,072,258.19","6,217.00","S71279798","PLLPP0000011","7127979","2,102.66","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"PEO","BANK PEKAO SA","Financials","Equity","11,947,374.04","4.17","11,947,374.04","656,676.00","S54731138","PLPEKAO00016","5473113","18.19","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"DNP","DINO POLSKA SA","Consumer Staples","Equity","11,214,987.04","3.92","11,214,987.04","160,439.00","-","PLDINPL00011","BD0YVN2","69.90","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"CPS","CYFROWY POLSAT SA","Communication","Equity","11,020,358.02","3.85","11,020,358.02","1,391,571.00","-","PLCFRPT00013","B2QRCM4","7.92","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"SPL","SANTANDER BANK POLSKA SA","Financials","Equity","9,949,964.62","3.47","9,949,964.62","181,781.00","S71536395","PLBZ00000044","7153639","54.74","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"PGE","PGE POLSKA GRUPA ENERGETYCZNA SA","Utilities","Equity","7,989,719.44","2.79","7,989,719.44","4,315,474.00","-","PLPGER000010","B544PW9","1.85","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"BDX","BUDIMEX SA","Industrials","Equity","5,850,052.47","2.04","5,850,052.47","64,631.00","S41493305","PLBUDMX00013","4149330","90.51","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"OPL","ORANGE POLSKA SA","Communication","Equity","5,756,166.88","2.01","5,756,166.88","3,384,346.00","S55525513","PLTLKPL00017","5552551","1.70","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"LTS","GRUPA LOTOS SA","Energy","Equity","5,624,402.20","1.96","5,624,402.20","493,899.00","-","PLLOTOS00025","B0B8Z41","11.39","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"ACP","ASSECO POLAND SA","Information Technology","Equity","5,522,448.54","1.93","5,522,448.54","307,782.00","S59789537","PLSOFTB00016","5978953","17.94","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"CCC","CCC SA","Consumer Discretionary","Equity","4,855,266.00","1.70","4,855,266.00","220,950.00","-","PLCCC0000016","B04QR13","21.97","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"TPE","TAURON POLSKA ENERGIA SA","Utilities","Equity","4,815,602.02","1.68","4,815,602.02","6,052,226.00","-","PLTAURN00011","B5P7L41","0.80","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"MBK","MBANK SA","Financials","Equity","4,611,486.18","1.61","4,611,486.18","81,699.00","S41430539","PLBRE0000012","4143053","56.44","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"KRU","KRUK SA","Financials","Equity","4,358,679.87","1.52","4,358,679.87","97,517.00","-","PLKRK0000010","B4PTLY0","44.70","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"MIL","BANK MILLENNIUM SA","Financials","Equity","3,910,048.05","1.37","3,910,048.05","3,615,829.00","S40773236","PLBIG0000016","4077323","1.08","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"EAT","AMREST HOLDINGS","Consumer Discretionary","Equity","3,473,188.33","1.21","3,473,188.33","476,482.00","-","ES0105375002","BGT2VX8","7.29","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"TEN","TEN SQUARE GAMES SA","Communication","Equity","2,858,907.68","1.00","2,858,907.68","21,036.00","-","PLTSQGM00016","BFZCQ74","135.91","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"NEU","NEUCA SA","Health Care","Equity","2,736,530.27","0.96","2,736,530.27","15,297.00","-","PLTRFRM00018","B045XT0","178.89","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"JSW","JASTRZEBSKA SPOLKA WEGLOWA SA","Materials","Equity","2,727,140.10","0.95","2,727,140.10","381,255.00","-","PLJSW0000015","B6R2S06","7.15","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"ENA","ENEA SA","Utilities","Equity","2,639,907.08","0.92","2,639,907.08","1,373,210.00","-","PLENEA000013","B3F97B2","1.92","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,390,000.00","0.83","2,390,000.00","2,390,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"BHW","BANK HANDLOWY W WARSZAWIE SA","Financials","Equity","2,324,392.71","0.81","2,324,392.71","215,748.00","S52560687","PLBH00000012","5256068","10.77","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
"ATT","GRUPA AZOTY SA","Materials","Equity","2,271,032.61","0.79","2,271,032.61","290,293.00","-","PLZATRM00012","B3B61Y8","7.82","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.75","PLN","-"
