Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"1299","AIA GROUP LTD","Financials","Equity","178,470,844.91","7.62","178,470,844.91","14,713,814.00","-","HK0000069689","B4TX8S1","12.13","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","140,884,570.36","6.01","140,884,570.36","2,148,349.00","S62150354","AU000000CBA7","6215035","65.58","Australia","Asx - All Markets","USD","1.31","AUD","-"
"BHP","BHP GROUP LTD","Materials","Equity","123,504,059.35","5.27","123,504,059.35","3,579,543.00","S61446902","AU000000BHP4","6144690","34.50","Australia","Asx - All Markets","USD","1.31","AUD","Jan 02, 1985"
"CSL","CSL LTD","Health Care","Equity","111,524,215.40","4.76","111,524,215.40","553,276.00","S61854956","AU000000CSL8","6185495","201.57","Australia","Asx - All Markets","USD","1.31","AUD","-"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","81,463,932.30","3.48","81,463,932.30","4,381,695.00","S60761467","AU000000WBC1","6076146","18.59","Australia","Asx - All Markets","USD","1.31","AUD","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","79,125,502.13","3.38","79,125,502.13","1,344,900.00","S62673595","HK0388045442","6267359","58.83","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","78,902,298.50","3.37","78,902,298.50","3,984,381.00","S66246083","AU000000NAB4","6624608","19.80","Australia","Asx - All Markets","USD","1.31","AUD","-"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Financials","Equity","73,793,433.61","3.15","73,793,433.61","3,438,122.00","S60655867","AU000000ANZ3","6065586","21.46","Australia","Asx - All Markets","USD","1.31","AUD","Jan 01, 1998"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","55,349,875.63","2.36","55,349,875.63","1,379,742.00","S69488369","AU000000WES1","6948836","40.12","Australia","Asx - All Markets","USD","1.31","AUD","-"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","48,847,458.52","2.08","48,847,458.52","419,641.00","-","AU000000MQG1","B28YTC2","116.40","Australia","Asx - All Markets","USD","1.31","AUD","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","47,682,906.12","2.04","47,682,906.12","1,531,802.00","S69812394","AU000000WOW2","6981239","31.13","Australia","Asx - All Markets","USD","1.31","AUD","-"
"D05","DBS GROUP HOLDINGS LTD","Financials","Equity","46,587,688.30","1.99","46,587,688.30","2,174,200.00","S61752036","SG1L01001701","6175203","21.43","Singapore","Singapore Exchange","USD","1.34","SGD","Jan 01, 1998"
"RIO","RIO TINTO LTD","Materials","Equity","38,275,813.82","1.63","38,275,813.82","453,759.00","S62201033","AU000000RIO1","6220103","84.35","Australia","Asx - All Markets","USD","1.31","AUD","Jan 02, 1985"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Equity","35,599,141.86","1.52","35,599,141.86","4,070,724.00","-","SG1S04926220","B0F9V20","8.75","Singapore","Singapore Exchange","USD","1.34","SGD","-"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","33,416,694.56","1.43","33,416,694.56","3,293,850.00","S62008826","AU000000TCL6","6200882","10.15","Australia","Asx - All Markets","USD","1.31","AUD","-"
"FMG","FORTESCUE METALS GROUP LTD","Materials","Equity","31,440,477.83","1.34","31,440,477.83","2,065,004.00","S60862539","AU000000FMG4","6086253","15.23","Australia","Asx - All Markets","USD","1.31","AUD","-"
"669","TECHTRONIC INDUSTRIES LTD","Industrials","Equity","28,906,357.49","1.23","28,906,357.49","1,689,707.00","-","HK0669013440","B0190C7","17.11","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"GMG","GOODMAN GROUP UNITS","Real Estate","Equity","27,811,641.46","1.19","27,811,641.46","2,015,176.00","-","AU000000GMG2","B03FYZ4","13.80","Australia","Asx - All Markets","USD","1.31","AUD","-"
"U11","UNITED OVERSEAS BANK LTD","Financials","Equity","27,396,794.43","1.17","27,396,794.43","1,425,100.00","S69167815","SG1M31001969","6916781","19.22","Singapore","Singapore Exchange","USD","1.34","SGD","-"
