Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","33,969,945.68","21.85","33,969,945.68","498,971.00","84265V105","US84265V1052","2823777","68.08","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAP","CREDICORP LTD","Financials","Equity","32,696,129.52","21.03","32,696,129.52","238,536.00","G2519Y108","BMG2519Y1084","2232878","137.07","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BVN","BUENAVENTURA ADR REPRESENTING","Materials","Equity","7,893,109.95","5.08","7,893,109.95","771,565.00","204448104","US2044481040","2210476","10.23","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALICORC1","ALICORP","Consumer Staples","Equity","6,753,141.37","4.34","6,753,141.37","3,272,609.00","S21628342","PEP214001005","2162834","2.06","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"HOC","HOCHSCHILD MINING PLC","Materials","Equity","6,672,920.66","4.29","6,672,920.66","2,490,138.00","-","GB00B1FW5029","B1FW502","2.68","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"VOLCABC1","VOLCAN COMPANIA MINERA B PREF","Materials","Equity","5,814,926.72","3.74","5,814,926.72","25,037,604.00","S22360630","PEP648014202","2236063","0.23","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"CVERDEC1","CERRO VERDE","Materials","Equity","5,414,700.00","3.48","5,414,700.00","216,588.00","S26779298","PEP646501002","2677929","25.00","Peru","Bolsa De Valores De Lima","USD","1.00","USD","-"
"FERREYC1","FERREYROS SAA","Industrials","Equity","5,396,287.76","3.47","5,396,287.76","9,315,435.00","S23201262","PEP736001004","2320126","0.58","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"FALABELLA","FALABELLA SACI SA","Consumer Discretionary","Equity","4,568,730.44","2.94","4,568,730.44","1,032,456.00","S27716729","CLP3880F1085","2771672","4.43","Chile","Santiago Stock Exchange","USD","736.71","CLP","-"
"INRETC1","INRETAIL PERU CORP","Consumer Staples","Equity","4,458,842.00","2.87","4,458,842.00","103,694.00","-","PAL1801171A1","B7YYJD2","43.00","Peru","Bolsa De Valores De Lima","USD","1.00","USD","-"
"PARAUCO","PARQUE ARAUCO SA","Real Estate","Equity","4,438,477.81","2.86","4,438,477.81","2,419,601.00","S26843490","CLP763281068","2684349","1.83","Chile","Santiago Stock Exchange","USD","736.71","CLP","-"
"1208","MMG LTD","Materials","Equity","4,003,396.55","2.58","4,003,396.55","7,072,000.00","S67287938","HK1208013172","6728793","0.57","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"CPACASC1","CEMENTOS PACASMAYO SAA","Materials","Equity","3,758,316.86","2.42","3,758,316.86","2,398,408.00","S24416745","PEP239501005","2441674","1.57","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"PAAS","PAN AMERICAN SILVER CORP","Materials","Equity","3,629,124.74","2.33","3,629,124.74","119,977.00","697900108","CA6979001089","2669272","30.25","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"AENZAC1","AENZA","Industrials","Equity","3,607,481.24","2.32","3,607,481.24","7,591,924.00","S20965802","PEP736581005","2096580","0.48","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"BBVAC1","BANCO BBVA PERU SA","Financials","Equity","3,537,695.02","2.28","3,537,695.02","5,476,118.00","S20801742","PEP116001004","2080174","0.65","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"UNACEMC1","UNION ANDINA DE CEMENTOS","Materials","Equity","3,320,335.90","2.14","3,320,335.90","7,492,758.00","S21856489","PEP239001006","2185648","0.44","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
"IFS","INTERCORP FINANCIAL SERVICES INC","Financials","Equity","3,148,122.60","2.03","3,148,122.60","107,079.00","-","PAL2400671A3","BK8WRM8","29.40","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","3,110,700.69","2.00","3,110,700.69","81,434.00","962879102","CA9628791027","BF13KN5","38.20","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"FVI","FORTUNA SILVER MINES INC","Materials","Equity","2,631,049.68","1.69","2,631,049.68","419,091.00","349915108","CA3499151080","2383033","6.28","Canada","Toronto Stock Exchange","USD","1.26","CAD","-"
"RIPLEY","RIPLEY CORPORATION CORP SA","Consumer Discretionary","Equity","2,139,024.41","1.38","2,139,024.41","6,228,577.00","-","CL0000001173","B0D6PM1","0.34","Chile","Santiago Stock Exchange","USD","736.71","CLP","-"
"PTAL","PETROTAL CORP","Energy","Equity","2,008,903.96","1.29","2,008,903.96","8,218,851.00","71677J101","CA71677J1012","BH3FL85","0.24","United States","London Stock Exchange","USD","0.73","GBP","-"
"CASAGRC1","CASA GRANDE","Consumer Staples","Equity","1,120,481.58","0.72","1,120,481.58","699,554.00","S20376539","PEP771461006","2037653","1.60","Peru","Bolsa De Valores De Lima","USD","3.75","PEN","-"
