Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SBER","SBERBANK ROSSII","Financials","Equity","65,091,552.79","13.82","65,091,552.79","17,364,330.00","-","RU0009029540","4767981","3.75","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"GAZP","GAZPROM","Energy","Equity","59,307,018.21","12.59","59,307,018.21","20,196,680.00","-","RU0007661625","B59L4L7","2.94","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"LKOH","NK LUKOIL","Energy","Equity","56,545,557.46","12.00","56,545,557.46","696,789.00","-","RU0009024277","B59SNS8","81.15","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"YNDX","YANDEX NV CLASS A","Communication","Equity","29,687,613.88","6.30","29,687,613.88","464,055.00","-","NL0009805522","BMSK1G8","63.97","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"TATN","TATNEFT","Energy","Equity","24,062,889.48","5.11","24,062,889.48","3,021,422.00","-","RU0009033591","B59BXN2","7.96","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"NVTK","PAO NOVATEK GDR","Energy","Equity","23,347,746.00","4.96","23,347,746.00","117,090.00","669888109","US6698881090","B0DK750","199.40","Russian Federation","London Stock Exchange","USD","1.00","USD","-"
"GMKN","GMK NORILSKIY NIKEL","Materials","Equity","17,388,898.19","3.69","17,388,898.19","62,073.00","-","RU0007288411","B5B1TX2","280.14","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"ROSN","NK ROSNEFT","Energy","Equity","16,940,202.26","3.60","16,940,202.26","2,270,045.00","-","RU000A0J2Q06","B59SS16","7.46","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"PLZL","POLYUS","Materials","Equity","15,753,871.20","3.34","15,753,871.20","85,957.00","-","RU000A0JNAA8","B57R0L9","183.28","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"TCSG","TCS GROUP HOLDING REPR CLASS A RE","Financials","Equity","15,656,772.36","3.32","15,656,772.36","278,254.00","87238U203","US87238U2033","BK1K310","56.27","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"MGNT","MAGNIT PJSC SPONSORED RUSSIA RU DR","Consumer Staples","Equity","14,723,797.82","3.13","14,723,797.82","988,838.00","55953Q202","US55953Q2021","B2QKYZ0","14.89","Russian Federation","London Stock Exchange","USD","1.00","USD","-"
"CHMF","SEVERSTAL","Materials","Equity","13,045,021.93","2.77","13,045,021.93","709,263.00","-","RU0009046510","B5B9C59","18.39","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","Jan 01, 1970"
"POLY","POLYMETAL INTERNATIONAL PLC","Materials","Equity","12,644,929.87","2.68","12,644,929.87","637,505.00","-","JE00B6T5S470","BBMT4K9","19.84","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"ALRS","AK ALROSA","Materials","Equity","12,601,058.17","2.67","12,601,058.17","9,078,610.00","-","RU0007252813","B6QPBP2","1.39","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"NLMK","NOVOLIPETSK STEEL","Materials","Equity","11,750,880.80","2.49","11,750,880.80","4,140,190.00","-","RU0009046452","B59FPC7","2.84","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"FIVE","X5 RETAIL GROUP GDR NV","Consumer Staples","Equity","11,172,990.72","2.37","11,172,990.72","352,118.00","98387E205","US98387E2054","B516L19","31.73","Russian Federation","Standard-Classica-Forts","USD","76.46","RUB","-"
"MBT","MOBILE TELESYSTEMS ADR REP","Communication","Equity","10,840,812.15","2.30","10,840,812.15","1,330,161.00","607409109","US6074091090","2603225","8.15","Russian Federation","New York Stock Exchange Inc.","USD","1.00","USD","-"
