Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","87,749,602.08","2.14","87,749,602.08","760,677.00","S71238703","CH0038863350","7123870","115.36","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","61,279,754.98","1.49","61,279,754.98","182,254.00","S71103881","CH0012032048","7110388","336.23","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","59,276,243.01","1.44","59,276,243.01","119,711.00","-","NL0010273215","B929F46","495.16","Netherlands","Euronext Amsterdam","USD","0.82","EUR","-"
"NOVN","NOVARTIS AG","Health Care","Equity","52,105,814.20","1.27","52,105,814.20","560,538.00","S71030654","CH0012005267","7103065","92.96","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"MC","LVMH","Consumer Discretionary","Equity","42,031,659.22","1.02","42,031,659.22","66,534.00","S40614125","FR0000121014","4061412","631.74","France","Nyse Euronext - Euronext Paris","USD","0.82","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","40,734,461.86","0.99","40,734,461.86","3,251,000.00","-","HK0000069689","B4TX8S1","12.53","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"SAP","SAP","Information Technology","Equity","39,468,925.69","0.96","39,468,925.69","308,023.00","S48462881","DE0007164600","4846288","128.14","Germany","Xetra","USD","0.82","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","38,519,723.41","0.94","38,519,723.41","252,778.00","S57279739","DE0007236101","5727973","152.39","Germany","Xetra","USD","0.82","EUR","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","37,188,812.24","0.91","37,188,812.24","494,400.00","S69006435","JP3633400001","6900643","75.22","Japan","Tokyo Stock Exchange","USD","103.94","JPY","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","37,122,110.59","0.90","37,122,110.59","616,383.00","-","GB00B10RZP78","B10RZP7","60.23","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"6758","SONY CORP","Consumer Discretionary","Equity","35,267,080.39","0.86","35,267,080.39","351,100.00","S68215060","JP3435000009","6821506","100.45","Japan","Tokyo Stock Exchange","USD","103.94","JPY","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","34,989,583.59","0.85","34,989,583.59","502,982.00","-","DK0060534915","BHC8X90","69.56","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.07","DKK","-"
