Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","477,888,827.31","6.80","477,888,827.31","22,575,000.00","S68891068","TW0002330008","6889106","21.17","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","405,610,210.81","5.77","405,610,210.81","4,995,900.00","-","KYG875721634","BMMV2K8","81.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","399,107,041.98","5.68","399,107,041.98","1,642,551.00","01609W102","US01609W1027","BP41ZD1","242.98","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","336,093,862.94","4.78","336,093,862.94","4,114,246.00","S67717207","KR7005930003","6771720","81.69","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","133,814,528.83","1.90","133,814,528.83","3,312,700.00","-","KYG596691041","BGJW376","40.39","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","93,921,545.61","1.34","93,921,545.61","7,311,500.00","-","CNE1000003X6","B01FLR7","12.85","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","86,343,824.19","1.23","86,343,824.19","391,604.00","S66226911","ZAE000015889","6622691","220.49","South Africa","Johannesburg Stock Exchange","USD","15.12","ZAR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","67,158,609.66","0.96","67,158,609.66","1,827,671.00","S61719001","INE001A01036","6171900","36.75","India","National Stock Exchange Of India","USD","73.04","INR","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","65,409,337.66","0.93","65,409,337.66","83,551,000.00","-","CNE1000002H1","B0LMTQ3","0.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","63,033,870.84","0.90","63,033,870.84","706,341.00","47215P106","US47215P1066","BMM27D9","89.24","China","NASDAQ","USD","1.00","USD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","60,907,494.11","0.87","60,907,494.11","3,246,225.00","S62051222","INE009A01021","6205122","18.76","India","National Stock Exchange Of India","USD","73.04","INR","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","60,874,200.03","0.87","60,874,200.03","1,000,069.00","62914V106","US62914V1061","BFZX9H8","60.87","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","58,294,574.74","0.83","58,294,574.74","4,317,000.00","-","KYG970081173","BL6B9P1","13.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","54,111,390.56","0.77","54,111,390.56","754,023.00","S67738120","KR7005931001","6773812","71.76","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","Jun 07, 1993"
"LKOH","NK LUKOIL","Energy","Equity","53,679,791.17","0.76","53,679,791.17","665,534.00","-","RU0009024277","B59SNS8","80.66","Russian Federation","Standard-Classica-Forts","USD","73.24","RUB","Jan 01, 1970"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","52,480,522.16","0.75","52,480,522.16","1,955,222.00","S60996261","INE002A01018","6099626","26.84","India","National Stock Exchange Of India","USD","73.04","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","52,072,818.95","0.74","52,072,818.95","1,170,095.00","-","INE467B01029","B01NPJ1","44.50","India","National Stock Exchange Of India","USD","73.04","INR","-"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","50,787,328.18","0.72","50,787,328.18","303,643.00","722304102","US7223041028","BYVW0F7","167.26","China","NASDAQ","USD","1.00","USD","-"
"000660","SK HYNIX INC","Information Technology","Equity","49,916,116.30","0.71","49,916,116.30","420,003.00","S64502677","KR7000660001","6450267","118.85","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","49,482,056.61","0.70","49,482,056.61","11,697,000.00","S65318271","KYG3777B1032","6531827","4.23","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","49,034,074.04","0.70","49,034,074.04","71,885.00","S67716456","KR7006400006","6771645","682.12","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","48,310,482.00","0.69","48,310,482.00","194,018.00","056752108","US0567521085","B0FXT17","249.00","China","NASDAQ","USD","1.00","USD","-"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","44,699,218.61","0.64","44,699,218.61","333,891.00","S65207391","KR7066570003","6520739","133.87","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"051910","LG CHEM LTD","Materials","Equity","44,219,980.88","0.63","44,219,980.88","48,075.00","S63469134","KR7051910008","6346913","919.81","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","44,089,001.49","0.63","44,089,001.49","1,563,451.00","-","SA0007879121","B1324D0","28.20","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"035420","NAVER CORP","Communication","Equity","40,805,245.66","0.58","40,805,245.66","140,900.00","S65603938","KR7035420009","6560393","289.60","Korea (South)","Korea Exchange (Stock Market)","USD","1,098.05","KRW","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","39,318,856.28","0.56","39,318,856.28","3,334,100.00","-","BRB3SAACNOR6","BG36ZK1","11.79","Brazil","XBSP","USD","5.23","BRL","-"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","38,877,116.45","0.55","38,877,116.45","3,553,000.00","S62607346","TW0002308004","6260734","10.94","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","-"
