Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,530,000.00","0.51","2,530,000.00","2,530,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"PENN","PENN NATIONAL GAMING INC","Consumer Discretionary","Equity","1,765,989.68","0.35","1,765,989.68","19,292.00","707569109","US7075691094","2682105","91.54","United States","NASDAQ","USD","1.00","USD","-"
"CZR","CAESARS ENTERTAINMENT INC","Consumer Discretionary","Equity","1,701,330.68","0.34","1,701,330.68","22,078.00","12769G100","US12769G1004","BMWWGB0","77.06","United States","NASDAQ","USD","1.00","USD","-"
"PLUG","PLUG POWER INC","Industrials","Equity","1,686,027.21","0.34","1,686,027.21","55,153.00","72919P202","US72919P2020","2508386","30.57","United States","NASDAQ","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","1,540,736.29","0.31","1,540,736.29","16,001.00","29362U104","US29362U1043","2599700","96.29","United States","NASDAQ","USD","1.00","USD","-"
"TTC","TORO","Industrials","Equity","1,527,065.46","0.31","1,527,065.46","16,362.00","891092108","US8910921084","2897040","93.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Consumer Discretionary","Equity","1,499,296.57","0.30","1,499,296.57","9,001.00","109194100","US1091941005","B7MJWP2","166.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVN","FIVE9 INC","Information Technology","Equity","1,478,503.26","0.30","1,478,503.26","8,577.00","338307101","US3383071012","BKY7X18","172.38","United States","NASDAQ","USD","1.00","USD","-"
"CREE","CREE INC","Information Technology","Equity","1,474,939.80","0.30","1,474,939.80","15,388.00","225447101","US2254471012","2232351","95.85","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,461,667.98","0.29","1,461,667.98","21,239.00","74762E102","US74762E1029","2150204","68.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","1,425,087.32","0.29","1,425,087.32","34,036.00","989701107","US9897011071","2989828","41.87","United States","NASDAQ","USD","1.00","USD","-"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Health Care","Equity","1,420,975.60","0.28","1,420,975.60","8,635.00","90400D108","US90400D1081","BJ62Z18","164.56","United States","NASDAQ","USD","1.00","USD","-"
"CMA","COMERICA INC","Financials","Equity","1,409,539.47","0.28","1,409,539.47","26,711.00","200340107","US2003401070","2212870","52.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NUAN","NUANCE COMMUNICATIONS INC","Information Technology","Equity","1,401,646.29","0.28","1,401,646.29","32,423.00","67020Y100","US67020Y1001","2402121","43.23","United States","NASDAQ","USD","1.00","USD","-"
"ATR","APTARGROUP INC","Materials","Equity","1,386,253.68","0.28","1,386,253.68","10,412.00","038336103","US0383361039","2045247","133.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KRC","KILROY REALTY REIT CORP","Real Estate","Equity","1,385,825.04","0.28","1,385,825.04","23,028.00","49427F108","US49427F1084","2495529","60.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EHC","ENCOMPASS HEALTH CORP","Health Care","Equity","1,331,938.56","0.27","1,331,938.56","16,032.00","29261A100","US29261A1007","BYX2YJ7","83.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","1,329,489.92","0.27","1,329,489.92","4,292.00","09073M104","US09073M1045","BSHZ3Q0","309.76","United States","NASDAQ","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","1,319,709.60","0.26","1,319,709.60","4,385.00","243537107","US2435371073","2267278","300.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TREX","TREX INC","Industrials","Equity","1,315,050.00","0.26","1,315,050.00","15,940.00","89531P105","US89531P1057","2483074","82.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSL","CARLISLE COMPANIES INC","Industrials","Equity","1,290,397.92","0.26","1,290,397.92","8,323.00","142339100","US1423391002","2176318","155.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","Health Care","Equity","1,281,459.30","0.26","1,281,459.30","6,730.00","759916109","US7599161095","2731654","190.41","United States","NASDAQ","USD","1.00","USD","-"
"GGG","GRACO INC","Industrials","Equity","1,274,596.83","0.26","1,274,596.83","17,859.00","384109104","US3841091040","2380443","71.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLED","UNIVERSAL DISPLAY CORP","Information Technology","Equity","1,268,473.34","0.25","1,268,473.34","5,249.00","91347P105","US91347P1057","2277880","241.66","United States","NASDAQ","USD","1.00","USD","-"
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Real Estate","Equity","1,257,212.35","0.25","1,257,212.35","28,855.00","024835100","US0248351001","B02H871","43.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","1,252,625.50","0.25","1,252,625.50","11,095.00","969904101","US9699041011","2967589","112.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMED","AMEDISYS INC","Health Care","Equity","1,248,424.36","0.25","1,248,424.36","4,439.00","023436108","US0234361089","2024332","281.24","United States","NASDAQ","USD","1.00","USD","-"
"JHG","JANUS HENDERSON GROUP PLC","Financials","Equity","1,242,963.84","0.25","1,242,963.84","38,081.00","-","JE00BYPZJM29","BYPZJQ6","32.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAR","DARLING INGREDIENTS INC","Consumer Staples","Equity","1,236,634.68","0.25","1,236,634.68","22,067.00","237266101","US2372661015","2250289","56.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEX","WEX INC","Information Technology","Equity","1,235,931.36","0.25","1,235,931.36","6,036.00","96208T104","US96208T1043","B8383P2","204.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACM","AECOM","Industrials","Equity","1,203,414.96","0.24","1,203,414.96","25,113.00","00766T100","US00766T1007","B1VZ431","47.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLEX","FLEX LTD","Information Technology","Equity","1,203,136.74","0.24","1,203,136.74","67,554.00","Y2573F102","SG9999000020","2353058","17.81","United States","NASDAQ","USD","1.00","USD","-"
