Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","73,516,549.78","7.07","73,516,549.78","13,866,430.00","S05405287","GB0005405286","0540528","5.30","United Kingdom","London Stock Exchange","USD","0.73","GBP","Jan 01, 1998"
"ALV","ALLIANZ","Financials","Equity","65,877,452.16","6.33","65,877,452.16","283,943.00","S52314853","DE0008404005","5231485","232.01","Germany","Xetra","USD","0.83","EUR","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","42,499,056.53","4.08","42,499,056.53","102,411.00","S59838169","CH0011075394","5983816","414.99","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"BNP","BNP PARIBAS SA","Financials","Equity","38,587,466.29","3.71","38,587,466.29","766,653.00","S73096810","FR0000131104","7309681","50.33","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"UBSG","UBS GROUP AG","Financials","Equity","37,093,764.86","3.56","37,093,764.86","2,495,714.00","-","CH0244767585","BRJL176","14.86","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"SAN","BANCO SANTANDER SA","Financials","Equity","36,242,413.23","3.48","36,242,413.23","11,813,071.00","S57059461","ES0113900J37","5705946","3.07","Spain","Bolsa De Madrid","USD","0.83","EUR","-"
"CS","AXA SA","Financials","Equity","30,042,243.56","2.89","30,042,243.56","1,317,103.00","S70884291","FR0000120628","7088429","22.81","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"PRU","PRUDENTIAL PLC","Financials","Equity","29,254,872.80","2.81","29,254,872.80","1,774,834.00","S07099542","GB0007099541","0709954","16.48","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","27,141,416.18","2.61","27,141,416.18","215,039.00","-","GB00B0SWJX34","B0SWJX3","126.22","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"ISP","INTESA SANPAOLO","Financials","Equity","26,510,914.55","2.55","26,510,914.55","11,310,701.00","S40768368","IT0000072618","4076836","2.34","Italy","Borsa Italiana","USD","0.83","EUR","-"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","26,331,856.48","2.53","26,331,856.48","95,306.00","S52941218","DE0008430026","5294121","276.29","Germany","Xetra","USD","0.83","EUR","-"
"INGA","ING GROEP NV","Financials","Equity","24,600,885.38","2.36","24,600,885.38","2,659,663.00","-","NL0011821202","BZ57390","9.25","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"INVE B","INVESTOR B","Financials","Equity","23,508,321.85","2.26","23,508,321.85","309,655.00","S56795917","SE0000107419","5679591","75.92","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"BARC","BARCLAYS PLC","Financials","Equity","22,888,637.49","2.20","22,888,637.49","11,829,603.00","S31348659","GB0031348658","3134865","1.93","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","22,516,759.46","2.16","22,516,759.46","48,279,225.00","S08706129","GB0008706128","0870612","0.47","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CSGN","CREDIT SUISSE GROUP AG","Financials","Equity","22,358,922.59","2.15","22,358,922.59","1,664,292.00","S71715890","CH0012138530","7171589","13.43","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","21,919,335.64","2.11","21,919,335.64","4,543,602.00","S55019061","ES0113211835","5501906","4.82","Spain","Bolsa De Madrid","USD","0.83","EUR","-"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","21,347,944.46","2.05","21,347,944.46","129,388.00","S70219639","DE0005810055","7021963","164.99","Germany","Xetra","USD","0.83","EUR","-"
"NDA SE","NORDEA BANK","Financials","Equity","18,006,758.44","1.73","18,006,758.44","2,208,084.00","-","FI4000297767","BYZF9J9","8.15","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"SREN","SWISS RE AG","Financials","Equity","17,649,543.17","1.70","17,649,543.17","194,949.00","-","CH0126881561","B545MG5","90.53","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","15,260,902.67","1.47","15,260,902.67","12,670.00","-","CH0024608827","B119QG0","1,204.49","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"UCG","UNICREDIT","Financials","Equity","14,128,751.61","1.36","14,128,751.61","1,457,822.00","-","IT0005239360","BYMXPS7","9.69","Italy","Borsa Italiana","USD","0.83","EUR","-"
"SAMPO","SAMPO","Financials","Equity","14,093,530.36","1.35","14,093,530.36","320,820.00","S52260387","FI0009003305","5226038","43.93","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.83","EUR","-"
"DBK","DEUTSCHE BANK AG","Financials","Equity","13,988,712.81","1.34","13,988,712.81","1,333,921.00","S57503559","DE0005140008","5750355","10.49","Germany","Xetra","USD","0.83","EUR","-"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Equity","13,947,068.97","1.34","13,947,068.97","4,056,102.00","S05603998","GB0005603997","0560399","3.44","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"G","ASSICURAZIONI GENERALI","Financials","Equity","13,626,656.98","1.31","13,626,656.98","758,778.00","S40567190","IT0000062072","4056719","17.96","Italy","Borsa Italiana","USD","0.83","EUR","-"
"AV.","AVIVA PLC","Financials","Equity","13,023,307.06","1.25","13,023,307.06","2,674,245.00","S02162386","GB0002162385","0216238","4.87","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"DNB","DNB","Financials","Equity","12,867,445.61","1.24","12,867,445.61","647,304.00","S42633040","NO0010031479","4263304","19.88","Norway","Oslo Bors Asa","USD","8.60","NOK","-"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Equity","12,101,820.34","1.16","12,101,820.34","1,110,565.00","S48133458","SE0000148884","4813345","10.90","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"KBC","KBC GROEP","Financials","Equity","12,100,215.88","1.16","12,100,215.88","170,325.00","S44977494","BE0003565737","4497749","71.04","Belgium","Nyse Euronext - Euronext Brussels","USD","0.83","EUR","-"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","11,119,261.36","1.07","11,119,261.36","1,826,303.00","S04082848","GB0004082847","0408284","6.09","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SWED A","SWEDBANK","Financials","Equity","10,964,370.63","1.05","10,964,370.63","618,132.00","S48465231","SE0000242455","4846523","17.74","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"GLE","SOCIETE GENERALE SA","Financials","Equity","10,795,652.74","1.04","10,795,652.74","552,843.00","S59665166","FR0000130809","5966516","19.53","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"III","3I GROUP PLC","Financials","Equity","10,604,738.56","1.02","10,604,738.56","664,832.00","-","GB00B1YW4409","B1YW440","15.95","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Financials","Equity","10,545,180.41","1.01","10,545,180.41","1,061,454.00","-","SE0007100599","BXDZ9Q1","9.93","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","9,754,464.79","0.94","9,754,464.79","20,734.00","S74378050","CH0014852781","7437805","470.46","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ACA","CREDIT AGRICOLE SA","Financials","Equity","9,335,887.93","0.90","9,335,887.93","787,258.00","S72626104","FR0000045072","7262610","11.86","France","Nyse Euronext - Euronext Paris","USD","0.83","EUR","-"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","9,196,074.93","0.88","9,196,074.93","152,626.00","-","CH0102484968","B4R2R50","60.25","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"KINV B","KINNEVIK CLASS B","Financials","Equity","8,556,882.78","0.82","8,556,882.78","164,964.00","-","SE0014684528","BN2C4W4","51.87","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"NN","NN GROUP NV","Financials","Equity","8,401,810.25","0.81","8,401,810.25","197,187.00","-","NL0010773842","BNG8PQ9","42.61","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"DANSKE","DANSKE BANK","Financials","Equity","8,092,964.49","0.78","8,092,964.49","470,490.00","S45888252","DK0010274414","4588825","17.20","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.19","DKK","-"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","7,805,714.81","0.75","7,805,714.81","77,210.00","S70973284","BE0003797140","7097328","101.10","Belgium","Nyse Euronext - Euronext Brussels","USD","0.83","EUR","-"
"NWG","NATWEST GROUP PLC","Financials","Equity","7,042,077.27","0.68","7,042,077.27","3,324,265.00","-","GB00B7T77214","B7T7721","2.12","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"SLA","STANDARD LIFE ABERDEEN PLC","Financials","Equity","6,620,831.06","0.64","6,620,831.06","1,553,202.00","-","GB00BF8Q6K64","BF8Q6K6","4.26","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HNR1","HANNOVER RUECK","Financials","Equity","6,567,191.71","0.63","6,567,191.71","41,105.00","S45118098","DE0008402215","4511809","159.77","Germany","Xetra","USD","0.83","EUR","-"
"RSA","RSA INSURANCE GROUP PLC","Financials","Equity","6,553,646.21","0.63","6,553,646.21","709,658.00","-","GB00BKKMKR23","BKKMKR2","9.23","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AGS","AGEAS SA","Financials","Equity","6,399,186.77","0.61","6,399,186.77","120,061.00","-","BE0974264930","B86S2N0","53.30","Belgium","Nyse Euronext - Euronext Brussels","USD","0.83","EUR","-"
"CABK","CAIXABANK SA","Financials","Equity","6,305,817.97","0.61","6,305,817.97","2,457,575.00","-","ES0140609019","B283W97","2.57","Spain","Bolsa De Madrid","USD","0.83","EUR","-"
"EBS","ERSTE GROUP BANK AG","Financials","Equity","6,009,143.72","0.58","6,009,143.72","190,786.00","S52898376","AT0000652011","5289837","31.50","Austria","Wiener Boerse Ag","USD","0.83","EUR","-"
"STJ","ST JAMESS PLACE PLC","Financials","Equity","5,903,046.95","0.57","5,903,046.95","365,231.00","S07669377","GB0007669376","0766937","16.16","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"EXO","EXOR NV","Financials","Equity","5,854,468.75","0.56","5,854,468.75","75,537.00","-","NL0012059018","BYSLCX9","77.50","Italy","Borsa Italiana","USD","0.83","EUR","-"
"EQT","EQT","Financials","Equity","5,458,681.24","0.52","5,458,681.24","161,100.00","-","SE0012853455","BJ7W9K4","33.88","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"BALN","BALOISE HOLDING AG","Financials","Equity","5,425,672.06","0.52","5,425,672.06","31,631.00","S71245948","CH0012410517","7124594","171.53","Switzerland","SIX Swiss Exchange","USD","0.90","CHF","-"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","5,208,144.52","0.50","5,208,144.52","129,782.00","-","GB00B02J6398","B02J639","40.13","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"AGN","AEGON NV","Financials","Equity","5,152,301.17","0.50","5,152,301.17","1,218,499.00","S59273755","NL0000303709","5927375","4.23","Netherlands","Euronext Amsterdam","USD","0.83","EUR","-"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","5,150,751.48","0.50","5,150,751.48","314,934.00","-","IT0000072170","BNGN9Z1","16.35","Italy","Borsa Italiana","USD","0.83","EUR","-"
"HL.","HARGREAVES LANSDOWN PLC","Financials","Equity","5,020,511.84","0.48","5,020,511.84","225,798.00","-","GB00B1VZ0M25","B1VZ0M2","22.23","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"CBK","COMMERZBANK AG","Financials","Equity","4,669,733.50","0.45","4,669,733.50","688,522.00","-","DE000CBK1001","B90LKT4","6.78","Germany","Xetra","USD","0.83","EUR","-"
"MNG","M&G PLC","Financials","Equity","4,475,818.49","0.43","4,475,818.49","1,754,112.00","-","GB00BKFB1C65","BKFB1C6","2.55","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
