Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","699,844.80","0.25","699,844.80","3,165.00","22788C105","US22788C1053","BJJP138","221.12","United States","NASDAQ","USD","1.00","USD","-"
"WORK","SLACK TECHNOLOGIES CLASS A INC","Information Technology","Equity","697,583.40","0.25","697,583.40","16,356.00","83088V102","US83088V1026","BKBS541","42.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHWY","CHEWY INC CLASS A","Consumer Discretionary","Equity","682,409.61","0.24","682,409.61","6,561.00","16679L109","US16679L1098","BJLFHW7","104.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTON","PELOTON INTERACTIVE CLASS A INC","Consumer Discretionary","Equity","678,379.68","0.24","678,379.68","4,169.00","70614W100","US70614W1009","BJ7WJS2","162.72","United States","NASDAQ","USD","1.00","USD","-"
"ROKU","ROKU INC CLASS A","Communication","Equity","668,285.28","0.24","668,285.28","1,872.00","77543R102","US77543R1023","BZ1LFG7","356.99","United States","NASDAQ","USD","1.00","USD","-"
"MDB","MONGODB INC CLASS A","Information Technology","Equity","666,881.76","0.24","666,881.76","1,762.00","60937P106","US60937P1066","BF2FJ99","378.48","United States","NASDAQ","USD","1.00","USD","-"
"ZS","ZSCALER INC","Information Technology","Equity","660,969.40","0.23","660,969.40","3,220.00","98980G102","US98980G1022","BZ00V34","205.27","United States","NASDAQ","USD","1.00","USD","-"
"ETSY","ETSY INC","Consumer Discretionary","Equity","652,953.61","0.23","652,953.61","3,431.00","29786A106","US29786A1060","BWTN5N1","190.31","United States","NASDAQ","USD","1.00","USD","-"
"ENPH","ENPHASE ENERGY INC","Information Technology","Equity","633,232.49","0.22","633,232.49","3,491.00","29355A107","US29355A1079","B65SQW4","181.39","United States","NASDAQ","USD","1.00","USD","-"
"NVCR","NOVOCURE LTD","Health Care","Equity","616,168.51","0.22","616,168.51","3,583.00","-","JE00BYSS4X48","BYSS4X4","171.97","United States","NASDAQ","USD","1.00","USD","-"
"SEDG","SOLAREDGE TECHNOLOGIES INC","Information Technology","Equity","606,696.48","0.21","606,696.48","1,872.00","83417M104","US83417M1045","BWC52Q6","324.09","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","603,253.71","0.21","603,253.71","4,889.00","60770K107","US60770K1079","BGSXTS3","123.39","United States","NASDAQ","USD","1.00","USD","-"
"RNG","RINGCENTRAL INC CLASS A","Information Technology","Equity","602,547.12","0.21","602,547.12","1,512.00","76680R206","US76680R2067","BDZCRX3","398.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","596,503.86","0.21","596,503.86","33,758.00","674599105","US6745991058","2655408","17.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","592,945.92","0.21","592,945.92","896.00","88160R101","US88160R1014","B616C79","661.77","United States","NASDAQ","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","582,947.85","0.21","582,947.85","23,649.00","26210C104","US26210C1045","BG0T321","24.65","United States","NASDAQ","USD","1.00","USD","-"
"IAC","IAC INTERACTIVE","Communication","Equity","580,079.36","0.20","580,079.36","3,232.00","44891N109","US44891N1090","BMGTSK0","179.48","United States","NASDAQ","USD","1.00","USD","-"
"SRPT","SAREPTA THERAPEUTICS INC","Health Care","Equity","574,973.55","0.20","574,973.55","3,285.00","803607100","US8036071004","B8DPDT7","175.03","United States","NASDAQ","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","574,804.72","0.20","574,804.72","6,764.00","18915M107","US18915M1071","BJXC5M2","84.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","569,067.00","0.20","569,067.00","1,550.00","697435105","US6974351057","B87ZMX0","367.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","567,181.44","0.20","567,181.44","1,563.00","90138F102","US90138F1021","BD6P5Q0","362.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MELI","MERCADOLIBRE INC","Consumer Discretionary","Equity","559,548.88","0.20","559,548.88","331.00","58733R102","US58733R1023","B23X1H3","1,690.48","United States","NASDAQ","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","559,465.65","0.20","559,465.65","3,735.00","34959E109","US34959E1091","B5B2106","149.79","United States","NASDAQ","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","556,668.00","0.20","556,668.00","8,460.00","64110D104","US64110D1046","2630643","65.80","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","547,201.52","0.19","547,201.52","2,293.00","70450Y103","US70450Y1038","BYW36M8","238.64","United States","NASDAQ","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","546,345.00","0.19","546,345.00","2,698.00","874054109","US8740541094","2122117","202.50","United States","NASDAQ","USD","1.00","USD","-"
"TWTR","TWITTER INC","Communication","Equity","543,046.14","0.19","543,046.14","10,062.00","90184L102","US90184L1026","BFLR866","53.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","542,487.33","0.19","542,487.33","1,477.00","452327109","US4523271090","2613990","367.29","United States","NASDAQ","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","541,760.42","0.19","541,760.42","28,202.00","406216101","US4062161017","2405302","19.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXAS","EXACT SCIENCES CORP","Health Care","Equity","541,492.80","0.19","541,492.80","3,880.00","30063P105","US30063P1057","2719951","139.56","United States","NASDAQ","USD","1.00","USD","-"
"ALXN","ALEXION PHARMACEUTICALS INC","Health Care","Equity","539,241.79","0.19","539,241.79","3,533.00","015351109","US0153511094","2036070","152.63","United States","NASDAQ","USD","1.00","USD","-"
"SNOW","SNOWFLAKE CLASS A","Information Technology","Equity","538,184.64","0.19","538,184.64","1,666.00","833445109","US8334451098","BN134B7","323.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKTA","OKTA INC CLASS A","Information Technology","Equity","536,593.20","0.19","536,593.20","1,947.00","679295105","US6792951054","BDFZSP1","275.60","United States","NASDAQ","USD","1.00","USD","-"
"SQ","SQUARE INC CLASS A","Information Technology","Equity","536,458.00","0.19","536,458.00","2,350.00","852234103","US8522341036","BYNZGK1","228.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNAP","SNAP INC CLASS A","Communication","Equity","535,702.30","0.19","535,702.30","10,682.00","83304A106","US83304A1060","BD8DJ71","50.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","534,310.95","0.19","534,310.95","1,945.00","146869102","US1468691027","BYQHPG3","274.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PTC","PTC INC","Information Technology","Equity","531,414.90","0.19","531,414.90","4,434.00","69370C100","US69370C1009","B95N910","119.85","United States","NASDAQ","USD","1.00","USD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","530,762.32","0.19","530,762.32","4,994.00","23804L103","US23804L1035","BKT9Y49","106.28","United States","NASDAQ","USD","1.00","USD","-"
"DT","DYNATRACE INC","Information Technology","Equity","530,639.02","0.19","530,639.02","12,289.00","268150109","US2681501092","BJV2RD9","43.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","529,376.73","0.19","529,376.73","3,733.00","285512109","US2855121099","2310194","141.81","United States","NASDAQ","USD","1.00","USD","-"
"RUN","SUNRUN INC","Industrials","Equity","527,550.56","0.19","527,550.56","7,688.00","86771W105","US86771W1053","BYXB1Y8","68.62","United States","NASDAQ","USD","1.00","USD","-"
"PAYC","PAYCOM SOFTWARE INC","Information Technology","Equity","527,290.33","0.19","527,290.33","1,141.00","70432V102","US70432V1026","BL95MY0","462.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","526,401.90","0.19","526,401.90","3,030.00","254687106","US2546871060","2270726","173.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","526,084.00","0.19","526,084.00","3,926.00","127387108","US1273871087","2302232","134.00","United States","NASDAQ","USD","1.00","USD","-"
"TTD","TRADE DESK INC CLASS A","Information Technology","Equity","525,518.28","0.19","525,518.28","564.00","88339J105","US88339J1051","BD8FDD1","931.77","United States","NASDAQ","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","525,294.00","0.19","525,294.00","5,775.00","00507V109","US00507V1098","2575818","90.96","United States","NASDAQ","USD","1.00","USD","-"
"RPRX","ROYALTY PHARMA PLC CLASS A","Health Care","Equity","523,670.10","0.18","523,670.10","10,709.00","-","GB00BMVP7Y09","BMVP7Y0","48.90","United States","NASDAQ","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","521,404.70","0.18","521,404.70","1,730.00","052769106","US0527691069","2065159","301.39","United States","NASDAQ","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","521,320.80","0.18","521,320.80","5,880.00","09061G101","US09061G1013","2437071","88.66","United States","NASDAQ","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","521,200.40","0.18","521,200.40","13,433.00","682680103","US6826801036","2130109","38.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
