Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","169,664,279.90","9.95","169,664,279.90","2,704,436.00","S62150354","AU000000CBA7","6215035","62.74","Australia","Asx - All Markets","USD","1.32","AUD","-"
"CSL","CSL LTD","Health Care","Equity","150,256,097.80","8.81","150,256,097.80","694,175.00","S61854956","AU000000CSL8","6185495","216.45","Australia","Asx - All Markets","USD","1.32","AUD","-"
"BHP","BHP GROUP LTD","Materials","Equity","148,516,204.68","8.71","148,516,204.68","4,500,435.00","S61446902","AU000000BHP4","6144690","33.00","Australia","Asx - All Markets","USD","1.32","AUD","Jan 02, 1985"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Equity","88,521,040.78","5.19","88,521,040.78","5,026,376.00","S66246083","AU000000NAB4","6624608","17.61","Australia","Asx - All Markets","USD","1.32","AUD","-"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","82,882,324.98","4.86","82,882,324.98","5,515,818.00","S60761467","AU000000WBC1","6076146","15.03","Australia","Asx - All Markets","USD","1.32","AUD","-"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Financials","Equity","76,341,513.65","4.48","76,341,513.65","4,332,942.00","S60655867","AU000000ANZ3","6065586","17.62","Australia","Asx - All Markets","USD","1.32","AUD","Jan 01, 1998"
"WES","WESFARMERS LTD","Consumer Discretionary","Equity","67,166,547.08","3.94","67,166,547.08","1,732,208.00","S69488369","AU000000WES1","6948836","38.78","Australia","Asx - All Markets","USD","1.32","AUD","-"
"WOW","WOOLWORTHS GROUP LTD","Consumer Staples","Equity","58,151,972.17","3.41","58,151,972.17","1,929,668.00","S69812394","AU000000WOW2","6981239","30.14","Australia","Asx - All Markets","USD","1.32","AUD","-"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","54,586,758.40","3.20","54,586,758.40","524,657.00","-","AU000000MQG1","B28YTC2","104.04","Australia","Asx - All Markets","USD","1.32","AUD","-"
"RIO","RIO TINTO LTD","Materials","Equity","50,826,247.39","2.98","50,826,247.39","566,980.00","S62201033","AU000000RIO1","6220103","89.64","Australia","Asx - All Markets","USD","1.32","AUD","Jan 02, 1985"
