Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","225,645,390.74","7.56","225,645,390.74","193,099.00","82509L107","CA82509L1076","BX865C7","1,168.55","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","221,175,166.39","7.41","221,175,166.39","2,603,297.00","780087102","CA7800871021","2754383","84.96","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"TD","TORONTO DOMINION","Financials","Equity","195,446,328.19","6.55","195,446,328.19","3,306,417.00","891160509","CA8911605092","2897222","59.11","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"CNR","CANADIAN NATIONAL RAILWAY","Industrials","Equity","124,970,808.78","4.19","124,970,808.78","1,121,941.00","136375102","CA1363751027","2180632","111.39","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","123,350,149.04","4.13","123,350,149.04","2,241,596.00","064149107","CA0641491075","2076281","55.03","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ENB","ENBRIDGE INC","Energy","Equity","117,890,850.13","3.95","117,890,850.13","3,351,536.00","29250N105","CA29250N1050","2466149","35.18","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"BMO","BANK OF MONTREAL","Financials","Equity","94,262,208.68","3.16","94,262,208.68","1,195,162.00","063671101","CA0636711016","2076009","78.87","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Financials","Equity","92,126,273.31","3.09","92,126,273.31","2,383,291.00","112585104","CA1125851040","2092599","38.66","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"CP","CANADIAN PACIFIC RAILWAY LTD","Industrials","Equity","89,818,918.29","3.01","89,818,918.29","252,295.00","13645T100","CA13645T1003","2793115","356.01","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"TRP","TC ENERGY CORP","Energy","Equity","77,318,850.92","2.59","77,318,850.92","1,743,877.00","87807B107","CA87807B1076","BJMY6G0","44.34","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ABX","BARRICK GOLD CORP","Materials","Equity","76,567,507.45","2.57","76,567,507.45","3,316,106.00","067901108","CA0679011084","2024644","23.09","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","74,333,533.88","2.49","74,333,533.88","834,364.00","136069101","CA1360691010","2170525","89.09","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"MFC","MANULIFE FINANCIAL CORP","Financials","Equity","69,259,411.33","2.32","69,259,411.33","3,654,594.00","56501R106","CA56501R1064","2492519","18.95","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"NTR","NUTRIEN LTD","Materials","Equity","57,645,691.94","1.93","57,645,691.94","1,077,342.00","67077M108","CA67077M1086","BDRJLN0","53.51","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","55,140,755.48","1.85","55,140,755.48","2,232,046.00","136385101","CA1363851017","2171573","24.70","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","52,796,913.86","1.77","52,796,913.86","2,883,715.00","867224107","CA8672241079","B3NB1P2","18.31","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","51,504,951.18","1.73","51,504,951.18","1,104,271.00","866796105","CA8667961053","2566124","46.64","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"ATD.B","ALIMENTATION COUCHE TARD SUB VOTIN","Consumer Staples","Equity","48,426,568.82","1.62","48,426,568.82","1,626,842.00","01626P403","CA01626P4033","2011646","29.77","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","47,508,416.30","1.59","47,508,416.30","37,799.00","21037X100","CA21037X1006","B15C4L6","1,256.87","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"FNV","FRANCO NEVADA CORP","Materials","Equity","42,761,055.77","1.43","42,761,055.77","353,681.00","351858105","CA3518581051","B29NF31","120.90","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","40,177,138.58","1.35","40,177,138.58","551,976.00","559222401","CA5592224011","2554475","72.79","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","36,288,288.80","1.22","36,288,288.80","632,344.00","633067103","CA6330671034","2077303","57.39","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"GIB.A","CGI INC","Information Technology","Equity","35,200,023.07","1.18","35,200,023.07","452,192.00","12532H104","CA12532H1047","BJ2L575","77.84","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"FTS","FORTIS INC","Utilities","Equity","33,780,517.83","1.13","33,780,517.83","826,790.00","349553107","CA3495531079","2347200","40.86","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","33,659,648.25","1.13","33,659,648.25","536,360.00","76131D103","CA76131D1033","BTF8CF0","62.76","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","33,552,476.10","1.12","33,552,476.10","843,539.00","962879102","CA9628791027","BF13KN5","39.78","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","32,272,794.22","1.08","32,272,794.22","679,374.00","775109200","CA7751092007","2169051","47.50","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","30,988,689.89","1.04","30,988,689.89","452,437.00","008474108","CA0084741085","2009823","68.49","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","29,674,172.83","0.99","29,674,172.83","263,218.00","45823T106","CA45823T1066","B04YJV1","112.74","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","28,446,349.96","0.95","28,446,349.96","1,040,559.00","706327103","CA7063271034","B4PT2P8","27.34","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"TRI","THOMSON REUTERS CORP","Industrials","Equity","27,653,564.90","0.93","27,653,564.90","345,338.00","884903709","CA8849037095","BFXPTB0","80.08","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","26,571,377.91","0.89","26,571,377.91","1,081,762.00","739239101","CA7392391016","2697701","24.56","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","23,706,169.76","0.79","23,706,169.76","514,050.00","683715106","CA6837151068","2260824","46.12","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","22,886,363.69","0.77","22,886,363.69","568,439.00","25675T107","CA25675T1075","B4TP9G2","40.26","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","22,641,357.07","0.76","22,641,357.07","1,256,551.00","335934105","CA3359341052","2347608","18.02","Canada","Toronto Stock Exchange","USD","1.28","CAD","Mar 01, 1996"
"MRU","METRO INC","Consumer Staples","Equity","22,060,805.53","0.74","22,060,805.53","483,051.00","59162N109","CA59162N1096","2583952","45.67","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"WSP","WSP GLOBAL INC","Industrials","Equity","20,974,178.16","0.70","20,974,178.16","217,498.00","92938W202","CA92938W2022","BHR3R21","96.43","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"KL","KIRKLAND LAKE GOLD LTD","Materials","Equity","20,409,447.76","0.68","20,409,447.76","520,288.00","49741E100","CA49741E1007","BD4G349","39.23","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","19,547,246.77","0.65","19,547,246.77","51,124.00","303901102","CA3039011026","2566351","382.35","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"EMA","EMERA INC","Utilities","Equity","19,140,186.41","0.64","19,140,186.41","459,732.00","290876101","CA2908761018","2650050","41.63","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","19,012,896.59","0.64","19,012,896.59","971,508.00","878742204","CA8787422044","2879327","19.57","Canada","Toronto Stock Exchange","USD","1.28","CAD","-"
