Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","29,418,498.58","6.84","29,418,498.58","522,900.00","-","SE0011166610","BD97BN2","56.26","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"ERIC B","ERICSSON B","Information Technology","Equity","28,922,727.61","6.72","28,922,727.61","2,272,633.00","S59593780","SE0000108656","5959378","12.73","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","Jan 01, 1998"
"VOLV B","VOLVO CLASS B","Industrials","Equity","27,582,191.47","6.41","27,582,191.47","1,108,995.00","928856301","SE0000115446","B1QH830","24.87","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"INVE B","INVESTOR B","Financials","Equity","26,719,534.53","6.21","26,719,534.53","354,773.00","S56795917","SE0000107419","5679591","75.31","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"SAND","SANDVIK","Industrials","Equity","20,815,781.83","4.84","20,815,781.83","826,679.00","-","SE0000667891","B1VQ252","25.18","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"NDA SE","NORDEA BANK","Financials","Equity","20,382,829.16","4.74","20,382,829.16","2,524,878.00","-","FI4000297767","BYZF9J9","8.07","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"ASSA B","ASSA ABLOY B","Industrials","Equity","19,378,358.94","4.50","19,378,358.94","781,382.00","-","SE0007100581","BYPC1T4","24.80","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"HEXA B","HEXAGON B","Information Technology","Equity","19,274,075.99","4.48","19,274,075.99","215,894.00","-","SE0000103699","B1XFTL2","89.28","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","15,245,260.16","3.54","15,245,260.16","128,416,162.00","-","-","-","11.87","Sweden","-","USD","8.42","SEK","-"
"ESSITY B","ESSITY CLASS B","Consumer Staples","Equity","14,835,026.62","3.45","14,835,026.62","464,365.00","-","SE0009922164","BF1K7P7","31.95","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
"ATCO B","ATLAS COPCO CLASS B","Industrials","Equity","14,740,378.65","3.43","14,740,378.65","304,845.00","-","SE0011166628","BD97BS7","48.35","Sweden","Nasdaq Omx Nordic","USD","8.42","SEK","-"
