Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SAP","SAP","Information Technology","Equity","219,688,105.12","8.23","219,688,105.12","1,810,106.00","S48462881","DE0007164600","4846288","121.37","Germany","Xetra","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","214,924,426.31","8.05","214,924,426.31","1,326,144.00","S57279739","DE0007236101","5727973","162.07","Germany","Xetra","USD","0.85","EUR","-"
"ALV","ALLIANZ","Financials","Equity","179,766,616.76","6.74","179,766,616.76","714,576.00","S52314853","DE0008404005","5231485","251.57","Germany","Xetra","USD","0.85","EUR","-"
"BAS","BASF N","Materials","Equity","131,182,486.99","4.92","131,182,486.99","1,592,665.00","S50865773","DE000BASF111","5086577","82.37","Germany","Xetra","USD","0.85","EUR","-"
"DAI","DAIMLER AG","Consumer Discretionary","Equity","128,292,082.33","4.81","128,292,082.33","1,484,233.00","S55290274","DE0007100000","5529027","86.44","Germany","Xetra","USD","0.85","EUR","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","114,728,077.47","4.30","114,728,077.47","5,775,054.00","S58423591","DE0005557508","5842359","19.87","Germany","Xetra","USD","0.85","EUR","-"
"BAYN","BAYER AG","Health Care","Equity","106,852,292.41","4.00","106,852,292.41","1,702,233.00","S50692110","DE000BAY0017","5069211","62.77","Germany","Xetra","USD","0.85","EUR","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","101,849,816.41","3.82","101,849,816.41","329,902.00","S40319766","DE000A1EWWW0","4031976","308.73","Germany","Xetra","USD","0.85","EUR","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","93,761,569.77","3.51","93,761,569.77","2,262,752.00","S58895053","DE0006231004","5889505","41.44","Germany","Xetra","USD","0.85","EUR","-"
"DPW","DEUTSCHE POST AG","Industrials","Equity","92,337,841.51","3.46","92,337,841.51","1,718,005.00","S46178596","DE0005552004","4617859","53.75","Germany","Xetra","USD","0.85","EUR","-"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Consumer Discretionary","Equity","86,492,390.50","3.24","86,492,390.50","321,567.00","S54971684","DE0007664039","5497168","268.97","Germany","Xetra","USD","0.85","EUR","Jan 02, 1990"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","74,630,125.95","2.80","74,630,125.95","242,755.00","S52941218","DE0008430026","5294121","307.43","Germany","Xetra","USD","0.85","EUR","-"
"VNA","VONOVIA SE","Real Estate","Equity","61,334,088.71","2.30","61,334,088.71","931,743.00","-","DE000A1ML7J1","BBJPFY1","65.83","Germany","Xetra","USD","0.85","EUR","-"
"BMW","BMW AG","Consumer Discretionary","Equity","56,708,560.04","2.13","56,708,560.04","573,700.00","D12096109","DE0005190003","5756029","98.85","Germany","Xetra","USD","0.85","EUR","-"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","54,627,091.70","2.05","54,627,091.70","329,228.00","S70219639","DE0005810055","7021963","165.93","Germany","Xetra","USD","0.85","EUR","-"
"EOAN","E.ON N","Utilities","Equity","43,890,290.11","1.64","43,890,290.11","3,890,069.00","S49429046","DE000ENAG999","4942904","11.28","Germany","Xetra","USD","0.85","EUR","-"
"RWE","RWE AG","Utilities","Equity","42,847,507.86","1.61","42,847,507.86","1,113,107.00","S47689625","DE0007037129","4768962","38.49","Germany","Xetra","USD","0.85","EUR","-"
"DBK","DEUTSCHE BANK AG","Financials","Equity","42,100,091.18","1.58","42,100,091.18","3,402,013.00","S57503559","DE0005140008","5750355","12.38","Germany","Xetra","USD","0.85","EUR","-"
"MRK","MERCK","Health Care","Equity","38,479,141.86","1.44","38,479,141.86","223,946.00","S47418447","DE0006599905","4741844","171.82","Germany","Xetra","USD","0.85","EUR","-"
"HEN3","HENKEL & KGAA PREF AG","Consumer Staples","Equity","34,932,869.45","1.31","34,932,869.45","308,712.00","S50767052","DE0006048432","5076705","113.16","Germany","Xetra","USD","0.85","EUR","-"
"FRE","FRESENIUS SE AND CO KGAA","Health Care","Equity","32,150,564.01","1.20","32,150,564.01","724,433.00","S43520972","DE0005785604","4352097","44.38","Germany","Xetra","USD","0.85","EUR","-"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","31,466,685.48","1.18","31,466,685.48","61,630.00","S58433293","DE0007165631","5843329","510.58","Germany","Xetra","USD","0.85","EUR","-"
"DHER","DELIVERY HERO","Consumer Discretionary","Equity","29,455,805.43","1.10","29,455,805.43","224,945.00","-","DE000A2E4K43","BZCNB42","130.95","Germany","Xetra","USD","0.85","EUR","-"
"DWNI","DEUTSCHE WOHNEN","Real Estate","Equity","28,264,456.37","1.06","28,264,456.37","592,312.00","-","DE000A0HN5C6","B0YZ0Z5","47.72","Germany","Xetra","USD","0.85","EUR","-"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","27,641,806.25","1.04","27,641,806.25","369,461.00","S51290740","DE0005785802","5129074","74.82","Germany","Xetra","USD","0.85","EUR","-"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Consumer Discretionary","Equity","27,487,795.52","1.03","27,487,795.52","265,323.00","S71010698","DE000PAH0038","7101069","103.60","Germany","Xetra","USD","0.85","EUR","Jan 02, 1990"
"ZAL","ZALANDO","Consumer Discretionary","Equity","26,941,871.57","1.01","26,941,871.57","266,176.00","-","DE000ZAL1111","BQV0SV7","101.22","Germany","Xetra","USD","0.85","EUR","-"
"SY1","SYMRISE AG","Materials","Equity","26,864,963.75","1.01","26,864,963.75","222,934.00","-","DE000SYM9999","B1JB4K8","120.51","Germany","Xetra","USD","0.85","EUR","-"
"SHL","SIEMENS HEALTHINEERS AG","Health Care","Equity","25,505,704.96","0.96","25,505,704.96","465,658.00","-","DE000SHL1006","BD594Y4","54.77","Germany","Xetra","USD","0.85","EUR","-"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","24,915,170.10","0.93","24,915,170.10","190,613.00","S45985892","DE0005439004","4598589","130.71","Germany","Xetra","USD","0.85","EUR","-"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","24,581,011.36","0.92","24,581,011.36","692,478.00","-","DE000ENER6Y0","BMTVQK9","35.50","Germany","Xetra","USD","0.85","EUR","-"
"HEI","HEIDELBERGCEMENT AG","Materials","Equity","23,118,646.96","0.87","23,118,646.96","257,856.00","S51206795","DE0006047004","5120679","89.66","Germany","Xetra","USD","0.85","EUR","-"
"BNR","BRENNTAG","Industrials","Equity","22,889,767.42","0.86","22,889,767.42","267,702.00","-","DE000A1DAHH0","B4YVF56","85.50","Germany","Xetra","USD","0.85","EUR","-"
"MTX","MTU AERO ENGINES HOLDING AG","Industrials","Equity","21,456,855.48","0.80","21,456,855.48","92,000.00","-","DE000A0D9PT0","B09DHL9","233.23","Germany","Xetra","USD","0.85","EUR","-"
"1COV","COVESTRO AG","Materials","Equity","21,144,479.41","0.79","21,144,479.41","318,020.00","-","DE0006062144","BYTBWY9","66.49","Germany","Xetra","USD","0.85","EUR","-"
"QIA","QIAGEN NV","Health Care","Equity","19,463,638.78","0.73","19,463,638.78","399,971.00","-","NL0012169213","BYXS699","48.66","Germany","Xetra","USD","0.85","EUR","-"
