Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RHM","RHEINMETALL AG","Industrials","Equity","1,219,610.93","3.09","1,219,610.93","10,991.00","S53345880","DE0007030009","5334588","110.97","Germany","Xetra","USD","0.82","EUR","-"
"TKA","THYSSENKRUPP AG","Materials","Equity","1,187,949.76","3.01","1,187,949.76","102,106.00","S56369275","DE0007500001","5636927","11.63","Germany","Xetra","USD","0.82","EUR","-"
"EVT","EVOTEC","Health Care","Equity","1,168,225.33","2.96","1,168,225.33","32,489.00","S58119173","DE0005664809","5811917","35.96","Germany","Xetra","USD","0.82","EUR","-"
"TEG","TAG IMMOBILIEN AG","Real Estate","Equity","1,149,250.98","2.91","1,149,250.98","36,967.00","S57356313","DE0008303504","5735631","31.09","Germany","Xetra","USD","0.82","EUR","-"
"DLG","DIALOG SEMICON PLC","Information Technology","Equity","1,068,521.99","2.70","1,068,521.99","16,457.00","S59822007","GB0059822006","5982200","64.93","Germany","Xetra","USD","0.82","EUR","-"
"MOR","MORPHOSYS AG","Health Care","Equity","975,647.08","2.47","975,647.08","8,299.00","S55310007","DE0006632003","5531000","117.56","Germany","Xetra","USD","0.82","EUR","-"
"WAF","SILTRONIC N AG","Information Technology","Equity","936,570.17","2.37","936,570.17","5,299.00","-","DE000WAF3001","BYY5978","176.75","Germany","Xetra","USD","0.82","EUR","-"
"PSM","PROSIEBEN SAT.1 MEDIA N","Communication","Equity","927,497.76","2.35","927,497.76","52,914.00","-","DE000PSM7770","BCZM1B2","17.53","Germany","Xetra","USD","0.82","EUR","-"
"EVD","CTS EVENTIM AG","Communication","Equity","884,575.57","2.24","884,575.57","14,534.00","S58818576","DE0005470306","5881857","60.86","Germany","Xetra","USD","0.82","EUR","-"
"GXI","GERRESHEIMER AG","Health Care","Equity","867,502.24","2.19","867,502.24","7,923.00","-","DE000A0LD6E6","B1Y47Y7","109.49","Germany","Xetra","USD","0.82","EUR","-"
"VAR1","VARTA AG","Industrials","Equity","730,802.82","1.85","730,802.82","4,590.00","-","DE000A0TGJ55","5802449","159.22","Germany","Xetra","USD","0.82","EUR","-"
"NDA","AURUBIS AG","Materials","Equity","719,352.97","1.82","719,352.97","8,508.00","S54855275","DE0006766504","5485527","84.55","Germany","Xetra","USD","0.82","EUR","-"
"AOX","ALSTRIA OFFICE REIT AG","Real Estate","Equity","702,028.61","1.78","702,028.61","40,331.00","-","DE000A0LD2U1","B1VP947","17.41","Germany","Xetra","USD","0.82","EUR","-"
"FNTN","FREENET AG","Communication","Equity","685,988.74","1.74","685,988.74","32,314.00","-","DE000A0Z2ZZ5","B1SK0S6","21.23","Germany","Xetra","USD","0.82","EUR","-"
"GYC","GRAND CITY PROPERTIES SA","Real Estate","Equity","682,950.92","1.73","682,950.92","27,557.00","-","LU0775917882","B8K9X70","24.78","Germany","Xetra","USD","0.82","EUR","-"
"SAE","SHOP APOTHEKE EUROPE NV","Consumer Discretionary","Equity","679,191.90","1.72","679,191.90","2,841.00","-","NL0012044747","BYYH7G9","239.07","Germany","Xetra","USD","0.82","EUR","-"
"ECV","ENCAVIS AG","Utilities","Equity","667,829.85","1.69","667,829.85","22,671.00","S54919667","DE0006095003","5491966","29.46","Germany","Xetra","USD","0.82","EUR","-"
"HYQ","HYPOPORT N","Financials","Equity","650,368.15","1.65","650,368.15","901.00","-","DE0005493365","B28XLF6","721.83","Germany","Xetra","USD","0.82","EUR","-"
"ADJ","ADO PROPERTIES","Real Estate","Equity","650,009.84","1.64","650,009.84","20,762.00","-","LU1250154413","BYNXBZ5","31.31","Germany","Xetra","USD","0.82","EUR","-"
"SAX","STROEER SE","Communication","Equity","634,711.76","1.61","634,711.76","7,138.00","-","DE0007493991","B3S3S52","88.92","Germany","Xetra","USD","0.82","EUR","-"
"COP","COMPUGROUP MEDICAL N","Health Care","Equity","623,552.02","1.58","623,552.02","6,102.00","-","DE000A288904","BMY7CH1","102.19","Germany","Xetra","USD","0.82","EUR","-"
"OSR","OSRAM LICHT N AG","Industrials","Equity","618,728.17","1.57","618,728.17","9,775.00","-","DE000LED4000","B923935","63.30","Germany","Xetra","USD","0.82","EUR","-"
"BFSA","BEFESA SA","Industrials","Equity","605,835.55","1.53","605,835.55","8,596.00","-","LU1704650164","BDZRDG3","70.48","Germany","Xetra","USD","0.82","EUR","-"
"JUN3","JUNGHEINRICH PREF AG","Industrials","Equity","597,399.81","1.51","597,399.81","12,112.00","S55456701","DE0006219934","5545670","49.32","Germany","Xetra","USD","0.82","EUR","-"
"SDF","K+S AG","Materials","Equity","586,719.44","1.48","586,719.44","48,297.00","-","DE000KSAG888","B54C017","12.15","Germany","Xetra","USD","0.82","EUR","-"
"WCH","WACKER CHEMIE AG","Materials","Equity","581,031.16","1.47","581,031.16","3,940.00","-","DE000WCH8881","B11Y568","147.47","Germany","Xetra","USD","0.82","EUR","-"
"AIXA","AIXTRON","Information Technology","Equity","563,698.88","1.43","563,698.88","28,428.00","S54683461","DE000A0WMPJ6","5468346","19.83","Germany","Xetra","USD","0.82","EUR","-"
"COK","CANCOM","Information Technology","Equity","557,471.60","1.41","557,471.60","9,707.00","S57726275","DE0005419105","5772627","57.43","Germany","Xetra","USD","0.82","EUR","-"
"DUE","DUERR AG","Industrials","Equity","538,490.56","1.36","538,490.56","13,096.00","S51199016","DE0005565204","5119901","41.12","Germany","Xetra","USD","0.82","EUR","-"
"SOW","SOFTWARE AG","Information Technology","Equity","525,052.27","1.33","525,052.27","13,071.00","-","DE000A2GS401","BF06WX9","40.17","Germany","Xetra","USD","0.82","EUR","-"
"NDX1","NORDEX","Industrials","Equity","510,512.12","1.29","510,512.12","16,168.00","-","DE000A0D6554","B06CF71","31.58","Germany","Xetra","USD","0.82","EUR","-"
"BOSS","HUGO BOSS N AG","Consumer Discretionary","Equity","508,774.59","1.29","508,774.59","15,062.00","-","DE000A1PHFF7","B88MHC4","33.78","Germany","Xetra","USD","0.82","EUR","-"
"FRA","FRAPORT FRANKFURT AIRPORT SERVICES","Industrials","Equity","496,457.97","1.26","496,457.97","9,333.00","S71075519","DE0005773303","7107551","53.19","Germany","Xetra","USD","0.82","EUR","-"
"STM","STABILUS SA","Industrials","Equity","484,299.65","1.23","484,299.65","6,241.00","-","LU1066226637","BMM1PP4","77.60","Germany","Xetra","USD","0.82","EUR","-"
"FTK","FLATEXDEGIRO N AG","Financials","Equity","479,586.15","1.21","479,586.15","5,495.00","-","DE000FTG1111","BYVQYG8","87.28","Germany","Xetra","USD","0.82","EUR","-"
"SIX2","SIXT","Industrials","Equity","433,095.24","1.10","433,095.24","3,451.00","S52607686","DE0007231326","5260768","125.50","Germany","Xetra","USD","0.82","EUR","-"
"NOEJ","NORMA GROUP","Industrials","Equity","408,511.05","1.03","408,511.05","8,048.00","-","DE000A1H8BV3","B4RLNR1","50.76","Germany","Xetra","USD","0.82","EUR","-"
"JEN","JENOPTIK N AG","Information Technology","Equity","404,436.72","1.02","404,436.72","12,999.00","-","DE000A2NB601","BGJVB13","31.11","Germany","Xetra","USD","0.82","EUR","-"
"B4B","METRO AG","Consumer Staples","Equity","386,671.63","0.98","386,671.63","31,766.00","-","DE000BFB0019","BD6QT83","12.17","Germany","Xetra","USD","0.82","EUR","-"
"ARL","AAREAL BANK AG","Financials","Equity","373,420.16","0.94","373,420.16","15,112.00","S73800625","DE0005408116","7380062","24.71","Germany","Xetra","USD","0.82","EUR","-"
"PAT","PATRIZIA AG","Real Estate","Equity","365,316.51","0.92","365,316.51","11,655.00","-","DE000PAT1AG3","B11Y3K8","31.34","Germany","Xetra","USD","0.82","EUR","-"
"DMP","DERMAPHARM HOLDING","Health Care","Equity","359,881.50","0.91","359,881.50","4,754.00","-","DE000A2GS5D8","BFYTTC2","75.70","Germany","Xetra","USD","0.82","EUR","-"
"PBB","DEUTSCHE PFANDBRIEFBANK AG","Financials","Equity","356,668.19","0.90","356,668.19","33,933.00","-","DE0008019001","BYM6917","10.51","Germany","Xetra","USD","0.82","EUR","-"
"ZO1","ZOOPLUS AG","Consumer Discretionary","Equity","349,841.55","0.89","349,841.55","1,532.00","-","DE0005111702","B2R9XL5","228.36","Germany","Xetra","USD","0.82","EUR","-"
"GLJ","GRENKE N AG","Financials","Equity","322,537.82","0.82","322,537.82","7,021.00","-","DE000A161N30","BYR4KP7","45.94","Germany","Xetra","USD","0.82","EUR","-"
"SIX3","SIXT PREF","Industrials","Equity","303,759.87","0.77","303,759.87","4,180.00","S52712767","DE0007231334","5271276","72.67","Germany","Xetra","USD","0.82","EUR","-"
"SBS","STRATEC","Health Care","Equity","301,118.19","0.76","301,118.19","1,827.00","-","DE000STRA555","BYTK8S2","164.82","Germany","Xetra","USD","0.82","EUR","-"
"KRN","KRONES AG","Industrials","Equity","297,094.69","0.75","297,094.69","3,584.00","S55238810","DE0006335003","5523881","82.90","Germany","Xetra","USD","0.82","EUR","-"
