Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"1299","AIA GROUP LTD","Financials","Equity","349,189,312.94","23.26","349,189,312.94","27,416,400.00","-","HK0000069689","B4TX8S1","12.74","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","202,650,703.57","13.50","202,650,703.57","3,438,100.00","S62673595","HK0388045442","6267359","58.94","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"669","TECHTRONIC INDUSTRIES LTD","Industrials","Equity","59,569,143.50","3.97","59,569,143.50","4,019,647.00","-","HK0669013440","B0190C7","14.82","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"16","SUN HUNG KAI PROPERTIES LTD","Real Estate","Equity","58,364,438.37","3.89","58,364,438.37","4,245,000.00","S68599273","HK0016000132","6859927","13.75","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"823","LINK REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","56,896,620.79","3.79","56,896,620.79","6,034,700.00","-","HK0823032773","B0PB4M7","9.43","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1","CK HUTCHISON HOLDINGS LTD","Industrials","Equity","56,772,593.86","3.78","56,772,593.86","7,860,267.00","-","KYG217651051","BW9P816","7.22","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"27","GALAXY ENTERTAINMENT GROUP LTD","Consumer Discretionary","Equity","49,245,521.26","3.28","49,245,521.26","6,353,000.00","S64658743","HK0027032686","6465874","7.75","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"3","HONG KONG AND CHINA GAS LTD","Utilities","Equity","47,764,076.10","3.18","47,764,076.10","31,277,805.00","S64365570","HK0003000038","6436557","1.53","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2","CLP HOLDINGS LTD","Utilities","Equity","45,748,873.38","3.05","45,748,873.38","4,829,200.00","S60970175","HK0002007356","6097017","9.47","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"11","HANG SENG BANK LTD","Financials","Equity","40,476,256.56","2.70","40,476,256.56","2,270,800.00","S64083744","HK0011000095","6408374","17.82","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1113","CK ASSET HOLDINGS LTD","Real Estate","Equity","40,012,158.29","2.67","40,012,158.29","7,622,267.00","-","KYG2177B1014","BYZQ077","5.25","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"J36","JARDINE MATHESON HOLDINGS LTD","Industrials","Equity","37,025,568.00","2.47","37,025,568.00","653,700.00","S64721194","BMG507361001","6472119","56.64","Hong Kong","Singapore Exchange","USD","1.00","USD","-"
"2388","BOC HONG KONG HOLDINGS LTD","Financials","Equity","34,707,208.54","2.31","34,707,208.54","11,028,500.00","S65361123","HK2388011192","6536112","3.15","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1928","SANDS CHINA LTD","Consumer Discretionary","Equity","32,076,973.68","2.14","32,076,973.68","7,272,000.00","-","KYG7800X1079","B5B23W2","4.41","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1997","WHARF REAL ESTATE INVESTMENT COMPA","Real Estate","Equity","29,640,225.13","1.97","29,640,225.13","5,465,150.00","-","KYG9593A1040","BF0GWS4","5.42","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"66","MTR CORPORATION CORP LTD","Industrials","Equity","27,357,259.92","1.82","27,357,259.92","4,703,083.00","S62900543","HK0066009694","6290054","5.82","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"288","WH GROUP LTD","Consumer Staples","Equity","27,002,286.77","1.80","27,002,286.77","29,199,000.00","-","KYG960071028","BLLHKZ1","0.92","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"6","POWER ASSETS HOLDINGS LTD","Utilities","Equity","23,455,767.22","1.56","23,455,767.22","4,264,000.00","S64353279","HK0006000050","6435327","5.50","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"17","NEW WORLD DEVELOPMENT COMPANY LTD","Real Estate","Equity","22,322,160.28","1.49","22,322,160.28","4,671,266.00","-","HK0000608585","BM94GQ4","4.78","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1821","ESR CAYMAN LTD","Real Estate","Equity","19,141,150.22","1.28","19,141,150.22","5,328,800.00","-","KYG319891092","BHNCRK0","3.59","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"12","HENDERSON LAND DEVELOPMENT LTD","Real Estate","Equity","18,610,939.02","1.24","18,610,939.02","4,544,762.00","S64205388","HK0012000102","6420538","4.10","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1876","BUDWEISER BREWING COMPANY APAC LTD","Consumer Staples","Equity","18,437,442.12","1.23","18,437,442.12","5,435,400.00","-","KYG1674K1013","BKDXJH5","3.39","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"J37","JARDINE STRATEGIC HOLDINGS LTD","Industrials","Equity","17,632,242.00","1.17","17,632,242.00","702,200.00","S64729601","BMG507641022","6472960","25.11","Hong Kong","Singapore Exchange","USD","1.00","USD","-"
"868","XINYI GLASS HLDS LTD","Industrials","Equity","16,991,977.61","1.13","16,991,977.61","6,002,000.00","-","KYG9828G1082","B05NXN7","2.83","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"101","HANG LUNG PROPERTIES LTD","Real Estate","Equity","16,651,225.93","1.11","16,651,225.93","6,439,000.00","S60305067","HK0101000591","6030506","2.59","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"H78","HONGKONG LAND HOLDINGS LTD","Real Estate","Equity","15,845,496.00","1.06","15,845,496.00","3,719,600.00","S64349152","BMG4587L1090","6434915","4.26","Hong Kong","Singapore Exchange","USD","1.00","USD","-"
"6823","HKT TRUST AND HKT UNITS LTD","Communication","Equity","15,652,332.56","1.04","15,652,332.56","12,111,500.00","-","HK0000093390","B4TXDZ3","1.29","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"83","SINO LAND LTD","Real Estate","Equity","14,070,782.76","0.94","14,070,782.76","10,390,000.00","829344100","HK0083000502","6810429","1.35","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"MLCO","MELCO RESORTS ENTERTAINMENT ADR LT","Consumer Discretionary","Equity","13,267,650.00","0.88","13,267,650.00","707,608.00","585464100","US5854641009","B1KYHF2","18.75","Hong Kong","NASDAQ","USD","1.00","USD","-"
"522","ASM PACIFIC TECHNOLOGY LTD","Information Technology","Equity","13,076,760.22","0.87","13,076,760.22","1,035,100.00","S60024536","KYG0535Q1331","6002453","12.63","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1038","CHEUNG KONG INFRASTRUCTURE HOLDING","Utilities","Equity","12,301,245.92","0.82","12,301,245.92","2,231,000.00","-","BMG2178K1009","BYVS6J1","5.51","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1972","SWIRE PROPERTIES LTD","Real Estate","Equity","11,994,366.27","0.80","11,994,366.27","3,899,200.00","-","HK0000063609","B67C2G0","3.08","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"19","SWIRE PACIFIC LTD A","Real Estate","Equity","10,069,138.30","0.67","10,069,138.30","1,699,000.00","S68677483","HK0019000162","6867748","5.93","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"23","BANK OF EAST ASIA LTD","Financials","Equity","9,919,249.66","0.66","9,919,249.66","4,621,810.00","S60756483","HK0023000190","6075648","2.15","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"2638","HK ELECTRIC INVESTMENTS UNITS LTD","Utilities","Equity","9,269,336.93","0.62","9,269,336.93","9,333,500.00","-","HK0000179108","BJ3WDZ1","0.99","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"1128","WYNN MACAU LTD","Consumer Discretionary","Equity","9,051,779.24","0.60","9,051,779.24","5,440,400.00","-","KYG981491007","B4JSTL6","1.66","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"8","PCCW LTD","Communication","Equity","9,026,857.71","0.60","9,026,857.71","15,051,169.00","S65740714","HK0008011667","6574071","0.60","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"880","SJM HLDGS LTD","Consumer Discretionary","Equity","7,951,265.91","0.53","7,951,265.91","7,127,000.00","-","HK0880043028","B2NR3Y6","1.12","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","1,651,029.90","0.11","1,651,029.90","12,800,930.00","-","-","-","12.90","Hong Kong","-","USD","7.75","HKD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","690,000.02","0.05","690,000.02","690,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"UBFUT","CASH COLLATERAL HKD UBFUT","Cash and/or Derivatives","Cash Collateral and Margins","123,250.74","0.01","123,250.74","955,600.00","-","-","-","12.90","Hong Kong","-","USD","7.75","HKD","Oct 15, 2015"
"HIF1","HANG SENG INDEX JAN 21","Cash and/or Derivatives","Futures","0.00","0.00","1,599,809.11","9.00","-","-","-","3,555.13","-","Hong Kong Futures Exchange Ltd.","USD","7.75","HKD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-673,802.14","-0.04","-673,802.14","-673,802.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
