Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ENEL","ENEL","Utilities","Equity","34,996,058.86","20.91","34,996,058.86","3,370,298.00","S71445696","IT0003128367","7144569","10.38","Italy","Borsa Italiana","USD","0.83","EUR","-"
"ISP","INTESA SANPAOLO","Financials","Equity","15,535,597.17","9.28","15,535,597.17","6,662,185.00","S40768368","IT0000072618","4076836","2.33","Italy","Borsa Italiana","USD","0.83","EUR","-"
"STLA","STELLANTIS NV","Consumer Discretionary","Equity","14,122,227.98","8.44","14,122,227.98","836,424.00","-","NL00150001Q9","BMD8KX7","16.88","Italy","Borsa Italiana","USD","0.83","EUR","-"
"ENI","ENI","Energy","Equity","10,754,167.10","6.42","10,754,167.10","998,098.00","S71450563","IT0003132476","7145056","10.77","Italy","Borsa Italiana","USD","0.83","EUR","-"
"RACE","FERRARI NV","Consumer Discretionary","Equity","10,576,111.87","6.32","10,576,111.87","49,755.00","-","NL0011585146","BD6G507","212.57","Italy","Borsa Italiana","USD","0.83","EUR","-"
"G","ASSICURAZIONI GENERALI","Financials","Equity","7,180,682.85","4.29","7,180,682.85","400,540.00","S40567190","IT0000062072","4056719","17.93","Italy","Borsa Italiana","USD","0.83","EUR","-"
"UCG","UNICREDIT","Financials","Equity","6,577,232.51","3.93","6,577,232.51","670,056.00","-","IT0005239360","BYMXPS7","9.82","Italy","Borsa Italiana","USD","0.83","EUR","-"
"CNHI","CNH INDUSTRIAL NV","Industrials","Equity","6,574,533.29","3.93","6,574,533.29","480,217.00","-","NL0010545661","BDSV2V0","13.69","Italy","Borsa Italiana","USD","0.83","EUR","-"
"MONC","MONCLER","Consumer Discretionary","Equity","5,443,277.91","3.25","5,443,277.91","92,392.00","-","IT0004965148","BGLP232","58.92","Italy","Borsa Italiana","USD","0.83","EUR","-"
"SRG","SNAM","Utilities","Equity","5,046,826.70","3.01","5,046,826.70","946,257.00","S72514706","IT0003153415","7251470","5.33","Italy","Borsa Italiana","USD","0.83","EUR","-"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","4,856,780.66","2.90","4,856,780.66","658,387.00","-","IT0003242622","B01BN57","7.38","Italy","Borsa Italiana","USD","0.83","EUR","-"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","4,750,145.34","2.84","4,750,145.34","291,431.00","-","IT0000072170","BNGN9Z1","16.30","Italy","Borsa Italiana","USD","0.83","EUR","-"
"EXO","EXOR NV","Financials","Equity","4,303,812.31","2.57","4,303,812.31","53,145.00","-","NL0012059018","BYSLCX9","80.98","Italy","Borsa Italiana","USD","0.83","EUR","-"
"PRY","PRYSMIAN","Industrials","Equity","4,022,755.87","2.40","4,022,755.87","118,264.00","-","IT0004176001","B1W4V69","34.02","Italy","Borsa Italiana","USD","0.83","EUR","-"
"ATL","ATLANTIA","Industrials","Equity","3,853,460.09","2.30","3,853,460.09","235,108.00","S76671635","IT0003506190","7667163","16.39","Italy","Borsa Italiana","USD","0.83","EUR","-"
"NEXI","NEXI","Information Technology","Equity","3,850,218.37","2.30","3,850,218.37","204,941.00","-","IT0005366767","BJ1F880","18.79","Italy","Borsa Italiana","USD","0.83","EUR","-"
"CPR","DAVIDE CAMPARI MILANO NV","Consumer Staples","Equity","3,073,041.95","1.84","3,073,041.95","289,009.00","-","NL0015435975","BMQ5W17","10.63","Italy","Borsa Italiana","USD","0.83","EUR","-"
"MB","MEDIOBANCA BANCA DI CREDITO FINANZ","Financials","Equity","2,880,420.30","1.72","2,880,420.30","317,186.00","S45748134","IT0000062957","4574813","9.08","Italy","Borsa Italiana","USD","0.83","EUR","-"
"PST","POSTE ITALIANE","Financials","Equity","2,709,978.10","1.62","2,709,978.10","266,642.00","-","IT0003796171","BYYN701","10.16","Italy","Borsa Italiana","USD","0.83","EUR","-"
"REC","RECORDATI INDUSTRIA CHIMICA E FARM","Health Care","Equity","2,705,702.40","1.62","2,705,702.40","52,531.00","-","IT0003828271","B07DRZ5","51.51","Italy","Borsa Italiana","USD","0.83","EUR","-"
"DIA","DIASORIN","Health Care","Equity","2,522,679.58","1.51","2,522,679.58","12,180.00","-","IT0003492391","B234WN9","207.12","Italy","Borsa Italiana","USD","0.83","EUR","-"
"TEN","TENARIS SA","Energy","Equity","2,109,773.92","1.26","2,109,773.92","258,897.00","S75385153","LU0156801721","7538515","8.15","Italy","Borsa Italiana","USD","0.83","EUR","-"
"TIT","TELECOM ITALIA","Communication","Equity","1,995,773.56","1.19","1,995,773.56","4,493,645.00","S76343946","IT0003497168","7634394","0.44","Italy","Borsa Italiana","USD","0.83","EUR","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1,827,942.91","1.09","1,827,942.91","1,510,073.00","-","-","-","121.05","European Union","-","USD","0.83","EUR","-"
"TITR","TELECOM ITALIA SAVING","Communication","Equity","1,715,575.07","1.02","1,715,575.07","3,520,231.00","S76344027","IT0003497176","7634402","0.49","Italy","Borsa Italiana","USD","0.83","EUR","-"
"AMP","AMPLIFON","Health Care","Equity","1,685,297.42","1.01","1,685,297.42","40,804.00","-","IT0004056880","B14NJ71","41.30","Italy","Borsa Italiana","USD","0.83","EUR","-"
