Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","538,519,874.52","3.85","538,519,874.52","7,048,600.00","S69006435","JP3633400001","6900643","76.40","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6758","SONY CORP","Consumer Discretionary","Equity","481,845,391.89","3.45","481,845,391.89","4,190,800.00","S68215060","JP3435000009","6821506","114.98","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","469,665,064.88","3.36","469,665,064.88","5,208,900.00","S67706200","JP3436100006","6770620","90.17","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6861","KEYENCE CORP","Information Technology","Equity","326,977,536.96","2.34","326,977,536.96","606,104.00","S64909955","JP3236200006","6490995","539.47","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"7974","NINTENDO LTD","Communication","Equity","224,317,267.93","1.60","224,317,267.93","371,900.00","S66395500","JP3756600007","6639550","603.17","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","213,459,004.71","1.53","213,459,004.71","4,509,000.00","-","JP3970300004","BQRRZ00","47.34","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","202,236,560.67","1.45","202,236,560.67","1,177,000.00","S68045855","JP3371200001","6804585","171.82","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6594","NIDEC CORP","Industrials","Equity","200,773,069.06","1.44","200,773,069.06","1,486,300.00","S66406828","JP3734800000","6640682","135.08","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","200,649,125.22","1.43","200,649,125.22","40,622,180.00","S63351712","JP3902900004","6335171","4.94","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","194,123,007.75","1.39","194,123,007.75","496,252.00","S68956754","JP3571400005","6895675","391.18","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","183,969,741.91","1.32","183,969,741.91","828,100.00","S62507249","JP3481800005","6250724","222.16","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","181,470,818.96","1.30","181,470,818.96","5,238,700.00","S68704451","JP3463000004","6870445","34.64","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","173,364,466.70","1.24","173,364,466.70","5,654,907.00","-","JP3475350009","B0J7D91","30.66","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","172,671,895.05","1.23","172,671,895.05","194,000.00","S63324396","JP3802300008","6332439","890.06","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","171,836,167.12","1.23","171,836,167.12","1,909,200.00","S66104035","JP3914400001","6610403","90.00","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6954","FANUC CORP","Industrials","Equity","171,203,355.67","1.22","171,203,355.67","637,400.00","S63569347","JP3802400006","6356934","268.60","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9433","KDDI CORP","Communication","Equity","170,033,306.72","1.22","170,033,306.72","5,360,100.00","S62489901","JP3496400007","6248990","31.72","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","155,179,739.53","1.11","155,179,739.53","5,417,900.00","S64351455","JP3854600008","6435145","28.64","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"7741","HOYA CORP","Health Care","Equity","155,160,459.15","1.11","155,160,459.15","1,249,300.00","S64415060","JP3837800006","6441506","124.20","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6501","HITACHI LTD","Information Technology","Equity","152,800,512.38","1.09","152,800,512.38","3,216,700.00","S64291040","JP3788600009","6429104","47.50","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","147,218,594.04","1.05","147,218,594.04","4,338,000.00","S65630246","JP3890350006","6563024","33.94","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8001","ITOCHU CORP","Industrials","Equity","131,975,635.72","0.94","131,975,635.72","4,477,000.00","S64678030","JP3143600009","6467803","29.48","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9434","SOFTBANK CORP","Communication","Equity","128,716,115.31","0.92","128,716,115.31","9,545,500.00","-","JP3732000009","BF5M0K5","13.48","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"2413","M3 INC","Health Care","Equity","120,080,969.63","0.86","120,080,969.63","1,466,100.00","-","JP3435750009","B02K2M3","81.91","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8058","MITSUBISHI CORP","Industrials","Equity","119,881,522.89","0.86","119,881,522.89","4,443,600.00","S65967853","JP3898400001","6596785","26.98","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6273","SMC (JAPAN) CORP","Industrials","Equity","117,394,781.12","0.84","117,394,781.12","190,400.00","S67639658","JP3162600005","6763965","616.57","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","116,559,517.19","0.83","116,559,517.19","8,016,658.00","S65910143","JP3885780001","6591014","14.54","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4452","KAO CORP","Consumer Staples","Equity","114,468,200.01","0.82","114,468,200.01","1,601,900.00","S64838097","JP3205800000","6483809","71.46","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","113,748,296.02","0.81","113,748,296.02","2,232,000.00","S61964086","JP3519400000","6196408","50.96","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communication","Equity","113,322,169.78","0.81","113,322,169.78","4,278,100.00","S66413733","JP3735400008","6641373","26.49","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4661","ORIENTAL LAND LTD","Consumer Discretionary","Equity","112,680,108.37","0.81","112,680,108.37","664,800.00","S66488917","JP3198900007","6648891","169.49","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","110,274,157.52","0.79","110,274,157.52","2,099,600.00","S65131260","JP3910660004","6513126","52.52","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4503","ASTELLAS PHARMA INC","Health Care","Equity","107,987,936.69","0.77","107,987,936.69","6,187,250.00","S69853836","JP3942400007","6985383","17.45","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8031","MITSUI LTD","Industrials","Equity","103,582,974.48","0.74","103,582,974.48","5,421,100.00","S65973026","JP3893600001","6597302","19.11","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"3382","SEVEN & I HOLDINGS LTD","Consumer Staples","Equity","101,116,089.55","0.72","101,116,089.55","2,503,980.00","-","JP3422950000","B0FS5D6","40.38","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6752","PANASONIC CORP","Consumer Discretionary","Equity","101,082,402.54","0.72","101,082,402.54","7,338,415.00","S65727075","JP3866800000","6572707","13.77","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6702","FUJITSU LTD","Information Technology","Equity","99,862,279.58","0.71","99,862,279.58","653,500.00","S63569453","JP3818000006","6356945","152.81","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","99,432,314.27","0.71","99,432,314.27","6,065,400.00","S65970451","JP3902400005","6597045","16.39","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4911","SHISEIDO LTD","Consumer Staples","Equity","98,413,312.42","0.70","98,413,312.42","1,329,300.00","S68052653","JP3351600006","6805265","74.03","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4543","TERUMO CORP","Health Care","Equity","93,007,614.43","0.67","93,007,614.43","2,145,600.00","S68850742","JP3546800008","6885074","43.35","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6902","DENSO CORP","Consumer Discretionary","Equity","91,988,248.49","0.66","91,988,248.49","1,440,200.00","S66403817","JP3551500006","6640381","63.87","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6301","KOMATSU LTD","Industrials","Equity","85,393,716.43","0.61","85,393,716.43","2,909,000.00","S64965841","JP3304200003","6496584","29.36","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6326","KUBOTA CORP","Industrials","Equity","82,760,088.41","0.59","82,760,088.41","3,447,900.00","S64975097","JP3266400005","6497509","24.00","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"2914","JAPAN TOBACCO INC","Consumer Staples","Equity","81,545,586.77","0.58","81,545,586.77","3,988,000.00","S64745359","JP3726800000","6474535","20.45","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9022","CENTRAL JAPAN RAILWAY","Industrials","Equity","77,782,594.23","0.56","77,782,594.23","479,200.00","S61835526","JP3566800003","6183552","162.32","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8591","ORIX CORP","Financials","Equity","76,420,882.17","0.55","76,420,882.17","4,366,700.00","S66611443","JP3200450009","6661144","17.50","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"7733","OLYMPUS CORP","Health Care","Equity","75,230,404.96","0.54","75,230,404.96","3,872,700.00","S66588013","JP3201200007","6658801","19.43","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"7751","CANON INC","Information Technology","Equity","75,056,502.21","0.54","75,056,502.21","3,324,450.00","S61723235","JP3242800005","6172323","22.58","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9020","EAST JAPAN RAILWAY","Industrials","Equity","73,455,465.56","0.53","73,455,465.56","1,004,700.00","S62985429","JP3783600004","6298542","73.11","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8267","AEON LTD","Consumer Staples","Equity","71,176,034.98","0.51","71,176,034.98","2,173,400.00","S64800485","JP3388200002","6480048","32.75","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","70,207,964.26","0.50","70,207,964.26","1,197,200.00","S63565253","JP3814000000","6356525","58.64","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6971","KYOCERA CORP","Information Technology","Equity","70,166,291.17","0.50","70,166,291.17","1,065,100.00","S64992605","JP3249600002","6499260","65.88","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"5108","BRIDGESTONE CORP","Consumer Discretionary","Equity","70,034,251.63","0.50","70,034,251.63","1,779,100.00","S61321014","JP3830800003","6132101","39.36","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","69,804,029.66","0.50","69,804,029.66","3,050,700.00","S65976037","JP3893200000","6597603","22.88","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","68,369,057.46","0.49","68,369,057.46","3,930,100.00","S65967291","JP3899600005","6596729","17.40","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"9735","SECOM LTD","Industrials","Equity","67,968,872.09","0.49","67,968,872.09","697,900.00","S67915918","JP3421800008","6791591","97.39","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6762","TDK CORP","Information Technology","Equity","64,842,882.27","0.46","64,842,882.27","430,900.00","S68693027","JP3538800008","6869302","150.48","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"2502","ASAHI GROUP HOLDINGS LTD","Consumer Staples","Equity","63,676,515.04","0.46","63,676,515.04","1,509,000.00","S60544095","JP3116000005","6054409","42.20","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"6869","SYSMEX CORP","Health Care","Equity","62,885,032.56","0.45","62,885,032.56","556,600.00","S68838077","JP3351100007","6883807","112.98","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"4523","EISAI LTD","Health Care","Equity","62,232,165.98","0.45","62,232,165.98","837,900.00","S63072003","JP3160400002","6307200","74.27","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
"8750","DAI-ICHI LIFE HOLDINGS INC","Financials","Equity","61,718,427.68","0.44","61,718,427.68","3,587,000.00","-","JP3476480003","B601QS4","17.21","Japan","Tokyo Stock Exchange","USD","105.20","JPY","-"
