Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"6753","SHARP CORP","Consumer Discretionary","Equity","48,933.26","0.60","48,933.26","2,200.00","S68006022","JP3359600008","6800602","22.24","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9766","KONAMI HOLDINGS CORP","Communication","Equity","42,363.73","0.52","42,363.73","600.00","S64966815","JP3300200007","6496681","70.61","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9697","CAPCOM LTD","Communication","Equity","41,217.22","0.50","41,217.22","600.00","S61736948","JP3218900003","6173694","68.70","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","39,621.65","0.48","39,621.65","100.00","S68956754","JP3571400005","6895675","396.22","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9101","NIPPON YUSEN","Industrials","Equity","39,245.21","0.48","39,245.21","1,400.00","S66439605","JP3753000003","6643960","28.03","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6902","DENSO CORP","Consumer Discretionary","Equity","38,798.07","0.47","38,798.07","600.00","S66403817","JP3551500006","6640381","64.66","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","38,068.12","0.46","38,068.12","400.00","S67706200","JP3436100006","6770620","95.17","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"5713","SUMITOMO METAL MINING LTD","Materials","Equity","37,353.46","0.45","37,353.46","800.00","S68588490","JP3402600005","6858849","46.69","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6988","NITTO DENKO CORP","Materials","Equity","37,185.31","0.45","37,185.31","400.00","S66418013","JP3684000007","6641801","92.96","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9021","WEST JAPAN RAILWAY","Industrials","Equity","37,020.97","0.45","37,020.97","600.00","S69579951","JP3659000008","6957995","61.70","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","36,948.36","0.45","36,948.36","400.00","S66104035","JP3914400001","6610403","92.37","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6201","TOYOTA INDUSTRIES CORP","Consumer Discretionary","Equity","36,573.83","0.45","36,573.83","400.00","S69005460","JP3634600005","6900546","91.43","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"4587","PEPTIDREAM INC","Health Care","Equity","36,573.83","0.45","36,573.83","600.00","-","JP3836750004","B97SH97","60.96","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","35,990.81","0.44","35,990.81","3,766,978.00","-","-","-","0.96","Japan","-","USD","104.67","JPY","-"
"3436","SUMCO CORP","Information Technology","Equity","35,817.13","0.44","35,817.13","1,600.00","-","JP3322930003","B0M0C89","22.39","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"8369","BANK OF KYOTO LTD","Financials","Equity","35,255.34","0.43","35,255.34","600.00","S60757564","JP3251200006","6075756","58.76","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"8015","TOYOTA TSUSHO CORP","Industrials","Equity","35,236.23","0.43","35,236.23","800.00","S69005809","JP3635000007","6900580","44.05","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6481","THK LTD","Industrials","Equity","35,207.57","0.43","35,207.57","1,000.00","S68691310","JP3539250005","6869131","35.21","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6005","MIURA LTD","Industrials","Equity","34,624.76","0.42","34,624.76","600.00","S65977779","JP3880800002","6597777","57.71","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9501","TOKYO ELECTRIC POWER HOLDINGS INC","Utilities","Equity","34,471.89","0.42","34,471.89","8,800.00","889107108","JP3585800000","6895404","3.92","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"7261","MAZDA MOTOR CORP","Consumer Discretionary","Equity","34,395.45","0.42","34,395.45","4,000.00","S69003085","JP3868400007","6900308","8.60","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","34,252.14","0.42","34,252.14","200.00","S68045855","JP3371200001","6804585","171.26","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"4005","SUMITOMO CHEMICAL LTD","Materials","Equity","34,108.82","0.42","34,108.82","6,800.00","S68585603","JP3401400001","6858560","5.02","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"4661","ORIENTAL LAND LTD","Consumer Discretionary","Equity","34,080.16","0.41","34,080.16","200.00","S66488917","JP3198900007","6648891","170.40","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"4182","MITSUBISHI GAS CHEMICAL INC","Materials","Equity","33,988.44","0.41","33,988.44","1,400.00","S65969230","JP3896800004","6596923","24.28","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"4922","KOSE CORP","Consumer Staples","Equity","33,975.06","0.41","33,975.06","200.00","S61944682","JP3283650004","6194468","169.88","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6326","KUBOTA CORP","Industrials","Equity","33,941.62","0.41","33,941.62","1,400.00","S64975097","JP3266400005","6497509","24.24","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"3289","TOKYU FUDOSAN HOLDINGS CORP","Real Estate","Equity","33,833.66","0.41","33,833.66","5,200.00","-","JP3569200003","BDC6LT2","6.51","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6857","ADVANTEST CORP","Information Technology","Equity","33,669.33","0.41","33,669.33","400.00","S68704907","JP3122400009","6870490","84.17","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"5938","LIXIL CORP","Industrials","Equity","33,569.96","0.41","33,569.96","1,200.00","S69002129","JP3626800001","6900212","27.97","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6752","PANASONIC CORP","Consumer Discretionary","Equity","33,558.50","0.41","33,558.50","2,400.00","S65727075","JP3866800000","6572707","13.98","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6504","FUJI ELECTRIC LTD","Industrials","Equity","33,554.67","0.41","33,554.67","800.00","S63563654","JP3820000002","6356365","41.94","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"2413","M3 INC","Health Care","Equity","33,466.77","0.41","33,466.77","400.00","-","JP3435750009","B02K2M3","83.67","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"7272","YAMAHA MOTOR LTD","Consumer Discretionary","Equity","33,319.64","0.41","33,319.64","1,400.00","S69852648","JP3942800008","6985264","23.80","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"3861","OJI HOLDINGS CORP","Materials","Equity","33,248.94","0.40","33,248.94","5,000.00","S66577016","JP3174410005","6657701","6.65","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6506","YASKAWA ELECTRIC CORP","Industrials","Equity","33,248.94","0.40","33,248.94","600.00","S69860419","JP3932000007","6986041","55.41","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","33,172.50","0.40","33,172.50","2,800.00","S66356775","JP3164720009","6635677","11.85","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"7701","SHIMADZU CORP","Information Technology","Equity","32,981.42","0.40","32,981.42","800.00","S68043694","JP3357200009","6804369","41.23","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"3092","ZOZO INC","Consumer Discretionary","Equity","32,962.31","0.40","32,962.31","1,000.00","-","JP3399310006","B292RC1","32.96","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"9022","CENTRAL JAPAN RAILWAY","Industrials","Equity","32,914.54","0.40","32,914.54","200.00","S61835526","JP3566800003","6183552","164.57","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
"6963","ROHM LTD","Information Technology","Equity","32,876.32","0.40","32,876.32","300.00","S67472043","JP3982800009","6747204","109.59","Japan","Tokyo Stock Exchange","USD","104.67","JPY","-"
