Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","2,089,417.82","7.51","2,089,417.82","28,000.00","S69006435","JP3633400001","6900643","74.62","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","1,167,339.06","4.20","1,167,339.06","13,600.00","S67706200","JP3436100006","6770620","85.83","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","899,958.65","3.24","899,958.65","162,000.00","S63351712","JP3902900004","6335171","5.56","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"9433","KDDI CORP","Communication","Equity","665,808.94","2.39","665,808.94","21,000.00","S62489901","JP3496400007","6248990","31.71","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","656,269.82","2.36","656,269.82","22,000.00","S64351455","JP3854600008","6435145","29.83","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","630,538.07","2.27","630,538.07","17,000.00","S65630246","JP3890350006","6563024","37.09","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8058","MITSUBISHI CORP","Industrials","Equity","520,737.03","1.87","520,737.03","18,000.00","S65967853","JP3898400001","6596785","28.93","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"9434","SOFTBANK CORP","Communication","Equity","513,697.56","1.85","513,697.56","38,000.00","-","JP3732000009","BF5M0K5","13.52","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","476,412.95","1.71","476,412.95","32,050.00","S65910143","JP3885780001","6591014","14.86","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8031","MITSUI LTD","Industrials","Equity","467,738.82","1.68","467,738.82","22,000.00","S65973026","JP3893600001","6597302","21.26","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Communication","Equity","455,327.85","1.64","455,327.85","17,000.00","S66413733","JP3735400008","6641373","26.78","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"3382","SEVEN & I HOLDINGS LTD","Consumer Staples","Equity","396,636.49","1.43","396,636.49","10,000.00","-","JP3422950000","B0FS5D6","39.66","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","396,342.42","1.43","396,342.42","8,000.00","S65131260","JP3910660004","6513126","49.54","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","384,597.71","1.38","384,597.71","25,000.00","S65970451","JP3902400005","6597045","15.38","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"6702","FUJITSU LTD","Information Technology","Equity","384,092.27","1.38","384,092.27","2,600.00","S63569453","JP3818000006","6356945","147.73","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"6501","HITACHI LTD","Information Technology","Equity","381,785.60","1.37","381,785.60","8,000.00","S64291040","JP3788600009","6429104","47.72","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"6752","PANASONIC CORP","Consumer Discretionary","Equity","367,646.92","1.32","367,646.92","29,000.00","S65727075","JP3866800000","6572707","12.68","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"6301","KOMATSU LTD","Industrials","Equity","357,965.35","1.29","357,965.35","12,000.00","S64965841","JP3304200003","6496584","29.83","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"9022","CENTRAL JAPAN RAILWAY","Industrials","Equity","308,229.56","1.11","308,229.56","2,000.00","S61835526","JP3566800003","6183552","154.11","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"6326","KUBOTA CORP","Industrials","Equity","304,342.23","1.09","304,342.23","14,000.00","S64975097","JP3266400005","6497509","21.74","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"4901","FUJIFILM HOLDINGS CORP","Information Technology","Equity","296,282.68","1.07","296,282.68","5,000.00","S63565253","JP3814000000","6356525","59.26","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8591","ORIX CORP","Financials","Equity","294,724.99","1.06","294,724.99","17,000.00","S66611443","JP3200450009","6661144","17.34","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"2914","JAPAN TOBACCO INC","Consumer Staples","Equity","287,276.57","1.03","287,276.57","15,000.00","S64745359","JP3726800000","6474535","19.15","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"9020","EAST JAPAN RAILWAY","Industrials","Equity","286,247.30","1.03","286,247.30","4,000.00","S62985429","JP3783600004","6298542","71.56","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"8001","ITOCHU CORP","Industrials","Equity","284,602.31","1.02","284,602.31","9,000.00","S64678030","JP3143600009","6467803","31.62","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
"7751","CANON INC","Information Technology","Equity","284,574.74","1.02","284,574.74","13,000.00","S61723235","JP3242800005","6172323","21.89","Japan","Tokyo Stock Exchange","USD","108.82","JPY","-"
