Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ABI","ANHEUSER BUSCH INBEV NV","Consumer Staples","Equity","7,873,854.15","20.31","7,873,854.15","121,873.00","-","BE0974293251","BYYHL23","64.61","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"KBC","KBC GROEP","Financials","Equity","3,592,633.32","9.27","3,592,633.32","48,032.00","S44977494","BE0003565737","4497749","74.80","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"UCB","UCB SA","Health Care","Equity","2,591,466.86","6.69","2,591,466.86","24,365.00","S55969919","BE0003739530","5596991","106.36","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"ARGX","ARGENX","Health Care","Equity","2,375,450.07","6.13","2,375,450.07","6,321.00","-","NL0010832176","BNHKYX4","375.80","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Equity","2,243,120.09","5.79","2,243,120.09","21,837.00","S70973284","BE0003797140","7097328","102.72","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"UMI","UMICORE SA","Materials","Equity","2,166,693.73","5.59","2,166,693.73","37,627.00","-","BE0974320526","BF44466","57.58","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"AGS","AGEAS SA","Financials","Equity","1,834,121.59","4.73","1,834,121.59","33,049.00","-","BE0974264930","B86S2N0","55.50","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"SOLB","SOLVAY SA","Materials","Equity","1,712,366.88","4.42","1,712,366.88","14,769.00","S48211007","BE0003470755","4821100","115.94","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"SOF","SOFINA SA","Financials","Equity","1,106,073.55","2.85","1,106,073.55","3,128.00","S48203012","BE0003717312","4820301","353.60","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"WDP","WAREHOUSES DE PAUW NV","Real Estate","Equity","932,884.75","2.41","932,884.75","26,592.00","-","BE0974349814","BK8VQD9","35.08","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"AED","AEDIFICA REIT SA","Real Estate","Equity","823,035.99","2.12","823,035.99","6,731.00","-","BE0003851681","B1G5XP1","122.28","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"COFB","COFINIMMO REIT SA","Real Estate","Equity","813,744.99","2.10","813,744.99","5,113.00","S41779885","BE0003593044","4177988","159.15","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"ELI","ELIA GROUP SA","Utilities","Equity","768,095.50","1.98","768,095.50","6,383.00","-","BE0003822393","B09M9F4","120.33","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"ACKB","ACKERMANS & VAN HAAREN NV","Financials","Equity","759,570.67","1.96","759,570.67","4,854.00","S57157745","BE0003764785","5715774","156.48","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"GLPG","GALAPAGOS NV","Health Care","Equity","754,212.31","1.95","754,212.31","8,473.00","-","BE0003818359","B07Q2V5","89.01","Belgium","Euronext Amsterdam","USD","0.82","EUR","-"
"COLR","ETABLISSEMENTEN FRANZ COLRUYT NV","Consumer Staples","Equity","709,498.00","1.83","709,498.00","11,388.00","S58062258","BE0974256852","5806225","62.30","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"PROX","PROXIMUS NV","Communication","Equity","661,376.60","1.71","661,376.60","31,616.00","-","BE0003810273","B00D9P6","20.92","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"MELE","MELEXIS NV","Information Technology","Equity","516,274.08","1.33","516,274.08","4,480.00","S73700635","BE0165385973","7370063","115.24","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"TNET","TELENET GROUP HOLDING NV","Communication","Equity","435,897.10","1.12","435,897.10","9,932.00","-","BE0003826436","B0LKSK4","43.89","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"DIE","DIETEREN (D) SA","Consumer Discretionary","Equity","408,831.33","1.05","408,831.33","5,122.00","S42474940","BE0974259880","4247494","79.82","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"KBCA","KBC ANCORA","Financials","Equity","375,614.87","0.97","375,614.87","8,847.00","-","BE0003867844","B1YWXY3","42.46","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"FAGR","FAGRON NV","Health Care","Equity","355,482.65","0.92","355,482.65","13,968.00","-","BE0003874915","B281L72","25.45","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"EURN","EURONAV NV","Energy","Equity","346,165.86","0.89","346,165.86","38,905.00","-","BE0003816338","B04M8J6","8.90","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"BAR","BARCO NV","Information Technology","Equity","344,731.63","0.89","344,731.63","15,649.00","-","BE0974362940","BMB3BN1","22.03","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"BEKB","BEKAERT (D) SA","Materials","Equity","337,650.53","0.87","337,650.53","9,372.00","S58274317","BE0974258874","5827431","36.03","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"MONT","MONTEA COMM","Real Estate","Equity","296,421.14","0.76","296,421.14","2,391.00","-","BE0003853703","B1FWD64","123.97","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"BPOST","BPOST SA","Industrials","Equity","281,708.68","0.73","281,708.68","24,053.00","-","BE0974268972","BBH7K66","11.71","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"GIMB","GIMV INVESTERINGSMAATSCHAPPIJ VOOR","Financials","Equity","278,606.05","0.72","278,606.05","4,548.00","S52490802","BE0003699130","5249080","61.26","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
"OBEL","ORANGE BELGIUM SA","Communication","Equity","242,591.80","0.63","242,591.80","8,695.00","S55419790","BE0003735496","5541979","27.90","Belgium","Nyse Euronext - Euronext Brussels","USD","0.82","EUR","-"
