Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NESN","NESTLE SA","Consumer Staples","Equity","348,185,825.36","19.27","348,185,825.36","2,989,527.00","S71238703","CH0038863350","7123870","116.47","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","253,059,682.52","14.01","253,059,682.52","695,395.00","S71103881","CH0012032048","7110388","363.91","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","200,295,746.92","11.09","200,295,746.92","2,107,820.00","S71030654","CH0012005267","7103065","95.03","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","75,641,912.33","4.19","75,641,912.33","182,563.00","S59838169","CH0011075394","5983816","414.33","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ABBN","ABB LTD","Industrials","Equity","68,096,610.69","3.77","68,096,610.69","2,256,622.00","S71088991","CH0012221716","7108899","30.18","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"UBSG","UBS GROUP AG","Financials","Equity","66,804,411.30","3.70","66,804,411.30","4,481,147.00","-","CH0244767585","BRJL176","14.91","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"LONN","LONZA GROUP AG","Health Care","Equity","61,912,671.14","3.43","61,912,671.14","91,574.00","S73333783","CH0013841017","7333378","676.09","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","60,878,953.86","3.37","60,878,953.86","645,330.00","-","CH0210483332","BCRWZ18","94.34","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"SIKA","SIKA AG","Materials","Equity","49,466,872.05","2.74","49,466,872.05","177,228.00","-","CH0418792922","BF2DSG3","279.11","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"GIVN","GIVAUDAN SA","Materials","Equity","48,460,029.30","2.68","48,460,029.30","11,539.00","S59806133","CH0010645932","5980613","4,199.67","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"ALC","ALCON AG","Health Care","Equity","46,481,376.93","2.57","46,481,376.93","622,546.00","-","CH0432492467","BJT1GR5","74.66","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"CSGN","CREDIT SUISSE GROUP AG","Financials","Equity","42,057,157.02","2.33","42,057,157.02","3,110,302.00","S71715890","CH0012138530","7171589","13.52","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"LHN","LAFARGEHOLCIM LTD","Materials","Equity","37,358,867.59","2.07","37,358,867.59","671,408.00","S71107536","CH0012214059","7110753","55.64","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"SREN","SWISS RE AG","Financials","Equity","33,352,348.32","1.85","33,352,348.32","367,958.00","-","CH0126881561","B545MG5","90.64","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","30,505,173.25","1.69","30,505,173.25","24,974.00","-","CH0024608827","B119QG0","1,221.48","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"GEBN","GEBERIT AG","Industrials","Equity","30,029,135.61","1.66","30,029,135.61","48,383.00","-","CH0030170408","B1WGG93","620.65","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"SGSN","SGS SA","Industrials","Equity","25,445,664.54","1.41","25,445,664.54","8,167.00","S48247787","CH0002497458","4824778","3,115.67","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","23,779,448.19","1.32","23,779,448.19","232,157.00","-","CH0025751329","B18ZRK2","102.43","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","20,299,273.20","1.12","20,299,273.20","42,790.00","S74378050","CH0014852781","7437805","474.39","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","19,784,995.21","1.10","19,784,995.21","320,405.00","-","CH0102484968","B4R2R50","61.75","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
"SCMN","SWISSCOM AG","Communication","Equity","19,772,841.29","1.09","19,772,841.29","36,315.00","S55339766","CH0008742519","5533976","544.48","Switzerland","SIX Swiss Exchange","USD","0.89","CHF","-"
