Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PBBANK","PUBLIC BANK","Financials","Equity","52,125,880.27","13.17","52,125,880.27","50,290,900.00","-","MYL1295OO004","B012W42","1.04","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"TOPG MK","TOP GLOVE CORPORATION","Health Care","Equity","28,083,583.43","7.09","28,083,583.43","16,843,900.00","-","MYL7113OO003","B05L892","1.67","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"MAYBANK","MALAYAN BANKING","Financials","Equity","26,258,951.05","6.63","26,258,951.05","13,591,781.00","S65563256","MYL1155OO000","6556325","1.93","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","21,165,274.48","5.35","21,165,274.48","22,281,412.00","S60757457","MYL1023OO000","6075745","0.95","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"HARTA","HARTALEGA HOLDINGS","Health Care","Equity","18,833,975.02","4.76","18,833,975.02","5,920,400.00","-","MYL5168OO009","B2QPJK5","3.18","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"TENAGA","TENAGA NASIONAL","Utilities","Equity","18,817,110.90","4.75","18,817,110.90","7,882,712.00","S69046126","MYL5347OO009","6904612","2.39","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"PCHEM","PETRONAS CHEMICALS GROUP","Materials","Equity","13,761,765.99","3.48","13,761,765.99","8,290,900.00","-","MYL5183OO008","B5KQGT3","1.66","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"PETGAS","PETRONAS GAS","Utilities","Equity","10,848,872.73","2.74","10,848,872.73","2,734,200.00","S67039727","MYL6033OO004","6703972","3.97","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"DIALOG","DIALOG GROUP","Energy","Equity","10,259,260.40","2.59","10,259,260.40","13,642,454.00","-","MYL7277OO006","B00MRS2","0.75","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"PPB","PPB GROUP","Consumer Staples","Equity","10,120,742.49","2.56","10,120,742.49","2,211,519.00","S66816695","MYL4065OO008","6681669","4.58","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"DIGI","DIGI.COM","Communication","Equity","10,072,540.26","2.54","10,072,540.26","10,743,600.00","S60862422","MYL6947OO005","6086242","0.94","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materials","Equity","9,650,062.09","2.44","9,650,062.09","4,882,400.00","-","MYL8869OO009","BF0J5S4","1.98","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"HLBANK","HONG LEONG BANK","Financials","Equity","9,591,906.10","2.42","9,591,906.10","2,246,540.00","S64368921","MYL5819OO007","6436892","4.27","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"IHH","IHH HEALTHCARE","Health Care","Equity","9,582,024.24","2.42","9,582,024.24","7,580,300.00","-","MYL5225OO007","B83X6P8","1.26","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"MAXIS","MAXIS","Communication","Equity","9,566,549.17","2.42","9,566,549.17","8,107,500.00","-","MYL6012OO008","B5387L5","1.18","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"IOICORP","IOI CORPORATION","Consumer Staples","Equity","9,067,315.92","2.29","9,067,315.92","8,685,930.00","-","MYL1961OO001","B1Y3WG1","1.04","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"SUPERMX","SUPERMAX CORPORATION","Health Care","Equity","8,695,173.88","2.20","8,695,173.88","5,169,153.00","-","MYL7106OO007","B1V7L36","1.68","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"KLK","KUALA LUMPUR KEPONG","Consumer Staples","Equity","8,588,308.23","2.17","8,588,308.23","1,493,900.00","S64974462","MYL2445OO004","6497446","5.75","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
"SIMEPLT","SIME DARBY PLANTATION","Consumer Staples","Equity","8,563,780.27","2.16","8,563,780.27","7,137,955.00","-","MYL5285OO001","BF6RHY2","1.20","Malaysia","Bursa Malaysia","USD","4.04","MYR","-"
